model,metric_type,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,macro_auc_ovr,weighted_precision,weighted_recall,weighted_f1,weighted_auc_ovr,loss
LightGBM,aggregated,0.5676968009725193,0.4974280954016787,0.5503071910246803,0.4974280954016787,0.47254545503974177,0.7221997998764214,0.5946690798112637,0.5676968009725193,0.5423706429414925,0.7218662067375853,0.9337043830366142
SVM,aggregated,0.5638180924680463,0.4922059349513294,0.5631924864371501,0.4922059349513294,0.4668476317579886,0.707458711615677,0.6029266256936353,0.5638180924680463,0.5351097644993594,0.7106455346707825,0.9505055827163449
MLP,aggregated,0.5481864532717385,0.45592455471568943,0.510124600258465,0.45592455471568943,0.4112866478433709,0.6789213069872063,0.5581761166893732,0.5481864532717385,0.4933628720108833,0.6840231433546947,0.9970956174777442
GazeMAE_MLP,aggregated,0.5517680649228465,0.46079499959723386,0.5160299181944992,0.46079499959723386,0.43025288314060545,0.681580803882708,0.5562173713154552,0.5517680649228465,0.5118247517118228,0.6928525163400049,1.113519550239341
