model,metric_type,accuracy,precision,recall,f1,auc
Mean,aggregated,0.5724930413143945,0.5724930413143945,1.0,0.6858720672190544,0.425
Mean,emotion_emotion-predictability,0.5724930413143945,0.5724930413143945,1.0,0.6858720672190544,0.425
SVM,aggregated,0.5239557645337259,0.5698502048411082,0.8422742027157499,0.6280638431410324,0.3938157669922776
SVM,emotion_emotion-predictability,0.5239557645337259,0.5698502048411082,0.8422742027157499,0.6280638431410324,0.3938157669922776
LightGBM,aggregated,0.4961456899487192,0.5553710752499488,0.6955187224634948,0.5698903805845725,0.3951057522388609
LightGBM,emotion_emotion-predictability,0.4961456899487192,0.5553710752499488,0.6955187224634948,0.5698903805845725,0.3951057522388609
MLP,aggregated,0.5272600868320179,0.5751746847625934,0.6858664705325627,0.5782369034608713,0.39868542851507
MLP,emotion_emotion-predictability,0.5272600868320179,0.5751746847625934,0.6858664705325627,0.5782369034608713,0.39868542851507
GNN,aggregated,0.5590807093460269,0.574298137933734,0.8068882088050804,0.6291427558223798,0.4158830748515013
GNN,emotion_emotion-predictability,0.5590807093460269,0.574298137933734,0.8068882088050804,0.6291427558223798,0.4158830748515013
