split,logit_mean,logit_std,logit_min,logit_max,logit_range,prediction_entropy_mean,prediction_entropy_std,prediction_entropy_min,prediction_entropy_max,graph_embedding_variance,graph_embedding_mean_pairwise_cosine_similarity,graph_embedding_pair_count,temporal_forward_edge_weight_mean,temporal_forward_edge_weight_std,temporal_forward_edge_weight_min,temporal_forward_edge_weight_max,temporal_backward_edge_weight_mean,temporal_backward_edge_weight_std,temporal_backward_edge_weight_min,temporal_backward_edge_weight_max,spatial_edge_weight_mean,spatial_edge_weight_std,spatial_edge_weight_min,spatial_edge_weight_max,fixation_edge_weight_mean,fixation_edge_weight_std,fixation_edge_weight_min,fixation_edge_weight_max,best_epoch,best_val_loss,early_stopped
train,0.05336237698793411,0.8119857907295227,-3.3286118507385254,4.9292497634887695,8.257861614227295,0.8768017888069153,0.19599473476409912,0.02398291975259781,1.09859037399292,0.3384549915790558,0.3291172385215759,10000,,,,,,,,,,,,,,,,,150,0.9640565812587738,1
val,0.03659781813621521,0.7737295627593994,-2.8907105922698975,2.974825620651245,5.865536212921143,0.8927949070930481,0.19045621156692505,0.16081422567367554,1.0982491970062256,0.31156009435653687,0.3652890920639038,114960,,,,,,,,,,,,,,,,,150,0.9640565812587738,1
test,0.16922439634799957,1.1819511651992798,-2.05887770652771,3.672339677810669,5.731217384338379,0.7771756052970886,0.13396313786506653,0.0758889764547348,0.9856420755386353,0.1971682608127594,0.6778978705406189,28680,,,,,,,,,,,,,,,,,150,0.9640565812587738,1
