epoch,model,train_loss,val_loss,val_balanced_accuracy,val_macro_f1,epoch_runtime_seconds,learning_rate,grad_norm_mean,grad_norm_max,is_best_epoch,best_epoch,best_val_loss,early_stopped
1,HeteroGCNMean,0.6901629368464152,0.6870065927505493,0.5122273628552545,0.5003536067892503,0.735,5e-05,0.016952095076168704,0.12080421298742294,0,109,0.6546461582183838,1
2,HeteroGCNMean,0.6882198800643285,0.685606062412262,0.5048744216787839,0.4913682155061465,0.661,5e-05,0.018189139504708383,0.1853093057870865,0,109,0.6546461582183838,1
3,HeteroGCNMean,0.6866335421800613,0.6840944886207581,0.514375413086583,0.4967267145243578,0.637,5e-05,0.01571458566443243,0.14483067393302917,0,109,0.6546461582183838,1
4,HeteroGCNMean,0.6847286373376846,0.6841098666191101,0.5213152676801057,0.512912388027092,0.667,5e-05,0.016665530130618816,0.12999741733074188,0,109,0.6546461582183838,1
5,HeteroGCNMean,0.6841668983300527,0.6832042932510376,0.5364342366159947,0.5242424242424242,0.629,5e-05,0.011379020945758954,0.09183018654584885,0,109,0.6546461582183838,1
6,HeteroGCNMean,0.684017077088356,0.6833043694496155,0.5230502313284864,0.5163781508959174,0.681,5e-05,0.01466503180776111,0.100975401699543,0,109,0.6546461582183838,1
7,HeteroGCNMean,0.6823253184556961,0.683914840221405,0.5425479180436219,0.5425407925407926,0.666,5e-05,0.016268748923650104,0.12538832426071167,0,109,0.6546461582183838,1
8,HeteroGCNMean,0.681348646680514,0.682155430316925,0.5598149372108394,0.5576331967213115,0.675,5e-05,0.013962920422201541,0.12298808246850967,0,109,0.6546461582183838,1
9,HeteroGCNMean,0.6793961226940155,0.6821666955947876,0.5667547918043622,0.5668060200668896,0.669,5e-05,0.012509746623561345,0.08744194358587265,0,109,0.6546461582183838,1
10,HeteroGCNMean,0.6791639675696691,0.6810325384140015,0.5723727693324521,0.5723863398282003,0.658,5e-05,0.014000926913138078,0.10466767847537994,0,109,0.6546461582183838,1
11,HeteroGCNMean,0.6775670995314916,0.6810489892959595,0.5741077329808327,0.5743127685312643,0.635,5e-05,0.014249475807927786,0.11422236263751984,0,109,0.6546461582183838,1
12,HeteroGCNMean,0.6759780297676722,0.6804887056350708,0.5684897554527429,0.5686813186813187,0.628,5e-05,0.016944445864175896,0.11998659372329712,0,109,0.6546461582183838,1
13,HeteroGCNMean,0.676126187046369,0.6790465116500854,0.5758426966292135,0.5760810866946371,0.649,5e-05,0.018013397972419055,0.16299636662006378,0,109,0.6546461582183838,1
14,HeteroGCNMean,0.6752099444468816,0.6789050102233887,0.5646067415730337,0.5647010138630251,0.644,5e-05,0.0174326641426174,0.14234620332717896,0,109,0.6546461582183838,1
15,HeteroGCNMean,0.6737397164106369,0.677384614944458,0.562871777924653,0.5630374278237029,0.666,5e-05,0.022411395702518207,0.15266472101211548,0,109,0.6546461582183838,1
16,HeteroGCNMean,0.6729772488276163,0.6785491108894348,0.5680766688697951,0.5675642343268242,0.646,5e-05,0.018170177269858676,0.13855409622192383,0,109,0.6546461582183838,1
17,HeteroGCNMean,0.670989379286766,0.6770867705345154,0.5810475875743555,0.5804727646454265,0.666,5e-05,0.01652399131211603,0.14798176288604736,0,109,0.6546461582183838,1
18,HeteroGCNMean,0.6716664383808771,0.676230251789093,0.5884005287508262,0.5875205254515599,0.648,5e-05,0.021428701543852947,0.16880643367767334,0,109,0.6546461582183838,1
