epoch,train_loss,val_loss,val_balanced_accuracy,val_macro_f1,epoch_runtime_seconds,learning_rate,grad_norm_mean,grad_norm_max,is_best_epoch,best_epoch,best_val_loss,early_stopped
1,1.0760219030910068,1.0491381287574768,0.3085595137121855,0.2302118171683389,1.739,5e-05,0.022091508578877032,0.2554454803466797,0,25,0.8962720334529877,1
2,1.049873451391856,1.014035940170288,0.3302469135802469,0.22973698336017176,1.717,5e-05,0.01754807739137089,0.3990043103694916,0,25,0.8962720334529877,1
3,1.039113011625078,0.9903993606567383,0.3333333333333333,0.23113964686998392,1.702,5e-05,0.01339705544742931,0.21548227965831757,0,25,0.8962720334529877,1
4,1.0312966638141208,0.9809842109680176,0.3333333333333333,0.23113964686998392,1.705,5e-05,0.01209249937065333,0.33370381593704224,0,25,0.8962720334529877,1
5,1.0320201847288344,0.9743970930576324,0.3333333333333333,0.23113964686998392,1.713,5e-05,0.012129084049797196,0.2753736078739166,0,25,0.8962720334529877,1
6,1.0302895175086126,0.9714776873588562,0.3333333333333333,0.23113964686998392,1.701,5e-05,0.012491453076143695,0.32054656744003296,0,25,0.8962720334529877,1
7,1.0254021551873949,0.9686993062496185,0.33124823296579026,0.2343405333173777,1.701,5e-05,0.011530604355033197,0.20753315091133118,0,25,0.8962720334529877,1
8,1.024859110514323,0.9637441039085388,0.3322495523513335,0.2387977301675559,1.716,5e-05,0.01029411759850037,0.23140279948711395,0,25,0.8962720334529877,1
9,1.0289262764983707,0.9609445333480835,0.3418857789086797,0.2619156041287189,1.722,5e-05,0.013810941612593922,0.4856698215007782,0,25,0.8962720334529877,1
10,1.0210134387016296,0.9617815315723419,0.3566110639901989,0.29171717171717176,1.734,5e-05,0.013621925595979497,0.3344585597515106,0,25,0.8962720334529877,1
11,1.0189815958340962,0.9559087157249451,0.3566110639901989,0.29171717171717176,1.698,5e-05,0.01336759758703647,0.29014676809310913,0,25,0.8962720334529877,1
12,1.0163553059101105,0.9524626433849335,0.3617001225143719,0.3002601263470828,1.69,5e-05,0.011652477589007358,0.18672621250152588,0,25,0.8962720334529877,1
13,1.0148145722018347,0.9470170438289642,0.36879181980963155,0.31406917459005096,1.748,5e-05,0.013334817652561726,0.3007254898548126,0,25,0.8962720334529877,1
14,1.012418760193719,0.9448456168174744,0.3707119969842616,0.3239570328755722,1.708,5e-05,0.013328015619891644,0.2526096999645233,0,25,0.8962720334529877,1
15,1.003985305627187,0.9391873478889465,0.3707119969842616,0.3239570328755722,1.716,5e-05,0.015046106822590758,0.36910489201545715,0,25,0.8962720334529877,1
16,1.0089991390705109,0.9340004026889801,0.3788050136650645,0.33757383007723757,1.74,5e-05,0.014128915611301298,0.32904914021492004,0,25,0.8962720334529877,1
17,1.001614169942008,0.9308705627918243,0.3817265102252379,0.3458650212847372,1.706,5e-05,0.014328227323911242,0.345978319644928,0,25,0.8962720334529877,1
18,1.0025939974519942,0.9216814339160919,0.3787225520686081,0.340608228980322,1.715,5e-05,0.018230865900350113,0.40400072932243347,0,25,0.8962720334529877,1
19,1.002464344104131,0.9207354187965393,0.38719253604749787,0.35485413677666183,1.704,5e-05,0.016979233360272492,0.33269092440605164,0,25,0.8962720334529877,1
20,0.991451664103402,0.9148823022842407,0.38110215813778153,0.3475930169028025,1.751,5e-05,0.016141171872175186,0.31710031628608704,0,25,0.8962720334529877,1
21,0.9905680020650228,0.9079714119434357,0.38156158703232496,0.3491837702364018,1.701,5e-05,0.017491231145534965,0.4082346558570862,0,25,0.8962720334529877,1
22,0.9877764383951823,0.9051556289196014,0.38456554518895486,0.3533786938829964,1.696,5e-05,0.016842595752010785,0.42205101251602173,0,25,0.8962720334529877,1
23,0.9802890717983246,0.9036561250686646,0.391739704080671,0.3604406900867078,1.715,5e-05,0.01920451366596146,0.5759936571121216,0,25,0.8962720334529877,1
24,0.9811698397000631,0.8990145921707153,0.39520309113184426,0.3649131359087893,1.697,5e-05,0.020403404248631504,0.5067705512046814,0,25,0.8962720334529877,1
25,0.9713311923874749,0.8962720334529877,0.3926585618697578,0.3622782446311858,1.72,5e-05,0.01999147081090084,0.49181339144706726,1,25,0.8962720334529877,1
26,0.9674677120314704,0.9055563807487488,0.39203420978230136,0.3622539682539683,1.715,5e-05,0.02447752539888423,0.6473026871681213,0,25,0.8962720334529877,1
27,0.9650208983156416,0.8974952101707458,0.3911153519932146,0.36098625496710307,1.724,5e-05,0.02400049759211794,0.507713794708252,0,25,0.8962720334529877,1
28,0.9605714115831587,0.903629720211029,0.3783102440863255,0.34892591632088515,1.732,5e-05,0.024252816467447227,0.51937335729599,0,25,0.8962720334529877,1
29,0.9620385766029358,0.9033346772193909,0.3854019413815852,0.3562865964015756,1.724,5e-05,0.024393124808546312,0.45262783765792847,0,25,0.8962720334529877,1
30,0.9597036441167196,0.9064001441001892,0.3828574121194987,0.35372560315352075,1.691,5e-05,0.026681428147171806,0.7168387770652771,0,25,0.8962720334529877,1
31,0.957075125641293,0.9085511267185211,0.38531947978512865,0.3563815321534664,1.713,5e-05,0.027468245822941786,0.5934576988220215,0,25,0.8962720334529877,1
32,0.9564042389392853,0.9176879525184631,0.36596456507397984,0.33731739707835323,1.797,5e-05,0.02716155822834034,0.8416546583175659,0,25,0.8962720334529877,1
33,0.9509258270263672,0.9096555411815643,0.38732211855621523,0.35833099710307453,1.775,5e-05,0.03249074188209881,0.9016852974891663,0,25,0.8962720334529877,1
34,0.9495751493506961,0.9183598458766937,0.37968853076995573,0.35044395044395044,1.739,5e-05,0.026981387429427833,0.8205119371414185,0,25,0.8962720334529877,1
35,0.9418821831544241,0.9258276522159576,0.3735981528602394,0.3444221776887108,1.687,5e-05,0.028161796526525222,0.7995573878288269,0,25,0.8962720334529877,1
36,0.9494548108842638,0.9242286086082458,0.3649632456884366,0.3356507936507936,1.704,5e-05,0.034348100427450734,1.0132873058319092,0,25,0.8962720334529877,1
37,0.9453490078449249,0.9219845533370972,0.3802304212609557,0.35087223895582326,1.692,5e-05,0.02799789347561697,0.5456855297088623,0,25,0.8962720334529877,1
38,0.9513305524984995,0.9261900782585144,0.37722646310432567,0.34761904761904766,1.72,5e-05,0.03390060704896724,1.1588373184204102,0,25,0.8962720334529877,1
39,0.9369131657812331,0.9358333051204681,0.3735981528602394,0.34414853713428356,1.688,5e-05,0.0279906311857314,0.5760565996170044,0,25,0.8962720334529877,1
40,0.9415094819333818,0.9466044902801514,0.3634200358118933,0.33409334164345883,1.681,5e-05,0.03200018540827943,0.9134921431541443,0,25,0.8962720334529877,1
41,0.9363097581598494,0.9312361180782318,0.3735981528602394,0.34414853713428356,1.67,5e-05,0.031862158174488515,0.7292158007621765,0,25,0.8962720334529877,1
42,0.9396600921948751,0.9433183372020721,0.36387946470643673,0.3349483204134367,1.674,5e-05,0.033287086682703235,1.0774646997451782,0,25,0.8962720334529877,1
43,0.941437711318334,0.9415555894374847,0.3689685232306097,0.3399460188933873,1.684,5e-05,0.03440010997669355,1.1705118417739868,0,25,0.8962720334529877,1
44,0.9307692415184445,0.9454429745674133,0.3685090943360663,0.3391934195187761,1.674,5e-05,0.032560749928534076,0.8886193037033081,0,25,0.8962720334529877,1
45,0.9286367727650536,0.9553536772727966,0.359791725567807,0.3310202550637659,1.672,5e-05,0.03231472340138457,1.27444326877594,0,25,0.8962720334529877,1
