signal_set,signal_set_description,experiment_id,experiment_display_name,cv_strategy,source_model,split,fold,class_index,class_name,count,total,proportion
gaze_only,Gaze x/y nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Random,test,skf_6_P18_P29_P7,0,Low valence,304,483,0.629399585921325
gaze_only,Gaze x/y nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Random,test,skf_6_P18_P29_P7,1,High valence,179,483,0.37060041407867494
gaze_pupil,Gaze x/y plus pupil nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Random,test,skf_0_P1_P14_P2_P27,0,Low valence,371,712,0.5210674157303371
gaze_pupil,Gaze x/y plus pupil nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Random,test,skf_0_P1_P14_P2_P27,1,High valence,341,712,0.4789325842696629
gaze_pupil,Gaze x/y plus pupil nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Random,test,skf_1_P17_P20_P8,0,Low valence,266,514,0.5175097276264592
gaze_pupil,Gaze x/y plus pupil nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Random,test,skf_1_P17_P20_P8,1,High valence,248,514,0.48249027237354086
gaze_pupil,Gaze x/y plus pupil nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Random,test,skf_2_P13_P28_P30,0,Low valence,244,487,0.5010266940451745
gaze_pupil,Gaze x/y plus pupil nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Random,test,skf_2_P13_P28_P30,1,High valence,243,487,0.4989733059548255
gaze_pupil,Gaze x/y plus pupil nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Random,test,skf_3_P19_P22_P4,0,Low valence,228,469,0.4861407249466951
gaze_pupil,Gaze x/y plus pupil nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Random,test,skf_3_P19_P22_P4,1,High valence,241,469,0.5138592750533049
gaze_pupil,Gaze x/y plus pupil nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Random,test,skf_4_P10_P16_P5,0,Low valence,255,507,0.5029585798816568
gaze_pupil,Gaze x/y plus pupil nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Random,test,skf_4_P10_P16_P5,1,High valence,252,507,0.4970414201183432
gaze_pupil,Gaze x/y plus pupil nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Random,test,skf_5_P21_P23_P24,0,Low valence,252,515,0.4893203883495146
gaze_pupil,Gaze x/y plus pupil nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Random,test,skf_5_P21_P23_P24,1,High valence,263,515,0.5106796116504855
gaze_pupil,Gaze x/y plus pupil nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Random,test,skf_6_P18_P29_P7,0,Low valence,302,481,0.6278586278586279
gaze_pupil,Gaze x/y plus pupil nodes with temporal and spatial graph relations.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Random,test,skf_6_P18_P29_P7,1,High valence,179,481,0.37214137214137216
pupil_only,Pupil left/right nodes with temporal graph relations only.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Random,test,skf_0_P1_P14_P2_P27,0,Low valence,371,712,0.5210674157303371
pupil_only,Pupil left/right nodes with temporal graph relations only.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Random,test,skf_0_P1_P14_P2_P27,1,High valence,341,712,0.4789325842696629
pupil_only,Pupil left/right nodes with temporal graph relations only.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Random,test,skf_1_P17_P20_P8,0,Low valence,266,514,0.5175097276264592
pupil_only,Pupil left/right nodes with temporal graph relations only.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Random,test,skf_1_P17_P20_P8,1,High valence,248,514,0.48249027237354086
pupil_only,Pupil left/right nodes with temporal graph relations only.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Random,test,skf_2_P13_P28_P30,0,Low valence,244,487,0.5010266940451745
pupil_only,Pupil left/right nodes with temporal graph relations only.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Random,test,skf_2_P13_P28_P30,1,High valence,243,487,0.4989733059548255
pupil_only,Pupil left/right nodes with temporal graph relations only.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Random,test,skf_3_P19_P22_P4,0,Low valence,232,474,0.48945147679324896
pupil_only,Pupil left/right nodes with temporal graph relations only.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Random,test,skf_3_P19_P22_P4,1,High valence,242,474,0.510548523206751
pupil_only,Pupil left/right nodes with temporal graph relations only.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Random,test,skf_4_P10_P16_P5,0,Low valence,256,508,0.5039370078740157
pupil_only,Pupil left/right nodes with temporal graph relations only.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Random,test,skf_4_P10_P16_P5,1,High valence,252,508,0.49606299212598426
pupil_only,Pupil left/right nodes with temporal graph relations only.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Random,test,skf_5_P21_P23_P24,0,Low valence,252,515,0.4893203883495146
pupil_only,Pupil left/right nodes with temporal graph relations only.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Random,test,skf_5_P21_P23_P24,1,High valence,263,515,0.5106796116504855
pupil_only,Pupil left/right nodes with temporal graph relations only.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Random,test,skf_6_P18_P29_P7,0,Low valence,303,482,0.6286307053941909
pupil_only,Pupil left/right nodes with temporal graph relations only.,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Random,test,skf_6_P18_P29_P7,1,High valence,179,482,0.37136929460580914
