signal_set,signal_set_description,experiment_id,experiment_display_name,cv_strategy,summary_model_name,model,fold_id,suite_run_dir,trainer_run_dir,diagnostics_path,split,logit_mean,logit_std,logit_min,logit_max,logit_range,prediction_entropy_mean,prediction_entropy_std,prediction_entropy_min,prediction_entropy_max,graph_embedding_variance,graph_embedding_mean_pairwise_cosine_similarity,graph_embedding_pair_count,temporal_forward_edge_weight_mean,temporal_forward_edge_weight_std,temporal_forward_edge_weight_min,temporal_forward_edge_weight_max,temporal_backward_edge_weight_mean,temporal_backward_edge_weight_std,temporal_backward_edge_weight_min,temporal_backward_edge_weight_max,spatial_edge_weight_mean,spatial_edge_weight_std,spatial_edge_weight_min,spatial_edge_weight_max,fixation_edge_weight_mean,fixation_edge_weight_std,fixation_edge_weight_min,fixation_edge_weight_max,best_epoch,best_val_loss,early_stopped
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,BasicGCN,BasicGCN,skf_3_P19_P22_P4,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/all_signals/2026-06-12_18-09-29,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/all_signals/2026-06-12_18-09-29/multiclass_table6_valence_3class_emotion-elicitation_2026-06-12_18-10-59,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/all_signals/2026-06-12_18-09-29/multiclass_table6_valence_3class_emotion-elicitation_2026-06-12_18-10-59/subject_kfold/skf_3_P19_P22_P4/gnn/BasicGCN/gnn_fold_diagnostics.csv,val,0.044861551374197,0.5259395837783813,-1.1275558471679688,1.270380973815918,2.3979368209838867,0.5860792398452759,0.0915740579366684,0.347876489162445,0.6928607225418091,0.3291417062282562,0.4886291325092315,16290,,,,,,,,,,,,,,,,,49,0.5465885996818542,1
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,BasicGCN,BasicGCN,skf_3_P19_P22_P4,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/all_signals/2026-06-12_18-09-29,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/all_signals/2026-06-12_18-09-29/multiclass_table6_valence_3class_emotion-elicitation_2026-06-12_18-10-59,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/all_signals/2026-06-12_18-09-29/multiclass_table6_valence_3class_emotion-elicitation_2026-06-12_18-10-59/subject_kfold/skf_3_P19_P22_P4/gnn/BasicGCN/gnn_fold_diagnostics.csv,test,-0.0153828989714384,0.4144638180732727,-1.198650598526001,1.0982822179794312,2.296932816505432,0.6235870718955994,0.0727044716477394,0.3306117057800293,0.6931469440460205,0.4240704178810119,0.2970354855060577,109278,,,,,,,,,,,,,,,,,49,0.5465885996818542,1
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,BasicGCN,BasicGCN,skf_4_P10_P16_P5,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/all_signals/2026-06-12_18-09-29,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/all_signals/2026-06-12_18-09-29/multiclass_table6_valence_3class_emotion-elicitation_2026-06-12_18-10-59,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/all_signals/2026-06-12_18-09-29/multiclass_table6_valence_3class_emotion-elicitation_2026-06-12_18-10-59/subject_kfold/skf_4_P10_P16_P5/gnn/BasicGCN/gnn_fold_diagnostics.csv,train,-0.0025745916645973,0.8553214073181152,-2.7501018047332764,3.573203086853028,6.323304891586304,0.5169023871421814,0.1814783066511154,0.0202740784734487,0.6931471824645996,0.5450410842895508,0.1338469237089157,10000,,,,,,,,,,,,,,,,,197,0.504867672920227,1
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,BasicGCN,BasicGCN,skf_4_P10_P16_P5,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/all_signals/2026-06-12_18-09-29,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/all_signals/2026-06-12_18-09-29/multiclass_table6_valence_3class_emotion-elicitation_2026-06-12_18-10-59,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/all_signals/2026-06-12_18-09-29/multiclass_table6_valence_3class_emotion-elicitation_2026-06-12_18-10-59/subject_kfold/skf_4_P10_P16_P5/gnn/BasicGCN/gnn_fold_diagnostics.csv,val,-0.0533617846667766,0.9257269501686096,-2.1955082416534424,3.3842861652374268,5.579794406890869,0.4904752969741821,0.187647745013237,0.0247415509074926,0.6930561065673828,0.389497846364975,0.3964166343212127,11175,,,,,,,,,,,,,,,,,197,0.504867672920227,1
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,BasicGCN,BasicGCN,skf_4_P10_P16_P5,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/all_signals/2026-06-12_18-09-29,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/all_signals/2026-06-12_18-09-29/multiclass_table6_valence_3class_emotion-elicitation_2026-06-12_18-10-59,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/all_signals/2026-06-12_18-09-29/multiclass_table6_valence_3class_emotion-elicitation_2026-06-12_18-10-59/subject_kfold/skf_4_P10_P16_P5/gnn/BasicGCN/gnn_fold_diagnostics.csv,test,0.0266444236040115,0.8715097308158875,-2.4824676513671875,3.236470460891724,5.718938112258911,0.5075650811195374,0.1850970089435577,0.0219927318394184,0.6931469440460205,0.465926319360733,0.2586129009723663,128271,,,,,,,,,,,,,,,,,197,0.504867672920227,1
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,BasicGCN,BasicGCN,skf_5_P21_P23_P24,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/all_signals/2026-06-12_18-09-29,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/all_signals/2026-06-12_18-09-29/multiclass_table6_valence_3class_emotion-elicitation_2026-06-12_18-10-59,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/all_signals/2026-06-12_18-09-29/multiclass_table6_valence_3class_emotion-elicitation_2026-06-12_18-10-59/subject_kfold/skf_5_P21_P23_P24/gnn/BasicGCN/gnn_fold_diagnostics.csv,train,-0.0149228004738688,0.5374509692192078,-1.545656681060791,1.675727128982544,3.221383810043335,0.5874491333961487,0.1074064970016479,0.2371417880058288,0.6931471824645996,0.4606131911277771,0.2752952873706817,10000,,,,,,,,,,,,,,,,,58,0.6147747039794922,1
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,BasicGCN,BasicGCN,skf_5_P21_P23_P24,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/all_signals/2026-06-12_18-09-29,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/all_signals/2026-06-12_18-09-29/multiclass_table6_valence_3class_emotion-elicitation_2026-06-12_18-10-59,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/all_signals/2026-06-12_18-09-29/multiclass_table6_valence_3class_emotion-elicitation_2026-06-12_18-10-59/subject_kfold/skf_5_P21_P23_P24/gnn/BasicGCN/gnn_fold_diagnostics.csv,val,0.0589168481528759,0.6323518753051758,-1.302804708480835,1.6115214824676514,2.9143261909484863,0.5569453239440918,0.1292819529771804,0.2424906492233276,0.6931014060974121,0.382056713104248,0.4294163882732391,11175,,,,,,,,,,,,,,,,,58,0.6147747039794922,1
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,BasicGCN,BasicGCN,skf_5_P21_P23_P24,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/all_signals/2026-06-12_18-09-29,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/all_signals/2026-06-12_18-09-29/multiclass_table6_valence_3class_emotion-elicitation_2026-06-12_18-10-59,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/all_signals/2026-06-12_18-09-29/multiclass_table6_valence_3class_emotion-elicitation_2026-06-12_18-10-59/subject_kfold/skf_5_P21_P23_P24/gnn/BasicGCN/gnn_fold_diagnostics.csv,test,0.0378173664212226,0.6438203454017639,-1.2719357013702393,1.5985267162322998,2.870462417602539,0.5459409356117249,0.1193933188915252,0.2582130134105682,0.6931439638137817,0.4265137016773224,0.3952242136001587,129795,,,,,,,,,,,,,,,,,58,0.6147747039794922,1
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,BasicGCN,BasicGCN,skf_6_P18_P29_P7,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/all_signals/2026-06-12_18-09-29,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/all_signals/2026-06-12_18-09-29/multiclass_table6_valence_3class_emotion-elicitation_2026-06-12_18-10-59,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/all_signals/2026-06-12_18-09-29/multiclass_table6_valence_3class_emotion-elicitation_2026-06-12_18-10-59/subject_kfold/skf_6_P18_P29_P7/gnn/BasicGCN/gnn_fold_diagnostics.csv,train,-0.0480577684938907,0.6981131434440613,-2.5767006874084477,2.567918300628662,5.144618988037109,0.5513613224029541,0.1542052924633026,0.0750534981489181,0.6931471824645996,0.5057635307312012,0.1556292474269867,10000,,,,,,,,,,,,,,,,,149,0.5241684913635254,1
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,BasicGCN,BasicGCN,skf_6_P18_P29_P7,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/all_signals/2026-06-12_18-09-29,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/all_signals/2026-06-12_18-09-29/multiclass_table6_valence_3class_emotion-elicitation_2026-06-12_18-10-59,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/all_signals/2026-06-12_18-09-29/multiclass_table6_valence_3class_emotion-elicitation_2026-06-12_18-10-59/subject_kfold/skf_6_P18_P29_P7/gnn/BasicGCN/gnn_fold_diagnostics.csv,val,-0.0546993128955364,0.8653437495231628,-2.1842026710510254,2.1916990280151367,4.375901699066162,0.4992051124572754,0.1841845065355301,0.1177358478307724,0.693141520023346,0.3868266940116882,0.3423898816108703,11175,,,,,,,,,,,,,,,,,149,0.5241684913635254,1
