signal_set,signal_set_description,experiment_id,experiment_display_name,cv_strategy,model,split,logit_mean_mean,logit_mean_std,logit_std_mean,logit_std_std,logit_min_mean,logit_min_std,logit_max_mean,logit_max_std,logit_range_mean,logit_range_std,prediction_entropy_mean_mean,prediction_entropy_mean_std,prediction_entropy_std_mean,prediction_entropy_std_std,prediction_entropy_min_mean,prediction_entropy_min_std,prediction_entropy_max_mean,prediction_entropy_max_std,graph_embedding_variance_mean,graph_embedding_variance_std,graph_embedding_mean_pairwise_cosine_similarity_mean,graph_embedding_mean_pairwise_cosine_similarity_std,graph_embedding_pair_count_mean,graph_embedding_pair_count_std,temporal_forward_edge_weight_mean_mean,temporal_forward_edge_weight_mean_std,temporal_forward_edge_weight_std_mean,temporal_forward_edge_weight_std_std,temporal_forward_edge_weight_min_mean,temporal_forward_edge_weight_min_std,temporal_forward_edge_weight_max_mean,temporal_forward_edge_weight_max_std,temporal_backward_edge_weight_mean_mean,temporal_backward_edge_weight_mean_std,temporal_backward_edge_weight_std_mean,temporal_backward_edge_weight_std_std,temporal_backward_edge_weight_min_mean,temporal_backward_edge_weight_min_std,temporal_backward_edge_weight_max_mean,temporal_backward_edge_weight_max_std,spatial_edge_weight_mean_mean,spatial_edge_weight_mean_std,spatial_edge_weight_std_mean,spatial_edge_weight_std_std,spatial_edge_weight_min_mean,spatial_edge_weight_min_std,spatial_edge_weight_max_mean,spatial_edge_weight_max_std,fixation_edge_weight_mean_mean,fixation_edge_weight_mean_std,fixation_edge_weight_std_mean,fixation_edge_weight_std_std,fixation_edge_weight_min_mean,fixation_edge_weight_min_std,fixation_edge_weight_max_mean,fixation_edge_weight_max_std,best_epoch_mean,best_epoch_std,best_val_loss_mean,best_val_loss_std,early_stopped_mean,early_stopped_std
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,BasicGCN,test,-0.02928835126970496,0.09333627808067835,0.5919993338840348,0.28292468777957525,-1.588168544428689,0.7054987844509915,1.742811388203076,0.9978864418713073,3.3309799326317653,1.69282078554661,0.5685086378029415,0.07049940973623228,0.11560179632423176,0.06490112614097969,0.2529126932578427,0.21685182752127638,0.6931461777005877,1.4035295317659927e-06,0.4195504401411329,0.05910286541581912,0.33562858189855305,0.05924359897930331,140280.14285714287,49505.29275888446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0,66.88547425761939,0.5779744131224496,0.06295467765324553,1.0,0.0
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,BasicGCN,train,-0.03879263062429209,0.02798317663579112,0.5446943427835192,0.23979561629194815,-1.7593345386641366,0.7759086541661969,1.872671331678118,1.034745617272603,3.6320058703422546,1.7977966262622493,0.5873626896313259,0.05549175386308672,0.1104431658916707,0.058289508498585454,0.23883429888103686,0.21379646386603723,0.6931471739496503,2.2528438136104744e-08,0.46923504556928364,0.05550841691897188,0.24603942462376183,0.08138227479667662,10000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0,66.88547425761939,0.5779744131224496,0.06295467765324553,1.0,0.0
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,BasicGCN,val,-0.017373270754303227,0.06448638577236378,0.5940221984471593,0.2983705336685083,-1.4091567482267107,0.6577772195408633,1.6854989379644394,1.0121637400038386,3.09465568619115,1.64596449129125,0.5692588601793561,0.07466693540738273,0.11704902098114998,0.06833929604813735,0.2779981938323804,0.2247211558868977,0.6930835843086243,0.00010352718265477896,0.33378739442144123,0.07174619326926329,0.471100994518825,0.09870055370102593,13064.714285714286,3049.871402441187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0,66.88547425761939,0.5779744131224496,0.06295467765324553,1.0,0.0
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,HeteroGCNMLP,test,-0.08059402315744328,0.10643511543562179,0.6855415691222463,0.35476303120497693,-1.7899140417575836,0.939151506938474,1.741684466600418,1.0537139897922212,3.5315985083580017,1.9132770317061718,0.5413234276430947,0.0932989758689757,0.12812637605903934,0.07463315731943967,0.2224816578839506,0.24010243942053788,0.6931432655879429,7.532599273185667e-06,0.36010480565684183,0.07416863225695264,0.3885213349546705,0.1152307728607176,140280.14285714287,49505.29275888446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.85714285714286,46.40915344853344,0.5708423384598323,0.06359165367480138,1.0,0.0
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,HeteroGCNMLP,train,-0.04240987197096857,0.09851105178810585,0.6034724180187497,0.2668439363135175,-1.7976363556725639,0.8273188510533612,1.8530328273773193,1.033161846357398,3.650669183049883,1.8283807080019074,0.5716652870178223,0.06869654725598395,0.12009559292346235,0.06634730924499642,0.21297663822770116,0.23295964138926564,0.6931471484048026,4.689668372847242e-08,0.41635628257478985,0.025709468437420235,0.2700898732457842,0.07729876819766676,10000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.85714285714286,46.40915344853344,0.5708423384598323,0.06359165367480138,1.0,0.0
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,HeteroGCNMLP,val,-0.06271288437502723,0.08933282624249857,0.618460584964071,0.28819018712803196,-1.6669447081429618,0.761204948414181,1.5801176577806473,0.9489517027333743,3.247062365923609,1.661280239058205,0.5602853383336749,0.07462155111284867,0.12289844348561015,0.06321293470310857,0.23398222508175026,0.23398378631419292,0.6931313787187848,2.5845228035917925e-05,0.3010209969111851,0.06086795450725602,0.4582286136490958,0.15237987292231917,13064.714285714286,3049.871402441187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.85714285714286,46.40915344853344,0.5708423384598323,0.06359165367480138,1.0,0.0
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,HeteroGCNMLPWeights,test,0.0071538628212043254,0.15351855186528898,0.6649933883122036,0.24756695349636845,-1.6780966520309448,0.7289641207766357,1.629203464303698,0.6788046661465065,3.3073001163346425,1.370973777141991,0.5448010052953448,0.07409972981925617,0.1305927511836801,0.056991564687260056,0.21432845188038688,0.1888131127394591,0.6931447642190116,3.049338741174421e-06,0.3522390808377947,0.06700706530672816,0.40926275082996916,0.1277825864684043,140280.14285714287,49505.29275888446,-0.13341114350727626,1.0604322898547522,0.06602457332025678,0.12766862726387718,-0.14285714285714285,1.0690449676496976,0.9999999744551522,4.689668371671351e-08,-0.13419890403747553,1.0611188945313415,0.06694157661071841,0.12022644410920202,-0.14285714285714285,1.0690449676496976,0.9999999914850507,2.2528438142224272e-08,-0.09768596717289516,0.7226432598951106,0.2827193098408835,0.0035005514977526917,-0.5213781094976834,0.5971735418069432,0.8393667680876595,0.4249955839326171,0.02420504391193388,0.18074344141281926,0.02511125989258284,0.0022233031903747765,-0.37102811091712545,0.5891185559161434,0.7056653834879398,0.413495145150241,64.42857142857143,39.22948356724035,0.5700460459504809,0.06271081532095903,1.0,0.0
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,HeteroGCNMLPWeights,train,0.017632912245712097,0.15225090888791218,0.6038938973631177,0.19680894344135452,-1.8133366448538644,0.7102656076747341,1.726712669645037,0.6591801271528178,3.5400493144989014,1.317619298016991,0.5710055828094482,0.05428881179132873,0.12336901122970234,0.05308552594926635,0.1927954176706927,0.18251948117136835,0.6931471824645996,0.0,0.4202356125627245,0.024058446835404836,0.2664224335125514,0.07896006463697681,10000.0,0.0,-0.13799606050763813,1.0645386503235068,0.055949049742546456,0.08692149639829475,-0.14285715137209212,1.0690449570296903,0.9999999829701015,2.9084088598778647e-08,-0.139115571975708,1.0655646394998002,0.0521163051681859,0.07410252300299229,-0.14285714285714285,1.0690449676496976,0.9999999914850507,2.2528438142224272e-08,-0.09619514431272234,0.7228470461425042,0.28313779830932617,0.003402879633343905,-0.5286728686520031,0.5879439660670549,0.8414505805288043,0.4194823344344459,0.024190572755677354,0.18068718192568556,0.02515647453921176,0.0016099550469601542,-0.4041002318263054,0.5641175736094062,0.8502900254513536,0.3960953614415276,64.42857142857143,39.22948356724035,0.5700460459504809,0.06271081532095903,1.0,0.0
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,HeteroGCNMLPWeights,val,0.016459316547427844,0.16742210918012868,0.6368017303092139,0.2530980521760309,-1.5257606250899178,0.6896699932095873,1.5182853170803614,0.5424305077395645,3.0440459421702792,1.1649116871081193,0.5527874614511218,0.07384042970022166,0.12452102505734984,0.0579555941878964,0.23767823938812524,0.19525727411526797,0.693136181150164,1.922533494699793e-05,0.318233106817518,0.0699444442844158,0.4516004366534097,0.12511516391813354,13064.714285714286,3049.871402441187,-0.13280391693115232,1.0597495290262724,0.07818273217692095,0.12605144893773051,-0.14285714285714285,1.0690449676496976,0.7142857483455113,0.7559288296215244,-0.13302132061549596,1.0599647754591013,0.0781889317025031,0.1239558648447426,-0.14285714285714285,1.0690449676496976,0.9999999829701015,2.9084088598778647e-08,-0.09054076671600342,0.7210906887711206,0.28398122106279644,0.006335558023980692,-0.5121601607118335,0.6086209483279281,0.836785369685718,0.4318251381567035,0.024179198912211826,0.18132953996759008,0.02761437105281007,0.0051869107629106525,-0.35986621997186113,0.5993295867924096,0.7184778422649417,0.40399948604380204,64.42857142857143,39.22948356724035,0.5700460459504809,0.06271081532095903,1.0,0.0
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,HeteroGCNMean,test,0.001773084580366115,0.0654596686991074,0.6588374972343445,0.3404457528682516,-1.8752163733754839,1.0139281181185653,1.8034217698233468,1.0794091425461825,3.678638143198831,2.031640025283623,0.5538990923336574,0.08252639677587785,0.12748051361579976,0.06899229360369102,0.2090362515300512,0.22913043946674208,0.6931435976709638,7.4846307068399014e-06,0.3886647373437881,0.08244032325944121,0.36396847452436176,0.14224918595843922,140280.14285714287,49505.29275888446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.14285714285714,83.17537410281277,0.568311985049929,0.0639877425101394,1.0,0.0
