signal_set,signal_set_description,experiment_id,experiment_display_name,cv_strategy,model,summary_model_name,true_class_index,true_class_name,pred_class_index,pred_class_name,count,row_normalized
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,MOMENT_GazeMAE_all_signals,MOMENT_GazeMAE_all_signals,0,Low valence,0,Low valence,1320,0.6896551724137931
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,MOMENT_GazeMAE_all_signals,MOMENT_GazeMAE_all_signals,0,Low valence,1,High valence,594,0.3103448275862069
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,MOMENT_GazeMAE_all_signals,MOMENT_GazeMAE_all_signals,1,High valence,0,Low valence,649,0.3691695108077361
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,MOMENT_GazeMAE_all_signals,MOMENT_GazeMAE_all_signals,1,High valence,1,High valence,1109,0.6308304891922639
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Majority,Majority,0,Low valence,0,Low valence,1914,1.0
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Majority,Majority,0,Low valence,1,High valence,0,0.0
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Majority,Majority,1,High valence,0,Low valence,1758,1.0
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Majority,Majority,1,High valence,1,High valence,0,0.0
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Random,Random,0,Low valence,0,Low valence,993,0.5188087774294671
all_signals,"Gaze, pupil, screen distance, and fixation-duration nodes with all graph relations.",multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Random,Random,0,Low valence,1,High valence,921,0.48119122257053293
