model,metric_type,accuracy,precision,recall,f1,auc
Mean,aggregated,0.4606300112643401,0.4415487391795345,0.9,0.5464555682911465,0.5
Mean,emotion_emotion-anger,0.4606300112643401,0.4415487391795345,0.9,0.5464555682911465,0.5
SVM,aggregated,0.4483366346312011,0.5351111731648046,0.7907241538986015,0.5497458612414619,0.5563095169898336
SVM,emotion_emotion-anger,0.4483366346312011,0.5351111731648046,0.7907241538986015,0.5497458612414619,0.5563095169898336
LightGBM,aggregated,0.468642793532275,0.5391437135601915,0.7346524517231664,0.5411687481245355,0.5639314570193491
LightGBM,emotion_emotion-anger,0.468642793532275,0.5391437135601915,0.7346524517231664,0.5411687481245355,0.5639314570193491
MLP,aggregated,0.5066898451054818,0.5554637657408328,0.663792896385565,0.5346274977308334,0.5746859798160721
MLP,emotion_emotion-anger,0.5066898451054818,0.5554637657408328,0.663792896385565,0.5346274977308334,0.5746859798160721
GNN,aggregated,0.522387187075763,0.522387187075763,1.0,0.6357786511753586,0.5060189465218708
GNN,emotion_emotion-anger,0.522387187075763,0.522387187075763,1.0,0.6357786511753586,0.5060189465218708
