epoch,train_loss,val_loss
1.0,0.6658792496903173,0.6489735841751099
2.0,0.6005340674298127,0.6331497430801392
3.0,0.5713265030341741,0.7014468312263489
4.0,0.5226465438558113,0.5899584889411926
5.0,0.4848059070180859,0.664381742477417
6.0,0.4671535041283652,0.5864980816841125
7.0,0.4247333865703367,0.577772855758667
8.0,0.391869258618057,0.6804701685905457
9.0,0.37233128602923254,0.6645290851593018
10.0,0.3326706269475522,0.7233285307884216
11.0,0.3031845666678778,0.6565409302711487
12.0,0.2886329379856077,0.700993001461029
13.0,0.2745382292422709,0.6988162994384766
14.0,0.23299356551447797,0.7968213558197021
15.0,0.23113900305486526,0.941170871257782
16.0,0.2560984854005341,0.7931309342384338
17.0,0.18975983110405284,0.8110026121139526
18.0,0.15670454217014462,0.9404676556587219
19.0,0.1514509912386762,0.8292182683944702
20.0,0.1501009042995059,0.8534941673278809
21.0,0.15097589338201978,0.8742347955703735
22.0,0.14004482383754674,1.0021014213562012
