epoch,train_loss
1,1.0907410188814826
2,1.0349068040884646
3,1.0233690379134932
4,1.0156199927493237
5,1.0104204019919516
6,1.0075425274714602
7,1.003401891017328
8,1.002110286481466
9,0.9986839216614963
10,0.9968337325240209
11,0.9963153568266149
12,0.9950227213983474
13,0.992597937625049
14,0.9909377877695305
15,0.9906151707156232
16,0.9894101967974581
17,0.9879959230796569
18,0.9869464190525268
19,0.9861319282776833
20,0.9864129943287515
21,0.9844225001167892
22,0.9827300935935972
23,0.9821861571037548
24,0.9810585100606865
25,0.9787234747557423
26,0.9794755946541
27,0.9796068174150482
28,0.9780366953953068
29,0.9764059386321777
30,0.977051372155113
31,0.9754180972475921
32,0.9734760979132666
33,0.9731633491150635
34,0.9721481737148067
35,0.9720253001392231
36,0.9710326772822416
37,0.9699693974647428
38,0.9715113361618221
39,0.9674987083240449
40,0.9677895597573479
41,0.9682542492988621
42,0.9655124026190474
43,0.965274627899142
44,0.9647368632294477
45,0.964003624776985
46,0.964311067018042
47,0.9645554081049041
48,0.9624138659979465
49,0.9615964247240667
50,0.960862112885155
51,0.9592982220458597
52,0.9577756083205032
53,0.9588910855498812
54,0.9590646110384423
55,0.957371784920138
56,0.9562461211685562
57,0.9558738888200016
58,0.9550058036802069
59,0.9533312793232188
60,0.9526840075190132
61,0.9538675898958193
62,0.9511524443850947
63,0.9516525520749576
64,0.9503420297840656
65,0.9507282525933257
66,0.949864587373318
67,0.9486535634137059
68,0.9485508333635304
69,0.9481414293470984
70,0.948349294921871
71,0.9465807668301331
72,0.9448452591156974
73,0.9450874851614752
74,0.94590350364113
75,0.9437499031352022
76,0.9446183243762912
77,0.9425338791665552
78,0.9422214126408412
79,0.9418296709829095
80,0.9445575536063784
81,0.9406724820950565
82,0.9419071648914555
83,0.9401639316396887
84,0.9404512446391065
85,0.9382965618061516
86,0.937052553732047
87,0.9381525151084718
88,0.9378964033527392
89,0.9370240631733284
90,0.9350089182154339
91,0.935309980567035
92,0.9356774220912074
93,0.9350703419561073
94,0.9325713324364902
95,0.9337685926171995
96,0.9332564728498971
97,0.9339836240747048
98,0.9329013942731658
99,0.929947783931114
100,0.9304993703880482
101,0.9302667406033561
102,0.9296591560333421
103,0.929353971291906
104,0.9284163459964287
105,0.9266155536136106
106,0.9253805418477759
107,0.9263965647527702
108,0.9255623962787569
109,0.9262547108825014
110,0.925136657327183
111,0.9254523275930133
112,0.9232260295690194
113,0.9229006701571608
114,0.9228361709767298
115,0.9217495837173579
116,0.922256364358337
117,0.9220988928570472
118,0.9244756745281466
119,0.9216040496561653
120,0.9198260218725223
121,0.9198446769128299
122,0.918815105866749
123,0.9190222654989537
124,0.9197905965276412
125,0.9177623709095153
126,0.9198501923680777
127,0.9184124514022667
128,0.9167835603551902
129,0.9145877330077385
130,0.9187365095297915
131,0.914231912082814
132,0.9132895544569936
133,0.9147532818127546
134,0.9126870812910821
135,0.9166823624473271
136,0.9108670277183272
137,0.911703470197848
138,0.9126786365579402
139,0.9102714934069711
140,0.9100465647531005
141,0.909291736268646
142,0.9119499723475318
143,0.9101124784112431
144,0.9101682194393845
145,0.9077142729601286
146,0.906096010546333
147,0.9070004638307327
148,0.9072651768640291
149,0.910555045696986
150,0.906829144248526
151,0.9035058953773683
152,0.9028563897682829
153,0.9046452090989943
154,0.9057368312803853
155,0.9035527688717969
156,0.9018322504563199
157,0.900714027104411
158,0.9017382336467971
159,0.9011145218005061
160,0.9002705900218517
161,0.8991665238405309
162,0.9005067025400361
163,0.8982795132651512
164,0.902894349156372
165,0.8988897638789742
166,0.89877798755994
167,0.9023916182607855
168,0.8986173578847058
169,0.8993316506711538
170,0.9005826096713562
171,0.8992991070615043
172,0.8954377832269164
173,0.8953475175643215
174,0.8949105320533762
175,0.8933393492591685
176,0.8954212057146355
177,0.8952087462701687
178,0.8930266412782575
179,0.8945953124595498
180,0.8949959828858599
181,0.8907083083745688
182,0.8928076802537174
183,0.8911772463203863
184,0.8917153381238264
185,0.891372632475767
186,0.8895377701149447
187,0.8879252294123162
188,0.8886089825620573
189,0.8921591020953318
190,0.8876939223358196
191,0.887707761621058
192,0.8889780016909216
193,0.8870923017301462
194,0.8856442839651851
195,0.8837756479677688
196,0.8830194636697927
197,0.8837921980128886
198,0.8835784777891388
199,0.88297796085517
200,0.8834296845272254
