epoch,train_loss,val_loss,val_balanced_accuracy,val_macro_f1,epoch_runtime_seconds,is_best_epoch,best_epoch,best_val_loss
1,1.0610706175074858,1.0169904629389446,0.3634737523555763,0.35604021432298344,1.826,0,45,0.9405786593755087
2,1.025629783377928,1.0216284195582073,0.37940386437070966,0.3663509173063313,1.818,0,45,0.9405786593755087
3,1.0101511338177849,1.0196062922477722,0.3884895042584206,0.38217627053476805,1.825,0,45,0.9405786593755087
4,0.9956874742227442,1.0084498127301533,0.3968151598908252,0.386749693752552,1.826,0,45,0.9405786593755087
5,0.9870986096999225,1.0043087005615234,0.3956687674009865,0.38030056778251636,1.827,0,45,0.9405786593755087
6,0.9713502771714154,0.9968641002972921,0.3951696087039897,0.3827110281487915,1.825,0,45,0.9405786593755087
7,0.9613049030303955,0.9908967812856039,0.3940085096320904,0.38003385197352185,1.824,0,45,0.9405786593755087
8,0.9551795440561631,0.9886273940404257,0.3987415779585823,0.3760314081633885,1.825,0,45,0.9405786593755087
9,0.9442453068845412,0.9735689560572306,0.39247945764432274,0.37788766196965334,1.817,0,45,0.9405786593755087
10,0.9334127727676841,0.9919382333755493,0.3929988018461086,0.3696623416098815,1.82,0,45,0.9405786593755087
11,0.9284424957107095,0.9674524267514547,0.38789230168102,0.3742232941911971,1.825,0,45,0.9405786593755087
12,0.9228948459905737,0.975649098555247,0.39513803280721255,0.3703020479739109,1.827,0,45,0.9405786593755087
13,0.9140454004792606,0.966912309328715,0.3922056556900775,0.36452725012047044,1.827,0,45,0.9405786593755087
14,0.9109301181400523,0.962552011013031,0.3903494543425509,0.371726172691691,1.826,0,45,0.9405786593755087
15,0.9046951321994557,0.9697485566139221,0.39673730151521047,0.36650028116312194,2.026,0,45,0.9405786593755087
16,0.8986456885057337,0.9622220993041992,0.3811196322777756,0.3629575307088934,1.826,0,45,0.9405786593755087
17,0.8925241512410781,0.9691842993100485,0.3852925528463724,0.3622451650621983,1.826,0,45,0.9405786593755087
18,0.8899059155408073,0.9506380359331766,0.3876037931447142,0.3661222511358024,1.826,0,45,0.9405786593755087
19,0.8872247864218319,0.9657384753227234,0.3836083608360836,0.3726627826728939,1.826,0,45,0.9405786593755087
20,0.8826446252710679,0.9564423362414042,0.3885781762973152,0.37048950069047404,1.824,0,45,0.9405786593755087
