model,metric_type,accuracy,precision,recall,f1,auc
Mean,aggregated,0.5853220256872971,0.5853220256872971,1.0,0.6708752866094111,0.5
Mean,emotion_emotion-sadness,0.5853220256872971,0.5853220256872971,1.0,0.6708752866094111,0.5
SVM,aggregated,0.5478781444717752,0.5952456436147789,0.8305548497650506,0.616902920601022,0.6264612601006128
SVM,emotion_emotion-sadness,0.5478781444717752,0.5952456436147789,0.8305548497650506,0.616902920601022,0.6264612601006128
LightGBM,aggregated,0.5281769008148329,0.5938329029977452,0.8295860634793188,0.6070599930336856,0.6147880960716932
LightGBM,emotion_emotion-sadness,0.5281769008148329,0.5938329029977452,0.8295860634793188,0.6070599930336856,0.6147880960716932
MLP,aggregated,0.5526043603399766,0.6074063523728058,0.7273455207388451,0.589004890525073,0.6269133077155422
MLP,emotion_emotion-sadness,0.5526043603399766,0.6074063523728058,0.7273455207388451,0.589004890525073,0.6269133077155422
GNN,aggregated,0.5585544209594662,0.5585544209594662,1.0,0.6758175973997659,0.49854898557770716
GNN,emotion_emotion-sadness,0.5585544209594662,0.5585544209594662,1.0,0.6758175973997659,0.49854898557770716
