model,metric_type,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,macro_auc_ovr,weighted_precision,weighted_recall,weighted_f1,weighted_auc_ovr,loss,suite_experiment_id,experiment_id,scope,task_type,experiment_group,strategy,trainer_run_dir,label_entropy,f1_comparable,auc_comparable
MLP,aggregated,0.4441499281533705,0.3796961964566827,0.3864798248864989,0.3796961964566827,0.3565697371193763,0.590960691388693,0.4379146929945936,0.4441499281533705,0.4194153302894044,0.5802701209178911,1.1295249524414832,multiclass_table6_arousal_3class_emotion-elicitation,multiclass_table6_arousal_3class,emotion-elicitation,multiclass,multiclass,subject_loo,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_19-24-36/multiclass_table6_arousal_3class_emotion-elicitation_2026-05-18_19-25-13,1.4910515041395802,0.3565697371193763,0.590960691388693
GazeMAE_MLP,aggregated,0.5517680649228465,0.4607949995972338,0.5160299181944992,0.4607949995972338,0.4302528831406054,0.681580803882708,0.5562173713154552,0.5517680649228465,0.5118247517118228,0.6928525163400049,1.113519550239341,multiclass_table6_arousal_3class_emotion-elicitation,multiclass_table6_arousal_3class,emotion-elicitation,multiclass,multiclass,subject_loo,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_19-24-36/multiclass_table6_arousal_3class_emotion-elicitation_2026-05-18_19-25-13,1.4910515041395802,0.4302528831406054,0.681580803882708
Random,aggregated,0.3350937069307161,0.3567667710952152,0.3400074907127137,0.2554625882309602,0.236801892070505,0.5162883002829928,0.742208431670853,0.3350937069307161,0.4339654395101059,0.5137991534634226,23.96565196363201,multiclass_table6_valence_3class_emotion-elicitation,multiclass_table6_valence_3class,emotion-elicitation,multiclass,multiclass,recording_loo,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_19-24-36/multiclass_table6_valence_3class_emotion-elicitation_2026-05-18_19-30-34,1.57001436350328,0.236801892070505,0.5162883002829928
Majority,aggregated,0.1711513460906076,0.2395833333333333,0.0570504486968692,0.1666666666666666,0.0708567433411009,0.5,0.1129555109399006,0.1711513460906076,0.1297324621579124,0.5,29.874733593546456,multiclass_table6_valence_3class_emotion-elicitation,multiclass_table6_valence_3class,emotion-elicitation,multiclass,multiclass,recording_loo,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_19-24-36/multiclass_table6_valence_3class_emotion-elicitation_2026-05-18_19-30-34,1.57001436350328,0.0708567433411009,0.5
SVM,aggregated,0.4031836465958947,0.3271723687707075,0.3509930486407839,0.2409348977515795,0.2349008479115138,0.4932586374171356,0.7413605232120113,0.4031836465958947,0.4881174314207531,0.4887380063450128,1.1034317557978752,multiclass_table6_valence_3class_emotion-elicitation,multiclass_table6_valence_3class,emotion-elicitation,multiclass,multiclass,recording_loo,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_19-24-36/multiclass_table6_valence_3class_emotion-elicitation_2026-05-18_19-30-34,1.57001436350328,0.2349008479115138,0.4932586374171356
LightGBM,aggregated,0.406383926744171,0.3194143553028931,0.3457299379752864,0.2384494470185711,0.2410890062541337,0.5000329502946776,0.7412180976158304,0.406383926744171,0.5009754245690543,0.4949120932610628,1.1234430307280143,multiclass_table6_valence_3class_emotion-elicitation,multiclass_table6_valence_3class,emotion-elicitation,multiclass,multiclass,recording_loo,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_19-24-36/multiclass_table6_valence_3class_emotion-elicitation_2026-05-18_19-30-34,1.57001436350328,0.2410890062541337,0.5000329502946776
MLP,aggregated,0.4124307518000946,0.3333262147996954,0.3314863147846993,0.2459134582341013,0.2464310119825773,0.4828633727338103,0.7306723053395272,0.4124307518000946,0.5059422091995411,0.4830005579784323,1.2119545615486995,multiclass_table6_valence_3class_emotion-elicitation,multiclass_table6_valence_3class,emotion-elicitation,multiclass,multiclass,recording_loo,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_19-24-36/multiclass_table6_valence_3class_emotion-elicitation_2026-05-18_19-30-34,1.57001436350328,0.2464310119825773,0.4828633727338103
GazeMAE_MLP,aggregated,0.4500313726686318,0.3299603609512996,0.3333574120180472,0.2488069291627398,0.256601145470028,0.5066568871422821,0.7370403987696308,0.4500313726686318,0.5412840556781289,0.5088290157180972,1.0691920041572167,multiclass_table6_valence_3class_emotion-elicitation,multiclass_table6_valence_3class,emotion-elicitation,multiclass,multiclass,recording_loo,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_19-24-36/multiclass_table6_valence_3class_emotion-elicitation_2026-05-18_19-30-34,1.57001436350328,0.256601145470028,0.5066568871422821
Random,aggregated,0.3184032700320223,0.322635219841301,0.3202947020124032,0.322635219841301,0.313732222196587,0.4913654712456035,0.341665273908132,0.3184032700320223,0.3222909558853877,0.4901435839748593,24.567236286121457,multiclass_table6_valence_3class_emotion-elicitation,multiclass_table6_valence_3class,emotion-elicitation,multiclass,multiclass,subject_loo,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_19-24-36/multiclass_table6_valence_3class_emotion-elicitation_2026-05-18_19-30-34,1.57001436350328,0.313732222196587,0.4913654712456035
Majority,aggregated,0.3804797866691318,0.3333333333333332,0.1268265955563772,0.3333333333333332,0.1817972601850773,0.5,0.1528731538319474,0.3804797866691318,0.2155677927830314,0.5,22.32977183684972,multiclass_table6_valence_3class_emotion-elicitation,multiclass_table6_valence_3class,emotion-elicitation,multiclass,multiclass,subject_loo,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_19-24-36/multiclass_table6_valence_3class_emotion-elicitation_2026-05-18_19-30-34,1.57001436350328,0.1817972601850773,0.5
SVM,aggregated,0.4751556841001692,0.4551361402770366,0.5153037133193464,0.4551361402770366,0.4119537094687954,0.663308083965108,0.5289494268741799,0.4751556841001692,0.4340862356510664,0.6649604016038914,1.0419953139451568,multiclass_table6_valence_3class_emotion-elicitation,multiclass_table6_valence_3class,emotion-elicitation,multiclass,multiclass,subject_loo,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_19-24-36/multiclass_table6_valence_3class_emotion-elicitation_2026-05-18_19-30-34,1.57001436350328,0.4119537094687954,0.663308083965108
LightGBM,aggregated,0.4650808263802554,0.4518362795334257,0.4834838556281142,0.4518362795334257,0.4098454569909939,0.6529661499979394,0.5035330882530443,0.4650808263802554,0.4299924899741731,0.6538228536752184,1.068741713099963,multiclass_table6_valence_3class_emotion-elicitation,multiclass_table6_valence_3class,emotion-elicitation,multiclass,multiclass,subject_loo,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_19-24-36/multiclass_table6_valence_3class_emotion-elicitation_2026-05-18_19-30-34,1.57001436350328,0.4098454569909939,0.6529661499979394
MLP,aggregated,0.4447740378392952,0.4377580400344845,0.4526804675795565,0.4377580400344845,0.408923297485744,0.6350618885448064,0.4749276948630294,0.4447740378392952,0.4254435299172392,0.6367451837672697,1.1684555331208537,multiclass_table6_valence_3class_emotion-elicitation,multiclass_table6_valence_3class,emotion-elicitation,multiclass,multiclass,subject_loo,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_19-24-36/multiclass_table6_valence_3class_emotion-elicitation_2026-05-18_19-30-34,1.57001436350328,0.408923297485744,0.6350618885448064
GazeMAE_MLP,aggregated,0.5391990041437951,0.5393854070678574,0.5816865794393288,0.5393854070678574,0.5203498099996031,0.7164164968003915,0.5940754105284728,0.5391990041437951,0.5255485610254359,0.7153350728196761,1.1285958406749812,multiclass_table6_valence_3class_emotion-elicitation,multiclass_table6_valence_3class,emotion-elicitation,multiclass,multiclass,subject_loo,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_19-24-36/multiclass_table6_valence_3class_emotion-elicitation_2026-05-18_19-30-34,1.57001436350328,0.5203498099996031,0.7164164968003915
