split,logit_mean,logit_std,logit_min,logit_max,logit_range,prediction_entropy_mean,prediction_entropy_std,prediction_entropy_min,prediction_entropy_max,graph_embedding_variance,graph_embedding_mean_pairwise_cosine_similarity,graph_embedding_pair_count,temporal_forward_edge_weight_mean,temporal_forward_edge_weight_std,temporal_forward_edge_weight_min,temporal_forward_edge_weight_max,temporal_backward_edge_weight_mean,temporal_backward_edge_weight_std,temporal_backward_edge_weight_min,temporal_backward_edge_weight_max,spatial_edge_weight_mean,spatial_edge_weight_std,spatial_edge_weight_min,spatial_edge_weight_max,fixation_edge_weight_mean,fixation_edge_weight_std,fixation_edge_weight_min,fixation_edge_weight_max,best_epoch,best_val_loss,early_stopped
train,0.0437815822660923,0.6923115849494934,-1.6550947427749634,2.6404311656951904,4.295525908470154,0.9092755913734436,0.16303226351737976,0.20703549683094025,1.0985534191131592,0.4450223743915558,0.30277830362319946,10000,0.9999998807907104,5.9385023121194536e-08,0.9999998211860657,1.0,1.0,6.106608196887464e-08,0.9999998211860657,1.0,0.674432098865509,0.28193503618240356,-1.0,1.0,0.16906170547008514,0.023984231054782867,0.12458255887031555,1.0,38,0.9146431088447571,1
val,0.05087122693657875,0.7325090169906616,-1.4709794521331787,2.384389638900757,3.8553690910339355,0.8909080624580383,0.16643664240837097,0.2765272855758667,1.098597764968872,0.38874298334121704,0.36809611320495605,115440,1.0,6.08898389486967e-08,0.9999998211860657,1.0,1.0,6.161753418609806e-08,0.9999998211860657,1.0,0.685047447681427,0.2837925851345062,-1.0,1.0,0.16974924504756927,0.026893312111496925,0.10923390090465546,1.0,38,0.9146431088447571,1
test,0.01957985945045948,0.7085152864456177,-1.368333339691162,2.443636417388916,3.811969757080078,0.876473069190979,0.17967912554740906,0.23561309278011322,1.0981123447418213,0.32311269640922546,0.5310852527618408,25425,0.9999999403953552,3.810741056042843e-09,0.9999998211860657,1.0,0.9999999403953552,5.975844263872432e-09,0.9999998211860657,0.9999999403953552,0.662126898765564,0.2874950170516968,-0.9999998807907104,1.0,0.16857919096946716,0.020740102976560593,0.14364738762378693,1.0,38,0.9146431088447571,1
