baseline,mse,mae,sd_error,r2,pearson_r
MeanEstimator,13.790391636553329,3.2619797793571954,3.2170157912005037,-1.2702775950677438,0.07154320746297312
SVM,16.50387341441909,3.05951504585581,3.4086851042506914,-1.281677741766146,0.052118552277648625
GaussianNB,19.53744037842853,3.7890649419619202,3.777552392742284,-2.5449083336346927,-0.0273126384481167
MLP,15.26057815867801,3.2298076563817233,3.454617290982494,-1.6539758725089606,0.04836369581146698
LightGBM,14.845333429311697,3.262377002261773,3.3679764748399115,-1.5904048939768909,0.055553573856168034
