split,logit_mean,logit_std,logit_min,logit_max,logit_range,prediction_entropy_mean,prediction_entropy_std,prediction_entropy_min,prediction_entropy_max,graph_embedding_variance,graph_embedding_mean_pairwise_cosine_similarity,graph_embedding_pair_count,temporal_forward_edge_weight_mean,temporal_forward_edge_weight_std,temporal_forward_edge_weight_min,temporal_forward_edge_weight_max,temporal_backward_edge_weight_mean,temporal_backward_edge_weight_std,temporal_backward_edge_weight_min,temporal_backward_edge_weight_max,spatial_edge_weight_mean,spatial_edge_weight_std,spatial_edge_weight_min,spatial_edge_weight_max,fixation_edge_weight_mean,fixation_edge_weight_std,fixation_edge_weight_min,fixation_edge_weight_max,best_epoch,best_val_loss,early_stopped
train,0.13000674545764923,0.9122883677482605,-3.477062940597534,4.230635166168213,7.707698106765747,0.8607783913612366,0.20339378714561462,0.05942412465810776,1.0983645915985107,0.4736732840538025,0.16200987994670868,10000,,,,,,,,,,,,,,,,,209,0.5822352468967438,1
val,0.2617039084434509,1.2375022172927856,-2.7614691257476807,4.153294086456299,6.9147632122039795,0.6782457232475281,0.30447691679000854,0.0815751850605011,1.097548007965088,0.43538743257522583,0.2595151364803314,134421,,,,,,,,,,,,,,,,,209,0.5822352468967438,1
test,0.10481264442205429,0.7114065885543823,-2.227675676345825,2.7443222999572754,4.971997976303101,0.9178345203399658,0.15890027582645416,0.32478654384613037,1.0983920097351074,0.4234033524990082,0.19394150376319885,13203,,,,,,,,,,,,,,,,,209,0.5822352468967438,1
