run_name,description,wrapper_config_path,suite_run_dir,runtime_seconds,error,experiment_id,experiment_display_name,cv_strategy,model,summary_model_name,status,accuracy,balanced_accuracy,macro_f1,weighted_f1,auc,loss
Baselines,"Baselines on the same quick subset and folds: Random, Majority, SVM, LightGBM, MLP, GazeMAE_MLP.",results/quick_v1_v2_comparison/2026-05-18_13-24-39/generated_wrapper_configs/Baselines.yaml,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_19-24-36,642.948,,multiclass_table6_valence_3class,Table-6 Valence,recording_loo,LightGBM,LightGBM,success,0.406383926744171,0.3194143553028931,0.2410890062541337,0.5009754245690543,0.5000329502946776,1.1234430307280143
Baselines,"Baselines on the same quick subset and folds: Random, Majority, SVM, LightGBM, MLP, GazeMAE_MLP.",results/quick_v1_v2_comparison/2026-05-18_13-24-39/generated_wrapper_configs/Baselines.yaml,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_19-24-36,642.948,,multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,Random,Random,success,0.3258039963634279,0.3116287673635798,0.2267036701939264,0.4261318233308821,0.4848093816503653,24.300487071404568
GNN_v1,Frozen v1 GNN with old graph schema and handcrafted edge attributes.,results/quick_v1_v2_comparison/2026-05-18_13-24-39/generated_wrapper_configs/GNN_v1.yaml,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_13-24-41,10345.271,,multiclass_table6_valence_3class,Table-6 Valence,recording_loo,GNN_v1,GNN,success,0.4415991488705081,0.309264219736678,0.2408421040608158,0.5256829846263888,0.5143977765869997,1.0860018372535705
Baselines,"Baselines on the same quick subset and folds: Random, Majority, SVM, LightGBM, MLP, GazeMAE_MLP.",results/quick_v1_v2_comparison/2026-05-18_13-24-39/generated_wrapper_configs/Baselines.yaml,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_19-24-36,642.948,,multiclass_table6_valence_3class,Table-6 Valence,recording_loo,Majority,Majority,success,0.1711513460906076,0.2395833333333333,0.0708567433411009,0.1297324621579124,0.5,29.874733593546456
Baselines,"Baselines on the same quick subset and folds: Random, Majority, SVM, LightGBM, MLP, GazeMAE_MLP.",results/quick_v1_v2_comparison/2026-05-18_13-24-39/generated_wrapper_configs/Baselines.yaml,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_19-24-36,642.948,,multiclass_table6_valence_3class,Table-6 Valence,subject_loo,GazeMAE_MLP,GazeMAE_MLP,success,0.5391990041437951,0.5393854070678574,0.5203498099996031,0.5255485610254359,0.7164164968003915,1.1285958406749812
GNN_v1,Frozen v1 GNN with old graph schema and handcrafted edge attributes.,results/quick_v1_v2_comparison/2026-05-18_13-24-39/generated_wrapper_configs/GNN_v1.yaml,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_13-24-41,10345.271,,multiclass_table6_valence_3class,Table-6 Valence,subject_loo,GNN_v1,GNN,success,0.5349577411237112,0.5281077015048079,0.4927729403544543,0.5043420220957833,0.7522727932933045,0.97829407453537
GNN_v2,Current v2 GNN with split temporal edges and learned signed edge attributes.,results/quick_v1_v2_comparison/2026-05-18_13-24-39/generated_wrapper_configs/GNN_v2.yaml,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_16-17-07,11248.939,,multiclass_table6_valence_3class,Table-6 Valence,subject_loo,GNN_v2,GNN,success,0.4849077624567435,0.4876859920765192,0.4314565073893643,0.4405297452315914,0.7160924818694189,1.04799430614168
GNN_v1,Frozen v1 GNN with old graph schema and handcrafted edge attributes.,results/quick_v1_v2_comparison/2026-05-18_13-24-39/generated_wrapper_configs/GNN_v1.yaml,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_13-24-41,10345.271,,multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,GNN_v1,GNN,success,0.5109854022024436,0.4610085136910424,0.4090911168298007,0.4717346263394072,0.6937154830364891,0.9966961362145164
Baselines,"Baselines on the same quick subset and folds: Random, Majority, SVM, LightGBM, MLP, GazeMAE_MLP.",results/quick_v1_v2_comparison/2026-05-18_13-24-39/generated_wrapper_configs/Baselines.yaml,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_19-24-36,642.948,,multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,GazeMAE_MLP,GazeMAE_MLP,success,0.5517680649228465,0.4607949995972338,0.4302528831406054,0.5118247517118228,0.681580803882708,1.113519550239341
Baselines,"Baselines on the same quick subset and folds: Random, Majority, SVM, LightGBM, MLP, GazeMAE_MLP.",results/quick_v1_v2_comparison/2026-05-18_13-24-39/generated_wrapper_configs/Baselines.yaml,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_19-24-36,642.948,,multiclass_table6_valence_3class,Table-6 Valence,subject_loo,SVM,SVM,success,0.4751556841001692,0.4551361402770366,0.4119537094687954,0.4340862356510664,0.663308083965108,1.0419953139451568
