model,metric_type,accuracy,precision,recall,f1,auc
Mean,aggregated,0.2839138999498082,0.23825986524433782,0.7,0.28421667076091206,0.4
Mean,emotion_emotion-disgust,0.2839138999498082,0.23825986524433782,0.7,0.28421667076091206,0.4
SVM,aggregated,0.3818093413615875,0.4917488349540827,0.6536607863572265,0.3929297799090161,0.42879041538076923
SVM,emotion_emotion-disgust,0.3818093413615875,0.4917488349540827,0.6536607863572265,0.3929297799090161,0.42879041538076923
LightGBM,aggregated,0.395412255475101,0.5037627016917625,0.5878273581684533,0.3858510497465249,0.40719787767338633
LightGBM,emotion_emotion-disgust,0.395412255475101,0.5037627016917625,0.5878273581684533,0.3858510497465249,0.40719787767338633
MLP,aggregated,0.47363517607625916,0.5059809224555091,0.613597583751317,0.4173667518821035,0.47113406736067365
MLP,emotion_emotion-disgust,0.47363517607625916,0.5059809224555091,0.613597583751317,0.4173667518821035,0.47113406736067365
GNN,aggregated,0.5585544209594662,0.5585544209594662,1.0,0.6758175973997659,0.4999111974819649
GNN,emotion_emotion-disgust,0.5585544209594662,0.5585544209594662,1.0,0.6758175973997659,0.4999111974819649
