model,metric_type,accuracy,precision,recall,f1,auc
Mean,aggregated,0.7083459441184401,0.0,0.0,0.0,0.5
Mean,emotion_emotion-tenderness,0.7083459441184401,0.0,0.0,0.0,0.5
SVM,aggregated,0.6983039531935966,0.4140548015791826,0.16232457622155852,0.18940603989265073,0.694805594345903
SVM,emotion_emotion-tenderness,0.6983039531935966,0.4140548015791826,0.16232457622155852,0.18940603989265073,0.694805594345903
LightGBM,aggregated,0.6919999471612376,0.38152389988253377,0.1683249273500656,0.20347122676047913,0.6384569109037783
LightGBM,emotion_emotion-tenderness,0.6919999471612376,0.38152389988253377,0.1683249273500656,0.20347122676047913,0.6384569109037783
MLP,aggregated,0.6719597142177787,0.42340380125039395,0.3663640560108055,0.3553209322743694,0.6549455531063496
MLP,emotion_emotion-tenderness,0.6719597142177787,0.42340380125039395,0.3663640560108055,0.3553209322743694,0.6549455531063496
GNN,aggregated,0.6016599714392583,0.6016599714392583,1.0,0.7274771034142408,0.5462746358574688
GNN,emotion_emotion-tenderness,0.6016599714392583,0.6016599714392583,1.0,0.7274771034142408,0.5462746358574688
