model,metric_type,accuracy,precision,recall,f1,auc
Mean,aggregated,0.5587631269821257,0.5587631269821257,1.0,0.6760762818047918,0.5
Mean,emotion_emotion-anger,0.5587631269821257,0.5587631269821257,1.0,0.6760762818047918,0.5
SVM,aggregated,0.5224517590629262,0.5755082280433563,0.7796327000088746,0.6063329088421057,0.5877220565137385
SVM,emotion_emotion-anger,0.5224517590629262,0.5755082280433563,0.7796327000088746,0.6063329088421057,0.5877220565137385
LightGBM,aggregated,0.5240244449655309,0.5775688872516799,0.781169820356845,0.6093207479836551,0.5561916263526847
LightGBM,emotion_emotion-anger,0.5240244449655309,0.5775688872516799,0.781169820356845,0.6093207479836551,0.5561916263526847
MLP,aggregated,0.555463659420304,0.5901734801780142,0.7132623526243272,0.6023320899361213,0.5832346560053301
MLP,emotion_emotion-anger,0.555463659420304,0.5901734801780142,0.7132623526243272,0.6023320899361213,0.5832346560053301
GNN,aggregated,0.5585544209594662,0.5585544209594662,1.0,0.6758175973997659,0.5032876743185108
GNN,emotion_emotion-anger,0.5585544209594662,0.5585544209594662,1.0,0.6758175973997659,0.5032876743185108
