model,metric_type,accuracy,balanced_accuracy,f1,precision,recall,auc,suite_experiment_id,experiment_id,scope,task_type,experiment_group,strategy,trainer_run_dir,label_entropy,macro_precision,macro_recall,macro_f1,macro_auc_ovr,weighted_precision,weighted_recall,weighted_f1,weighted_auc_ovr,f1_comparable,auc_comparable
Mean,aggregated,0.5339724548928536,0.5,0.673495921040643,0.5339724548928536,1.0,0.5,binary_emotion_predictability_emotion-elicitation,binary_emotion_predictability,emotion-elicitation,binary,emotion,recording_loo,results/suite_FULL/2026-03-05_13-25-29/binary_emotion_predictability_emotion-elicitation_2026-03-05_14-22-32,0.9930463678833455,,,,,,,,,0.673495921040643,0.5
SVM,aggregated,0.519275465251192,0.5262762937390051,0.6128271058672787,0.5486007025133784,0.8056483029077095,0.5462616400211926,binary_emotion_predictability_emotion-elicitation,binary_emotion_predictability,emotion-elicitation,binary,emotion,recording_loo,results/suite_FULL/2026-03-05_13-25-29/binary_emotion_predictability_emotion-elicitation_2026-03-05_14-22-32,0.9930463678833455,,,,,,,,,0.6128271058672787,0.5462616400211926
LightGBM,aggregated,0.4994365433693215,0.5130274579941478,0.5688185104432913,0.5415481410311385,0.6958996798940297,0.52342359905553,binary_emotion_predictability_emotion-elicitation,binary_emotion_predictability,emotion-elicitation,binary,emotion,recording_loo,results/suite_FULL/2026-03-05_13-25-29/binary_emotion_predictability_emotion-elicitation_2026-03-05_14-22-32,0.9930463678833455,,,,,,,,,0.5688185104432913,0.52342359905553
MLP,aggregated,0.5191592822488792,0.5175087182500973,0.5739868379493425,0.5441015672264028,0.6750135104504784,0.5223084017065138,binary_emotion_predictability_emotion-elicitation,binary_emotion_predictability,emotion-elicitation,binary,emotion,recording_loo,results/suite_FULL/2026-03-05_13-25-29/binary_emotion_predictability_emotion-elicitation_2026-03-05_14-22-32,0.9930463678833455,,,,,,,,,0.5739868379493425,0.5223084017065138
GNN,aggregated,0.5441807289780817,0.5351598008668821,0.6089534929515992,0.5546503270149008,0.7583182266551032,0.5340818085223976,binary_emotion_predictability_emotion-elicitation,binary_emotion_predictability,emotion-elicitation,binary,emotion,recording_loo,results/suite_FULL/2026-03-05_13-25-29/binary_emotion_predictability_emotion-elicitation_2026-03-05_14-22-32,0.9930463678833455,,,,,,,,,0.6089534929515992,0.5340818085223976
Mean,aggregated,0.5084600572751896,0.5,0.0,0.0,0.0,0.5,binary_tag_agree_image-tagging-1,binary_tag_agree,image-tagging-1,binary,tagging,recording_loo,results/suite_FULL/2026-03-05_13-25-29/binary_tag_agree_image-tagging-1_2026-03-05_14-43-00,0.9970426559269276,,,,,,,,,0.0,0.5
SVM,aggregated,0.6566803202052592,0.742363509105044,0.3605792615298956,0.4941009737228224,0.3209613864690433,0.8148698253206864,binary_tag_agree_image-tagging-1,binary_tag_agree,image-tagging-1,binary,tagging,recording_loo,results/suite_FULL/2026-03-05_13-25-29/binary_tag_agree_image-tagging-1_2026-03-05_14-43-00,0.9970426559269276,,,,,,,,,0.3605792615298956,0.8148698253206864
LightGBM,aggregated,0.624886988031634,0.7355930567640574,0.3550420646509984,0.4932412615583867,0.3128081584930929,0.8344194515160077,binary_tag_agree_image-tagging-1,binary_tag_agree,image-tagging-1,binary,tagging,recording_loo,results/suite_FULL/2026-03-05_13-25-29/binary_tag_agree_image-tagging-1_2026-03-05_14-43-00,0.9970426559269276,,,,,,,,,0.3550420646509984,0.8344194515160077
MLP,aggregated,0.6326309278832453,0.7344963732843667,0.3627859850312544,0.4937980696738004,0.3213808175691656,0.8289092807875231,binary_tag_agree_image-tagging-1,binary_tag_agree,image-tagging-1,binary,tagging,recording_loo,results/suite_FULL/2026-03-05_13-25-29/binary_tag_agree_image-tagging-1_2026-03-05_14-43-00,0.9970426559269276,,,,,,,,,0.3627859850312544,0.8289092807875231
GNN,aggregated,0.6037225035712712,0.6945395781173656,0.3532909562649567,0.4942284887198536,0.3190378258706837,0.8340944659818145,binary_tag_agree_image-tagging-1,binary_tag_agree,image-tagging-1,binary,tagging,recording_loo,results/suite_FULL/2026-03-05_13-25-29/binary_tag_agree_image-tagging-1_2026-03-05_14-43-00,0.9970426559269276,,,,,,,,,0.3532909562649567,0.8340944659818145
Mean,aggregated,0.3556991139921014,0.5,0.0056022408963585,0.0030395136778115,0.0357142857142857,0.5,binary_tag_agree_image-tagging-2,binary_tag_agree,image-tagging-2,binary,tagging,recording_loo,results/suite_FULL/2026-03-05_13-25-29/binary_tag_agree_image-tagging-2_2026-03-05_14-52-45,0.9987522351733557,,,,,,,,,0.0056022408963585,0.5
SVM,aggregated,0.6428061269439718,0.6946707442011764,0.3784119735572138,0.4997642971245456,0.3840292712559391,0.7918626698862214,binary_tag_agree_image-tagging-2,binary_tag_agree,image-tagging-2,binary,tagging,recording_loo,results/suite_FULL/2026-03-05_13-25-29/binary_tag_agree_image-tagging-2_2026-03-05_14-52-45,0.9987522351733557,,,,,,,,,0.3784119735572138,0.7918626698862214
LightGBM,aggregated,0.5988580764670081,0.626064157513455,0.3508154042136893,0.4911827458256029,0.329392774526945,0.7097952136665214,binary_tag_agree_image-tagging-2,binary_tag_agree,image-tagging-2,binary,tagging,recording_loo,results/suite_FULL/2026-03-05_13-25-29/binary_tag_agree_image-tagging-2_2026-03-05_14-52-45,0.9987522351733557,,,,,,,,,0.3508154042136893,0.7097952136665214
MLP,aggregated,0.6173470241803607,0.6625311618498954,0.3703319865221535,0.495916180237277,0.3649016599924207,0.730665387786281,binary_tag_agree_image-tagging-2,binary_tag_agree,image-tagging-2,binary,tagging,recording_loo,results/suite_FULL/2026-03-05_13-25-29/binary_tag_agree_image-tagging-2_2026-03-05_14-52-45,0.9987522351733557,,,,,,,,,0.3703319865221535,0.730665387786281
GNN,aggregated,0.5582523592340773,0.7163315667883404,0.3705841534553208,0.5005227498924978,0.4383686130452518,0.7606940802217425,binary_tag_agree_image-tagging-2,binary_tag_agree,image-tagging-2,binary,tagging,recording_loo,results/suite_FULL/2026-03-05_13-25-29/binary_tag_agree_image-tagging-2_2026-03-05_14-52-45,0.9987522351733557,,,,,,,,,0.3705841534553208,0.7606940802217425
Mean,aggregated,0.182261515080664,0.5,0.1836726789022707,0.1764877055568545,0.2857142857142857,0.5,binary_tag_agree_video-tagging,binary_tag_agree,video-tagging,binary,tagging,recording_loo,results/suite_FULL/2026-03-05_13-25-29/binary_tag_agree_video-tagging_2026-03-05_15-04-28,0.9999816088200212,,,,,,,,,0.1836726789022707,0.5
SVM,aggregated,0.4829814283869576,0.6427924430641823,0.3222414148384397,0.5039960832817976,0.334044661342798,0.6033616934092477,binary_tag_agree_video-tagging,binary_tag_agree,video-tagging,binary,tagging,recording_loo,results/suite_FULL/2026-03-05_13-25-29/binary_tag_agree_video-tagging_2026-03-05_15-04-28,0.9999816088200212,,,,,,,,,0.3222414148384397,0.6033616934092477
LightGBM,aggregated,0.4766915827394008,0.5959654287439613,0.3215337211954677,0.4982824312520707,0.3256614695567668,0.6225300854037267,binary_tag_agree_video-tagging,binary_tag_agree,video-tagging,binary,tagging,recording_loo,results/suite_FULL/2026-03-05_13-25-29/binary_tag_agree_video-tagging_2026-03-05_15-04-28,0.9999816088200212,,,,,,,,,0.3215337211954677,0.6225300854037267
MLP,aggregated,0.4640777658191325,0.5367980072463768,0.3098033347449156,0.4970302167689818,0.2846264401205616,0.6180016390614217,binary_tag_agree_video-tagging,binary_tag_agree,video-tagging,binary,tagging,recording_loo,results/suite_FULL/2026-03-05_13-25-29/binary_tag_agree_video-tagging_2026-03-05_15-04-28,0.9999816088200212,,,,,,,,,0.3098033347449156,0.6180016390614217
GNN,aggregated,0.5847864263778926,0.5150658859558316,0.3584487559651416,0.4985603115705156,0.3548718239883945,0.5414035541752933,binary_tag_agree_video-tagging,binary_tag_agree,video-tagging,binary,tagging,recording_loo,results/suite_FULL/2026-03-05_13-25-29/binary_tag_agree_video-tagging_2026-03-05_15-04-28,0.9999816088200212,,,,,,,,,0.3584487559651416,0.5414035541752933
Mean,aggregated,0.5264051037373877,0.5,0.0,0.0,0.0,0.5,binary_tag_agree_pooled-tagging,binary_tag_agree,pooled-tagging,binary,tagging,recording_loo,results/suite_FULL/2026-03-05_13-25-29/binary_tag_agree_pooled-tagging_2026-03-05_15-14-07,0.9993134180503211,,,,,,,,,0.0,0.5
SVM,aggregated,0.6290388589828295,0.6514766609503126,0.3588240809862436,0.5017259116684663,0.3259930867106135,0.7380121574898448,binary_tag_agree_pooled-tagging,binary_tag_agree,pooled-tagging,binary,tagging,recording_loo,results/suite_FULL/2026-03-05_13-25-29/binary_tag_agree_pooled-tagging_2026-03-05_15-14-07,0.9993134180503211,,,,,,,,,0.3588240809862436,0.7380121574898448
LightGBM,aggregated,0.6204842494233397,0.6496625035792999,0.3509894794735802,0.4958771891980587,0.316800942402105,0.7225668683919586,binary_tag_agree_pooled-tagging,binary_tag_agree,pooled-tagging,binary,tagging,recording_loo,results/suite_FULL/2026-03-05_13-25-29/binary_tag_agree_pooled-tagging_2026-03-05_15-14-07,0.9993134180503211,,,,,,,,,0.3509894794735802,0.7225668683919586
MLP,aggregated,0.6173762370455067,0.6352834114517019,0.3622869099995425,0.4955783167515113,0.329440188128621,0.7214037590418817,binary_tag_agree_pooled-tagging,binary_tag_agree,pooled-tagging,binary,tagging,recording_loo,results/suite_FULL/2026-03-05_13-25-29/binary_tag_agree_pooled-tagging_2026-03-05_15-14-07,0.9993134180503211,,,,,,,,,0.3622869099995425,0.7214037590418817
GNN,aggregated,0.6187981066300821,0.6724268735299492,0.3836529483608221,0.4970480740881447,0.386424627031506,0.7751075107769816,binary_tag_agree_pooled-tagging,binary_tag_agree,pooled-tagging,binary,tagging,recording_loo,results/suite_FULL/2026-03-05_13-25-29/binary_tag_agree_pooled-tagging_2026-03-05_15-14-07,0.9993134180503211,,,,,,,,,0.3836529483608221,0.7751075107769816
Mean,aggregated,0.25,,0.25,0.25,0.25,,binary_tag_valid_image-tagging-1,binary_tag_valid,image-tagging-1,binary,tagging,recording_loo,results/suite_FULL/2026-03-05_13-25-29/binary_tag_valid_image-tagging-1_2026-03-05_16-05-48,0.998830066905287,,,,,,,,,0.25,
