epoch,model,train_loss,val_loss,val_balanced_accuracy,val_macro_f1,epoch_runtime_seconds,learning_rate,grad_norm_mean,grad_norm_max,is_best_epoch,best_epoch,best_val_loss,early_stopped
1,HeteroGCNMLP,0.6973549773295721,0.7752419114112854,0.6140939597315436,0.36811279171572625,0.785,5e-05,0.03769660979449125,0.3058186173439026,0,40,0.5504763722419739,1
2,HeteroGCNMLP,0.6825242837270101,0.7163774967193604,0.6575147447630669,0.4967952746009803,0.671,5e-05,0.026443990810476534,0.20544691383838654,0,40,0.5504763722419739,1
3,HeteroGCNMLP,0.6743181298176447,0.679014265537262,0.6338214358348586,0.5170199521672182,0.669,5e-05,0.01972274874908671,0.17824220657348633,0,40,0.5504763722419739,1
4,HeteroGCNMLP,0.6690022647380829,0.6540320515632629,0.5949766117551353,0.5233106338397067,0.694,5e-05,0.017034269205959435,0.2031589299440384,0,40,0.5504763722419739,1
5,HeteroGCNMLP,0.6647932430108389,0.640082061290741,0.5410819605450479,0.4958085986688253,0.667,5e-05,0.016707836311604572,0.167754128575325,0,40,0.5504763722419739,1
6,HeteroGCNMLP,0.6621342202027639,0.6276018619537354,0.5359975594874924,0.4980694980694981,0.662,5e-05,0.014093954523718458,0.15137866139411926,0,40,0.5504763722419739,1
7,HeteroGCNMLP,0.6606271415948868,0.6231814026832581,0.556233475696563,0.5049391553328562,0.695,5e-05,0.016588548178788187,0.16479386389255524,0,40,0.5504763722419739,1
8,HeteroGCNMLP,0.6590674916903178,0.6078938841819763,0.546064673581452,0.50965424337674,0.692,5e-05,0.017181370535033078,0.17854535579681396,0,40,0.5504763722419739,1
9,HeteroGCNMLP,0.6574150870243708,0.6044600605964661,0.5578604840349807,0.5153846153846153,0.69,5e-05,0.013059223435419204,0.20056822896003723,0,40,0.5504763722419739,1
10,HeteroGCNMLP,0.6562384267648061,0.601775586605072,0.5763677038844823,0.5288461538461539,0.664,5e-05,0.016759958972114773,0.15189115703105927,0,40,0.5504763722419739,1
