model,metric_type,accuracy,precision,recall,f1,auc
Mean,aggregated,0.5496446474035609,0.5496446474035609,1.0,0.6978091000230316,0.5
Mean,emotion_emotion-disgust,0.5496446474035609,0.5496446474035609,1.0,0.6978091000230316,0.5
SVM,aggregated,0.53695341230146,0.5885808323894982,0.7079628434859494,0.6071328990525942,0.5991486834951215
SVM,emotion_emotion-disgust,0.53695341230146,0.5885808323894982,0.7079628434859494,0.6071328990525942,0.5991486834951215
LightGBM,aggregated,0.5547299571747789,0.5981392049522423,0.6895304446568358,0.6124681496499311,0.6072734251732211
LightGBM,emotion_emotion-disgust,0.5547299571747789,0.5981392049522423,0.6895304446568358,0.6124681496499311,0.6072734251732211
MLP,aggregated,0.5561372878181028,0.6129852689568822,0.5911783361283256,0.576662349265537,0.5963452094198425
MLP,emotion_emotion-disgust,0.5561372878181028,0.6129852689568822,0.5911783361283256,0.576662349265537,0.5963452094198425
GNN,aggregated,0.6016599714392583,0.6016599714392583,1.0,0.7274771034142408,0.54248965548164
GNN,emotion_emotion-disgust,0.6016599714392583,0.6016599714392583,1.0,0.7274771034142408,0.54248965548164
