experiment_id,experiment_display_name,cv_strategy,model,summary_model_name,metric_type,metric,n_folds,mean,std,min,max
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,GNN_v2,GNN,aggregated,weighted_auc_ovr,19,0.5260786429327861,0.09667287861385011,0.2703474381031958,0.6707404743638922
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,GNN_v2,GNN,aggregated,weighted_f1,20,0.4490504638563291,0.2609585818428069,0.0035472785722203,0.8395621864185061
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,GNN_v2,GNN,aggregated,weighted_precision,20,0.5835675646661547,0.31494918843745645,0.001849924846803,1.0
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,GNN_v2,GNN,aggregated,weighted_recall,20,0.4319827583807091,0.22877745326309204,0.043010752688172,0.788235294117647
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,GazeMAE_MLP,GazeMAE_MLP,aggregated,accuracy,20,0.4650804864976146,0.20433123936614717,0.0778688524590164,0.7977099236641222
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,GazeMAE_MLP,GazeMAE_MLP,aggregated,balanced_accuracy,19,0.3967536229402278,0.10476515290655765,0.2524968789013733,0.5752242926155969
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,GazeMAE_MLP,GazeMAE_MLP,aggregated,loss,20,1.113267215774417,0.31765032612246186,0.6353595882207169,1.8310875661032264
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,GazeMAE_MLP,GazeMAE_MLP,aggregated,macro_auc_ovr,19,0.5303866855228083,0.06655223854063426,0.3403558052434457,0.6314685314685315
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,GazeMAE_MLP,GazeMAE_MLP,aggregated,macro_f1,20,0.2550950449033196,0.0865653412494743,0.0699815837937384,0.3740970072239422
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,GazeMAE_MLP,GazeMAE_MLP,aggregated,macro_precision,20,0.33374605897281995,0.12026656821227324,0.0425055928411633,0.6111111111111112
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,GazeMAE_MLP,GazeMAE_MLP,aggregated,macro_recall,20,0.2891806834188949,0.09624964351155962,0.1175799086757991,0.4667366946778711
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,GazeMAE_MLP,GazeMAE_MLP,aggregated,weighted_auc_ovr,19,0.5234520191971618,0.07556978342179234,0.3230974722457143,0.6324395440959859
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,GazeMAE_MLP,GazeMAE_MLP,aggregated,weighted_f1,20,0.5028821277284974,0.23758733963996276,0.027533737886061,0.8502131245846908
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,GazeMAE_MLP,GazeMAE_MLP,aggregated,weighted_precision,20,0.6933251988618372,0.26386268260906887,0.0167235119375068,1.0
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,GazeMAE_MLP,GazeMAE_MLP,aggregated,weighted_recall,20,0.4650804864976146,0.20433123936614717,0.0778688524590164,0.7977099236641222
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,LightGBM,LightGBM,aggregated,accuracy,20,0.46362073013632255,0.1793322998423859,0.1434426229508196,0.8358778625954199
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,LightGBM,LightGBM,aggregated,balanced_accuracy,19,0.39333837925050164,0.08385382130113979,0.2537764350453172,0.4878364389233954
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,LightGBM,LightGBM,aggregated,loss,20,1.087219981110659,0.31152648062961197,0.6095913958316512,1.7131172686804177
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,LightGBM,LightGBM,aggregated,macro_auc_ovr,19,0.5323732994514606,0.07203992492217251,0.3844256518675123,0.6645506115766598
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,LightGBM,LightGBM,aggregated,macro_f1,20,0.26391653646935165,0.07654998768618987,0.1143006433493354,0.4052683427683428
