experiment_id,experiment_display_name,cv_strategy,summary_model_name,model,fold_id,suite_run_dir,trainer_run_dir,diagnostics_path,split,logit_mean,logit_std,logit_min,logit_max,logit_range,prediction_entropy_mean,prediction_entropy_std,prediction_entropy_min,prediction_entropy_max,graph_embedding_variance,graph_embedding_mean_pairwise_cosine_similarity,graph_embedding_pair_count,temporal_forward_edge_weight_mean,temporal_forward_edge_weight_std,temporal_forward_edge_weight_min,temporal_forward_edge_weight_max,temporal_backward_edge_weight_mean,temporal_backward_edge_weight_std,temporal_backward_edge_weight_min,temporal_backward_edge_weight_max,spatial_edge_weight_mean,spatial_edge_weight_std,spatial_edge_weight_min,spatial_edge_weight_max,fixation_edge_weight_mean,fixation_edge_weight_std,fixation_edge_weight_min,fixation_edge_weight_max,best_epoch,best_val_loss,early_stopped
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,GNN,BasicGCN_mean,s_P14,results/quick_v1_v2_comparison/2026-06-03_09-24-45/model_runs/2026-06-03_09-39-05,results/quick_v1_v2_comparison/2026-06-03_09-24-45/model_runs/2026-06-03_09-39-05/multiclass_table6_arousal_3class_emotion-elicitation_2026-06-03_09-40-04,results/quick_v1_v2_comparison/2026-06-03_09-24-45/model_runs/2026-06-03_09-39-05/multiclass_table6_arousal_3class_emotion-elicitation_2026-06-03_09-40-04/subject_loo/s_P14/gnn_fold_diagnostics.csv,val,-0.03268688544631,0.6645207405090332,-2.3347415924072266,2.6708946228027344,5.005636215209961,0.9196327328681946,0.1648666858673095,0.1851815283298492,1.098281979560852,0.3099433481693268,0.4327547550201416,112575,,,,,,,,,,,,,,,,,104,0.9755636155605316,1
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,GNN,BasicGCN_mean,s_P14,results/quick_v1_v2_comparison/2026-06-03_09-24-45/model_runs/2026-06-03_09-39-05,results/quick_v1_v2_comparison/2026-06-03_09-24-45/model_runs/2026-06-03_09-39-05/multiclass_table6_arousal_3class_emotion-elicitation_2026-06-03_09-40-04,results/quick_v1_v2_comparison/2026-06-03_09-24-45/model_runs/2026-06-03_09-39-05/multiclass_table6_arousal_3class_emotion-elicitation_2026-06-03_09-40-04/subject_loo/s_P14/gnn_fold_diagnostics.csv,test,-0.1081281155347824,0.868523120880127,-2.100825786590576,2.176908016204834,4.27773380279541,0.836108386516571,0.1724864840507507,0.3199667334556579,1.0875613689422607,0.2600805461406708,0.5268508195877075,23436,,,,,,,,,,,,,,,,,104,0.9755636155605316,1
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,GNN,BasicGCN_mean,s_P16,results/quick_v1_v2_comparison/2026-06-03_09-24-45/model_runs/2026-06-03_09-39-05,results/quick_v1_v2_comparison/2026-06-03_09-24-45/model_runs/2026-06-03_09-39-05/multiclass_table6_arousal_3class_emotion-elicitation_2026-06-03_09-40-04,results/quick_v1_v2_comparison/2026-06-03_09-24-45/model_runs/2026-06-03_09-39-05/multiclass_table6_arousal_3class_emotion-elicitation_2026-06-03_09-40-04/subject_loo/s_P16/gnn_fold_diagnostics.csv,train,0.0296886190772056,0.7956587076187134,-3.861596822738648,4.170802116394043,8.03239893913269,0.889551043510437,0.1909204870462417,0.0253306850790977,1.0985817909240725,0.372385025024414,0.2569642066955566,10000,,,,,,,,,,,,,,,,,149,0.8646058142185211,1
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,GNN,BasicGCN_mean,s_P16,results/quick_v1_v2_comparison/2026-06-03_09-24-45/model_runs/2026-06-03_09-39-05,results/quick_v1_v2_comparison/2026-06-03_09-24-45/model_runs/2026-06-03_09-39-05/multiclass_table6_arousal_3class_emotion-elicitation_2026-06-03_09-40-04,results/quick_v1_v2_comparison/2026-06-03_09-24-45/model_runs/2026-06-03_09-39-05/multiclass_table6_arousal_3class_emotion-elicitation_2026-06-03_09-40-04/subject_loo/s_P16/gnn_fold_diagnostics.csv,val,0.0558166392147541,0.7918855547904968,-3.383185148239136,2.5029444694519043,5.88612961769104,0.892301619052887,0.1838244944810867,0.2001793384552002,1.0977309942245483,0.307037204504013,0.3579247593879699,104196,,,,,,,,,,,,,,,,,149,0.8646058142185211,1
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,GNN,BasicGCN_mean,s_P16,results/quick_v1_v2_comparison/2026-06-03_09-24-45/model_runs/2026-06-03_09-39-05,results/quick_v1_v2_comparison/2026-06-03_09-24-45/model_runs/2026-06-03_09-39-05/multiclass_table6_arousal_3class_emotion-elicitation_2026-06-03_09-40-04,results/quick_v1_v2_comparison/2026-06-03_09-24-45/model_runs/2026-06-03_09-39-05/multiclass_table6_arousal_3class_emotion-elicitation_2026-06-03_09-40-04/subject_loo/s_P16/gnn_fold_diagnostics.csv,test,0.0582669898867607,0.6840482950210571,-2.3116769790649414,2.907254695892334,5.218931674957275,0.9173011779785156,0.1973596662282943,0.1128751188516616,1.0985522270202637,0.2713215351104736,0.3312821090221405,18528,,,,,,,,,,,,,,,,,149,0.8646058142185211,1
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,GNN,BasicGCN_mean,s_P17,results/quick_v1_v2_comparison/2026-06-03_09-24-45/model_runs/2026-06-03_09-39-05,results/quick_v1_v2_comparison/2026-06-03_09-24-45/model_runs/2026-06-03_09-39-05/multiclass_table6_arousal_3class_emotion-elicitation_2026-06-03_09-40-04,results/quick_v1_v2_comparison/2026-06-03_09-24-45/model_runs/2026-06-03_09-39-05/multiclass_table6_arousal_3class_emotion-elicitation_2026-06-03_09-40-04/subject_loo/s_P17/gnn_fold_diagnostics.csv,train,0.0972947850823402,0.599128007888794,-1.7240417003631592,2.205671548843384,3.929713249206543,0.9529910087585448,0.1068297922611236,0.3882297873497009,1.0985467433929443,0.3338834941387176,0.4704361259937286,10000,,,,,,,,,,,,,,,,,59,0.9580263793468476,1
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,GNN,BasicGCN_mean,s_P17,results/quick_v1_v2_comparison/2026-06-03_09-24-45/model_runs/2026-06-03_09-39-05,results/quick_v1_v2_comparison/2026-06-03_09-24-45/model_runs/2026-06-03_09-39-05/multiclass_table6_arousal_3class_emotion-elicitation_2026-06-03_09-40-04,results/quick_v1_v2_comparison/2026-06-03_09-24-45/model_runs/2026-06-03_09-39-05/multiclass_table6_arousal_3class_emotion-elicitation_2026-06-03_09-40-04/subject_loo/s_P17/gnn_fold_diagnostics.csv,val,0.1319060176610946,0.7307549118995667,-1.5042307376861572,2.2535345554351807,3.757765293121338,0.8946019411087036,0.1622285842895507,0.3624353408813476,1.0984927415847778,0.2904293239116668,0.5542423725128174,101475,,,,,,,,,,,,,,,,,59,0.9580263793468476,1
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,GNN,BasicGCN_mean,s_P17,results/quick_v1_v2_comparison/2026-06-03_09-24-45/model_runs/2026-06-03_09-39-05,results/quick_v1_v2_comparison/2026-06-03_09-24-45/model_runs/2026-06-03_09-39-05/multiclass_table6_arousal_3class_emotion-elicitation_2026-06-03_09-40-04,results/quick_v1_v2_comparison/2026-06-03_09-24-45/model_runs/2026-06-03_09-39-05/multiclass_table6_arousal_3class_emotion-elicitation_2026-06-03_09-40-04/subject_loo/s_P17/gnn_fold_diagnostics.csv,test,0.0880954191088676,0.4539878964424133,-1.2214508056640625,1.600378155708313,2.8218289613723755,1.006746530532837,0.0746412873268127,0.5930416584014893,1.0982075929641724,0.2296655923128128,0.6181073188781738,28441,,,,,,,,,,,,,,,,,59,0.9580263793468476,1
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,GNN,BasicGCN_mean,s_P18,results/quick_v1_v2_comparison/2026-06-03_09-24-45/model_runs/2026-06-03_09-39-05,results/quick_v1_v2_comparison/2026-06-03_09-24-45/model_runs/2026-06-03_09-39-05/multiclass_table6_arousal_3class_emotion-elicitation_2026-06-03_09-40-04,results/quick_v1_v2_comparison/2026-06-03_09-24-45/model_runs/2026-06-03_09-39-05/multiclass_table6_arousal_3class_emotion-elicitation_2026-06-03_09-40-04/subject_loo/s_P18/gnn_fold_diagnostics.csv,train,-0.0992964655160904,0.534028172492981,-1.776172399520874,1.524701714515686,3.30087411403656,0.9810980558395386,0.0786185264587402,0.5086984634399414,1.0972528457641602,0.3018592298030853,0.5060431361198425,10000,,,,,,,,,,,,,,,,,50,0.9541720151901244,1
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,GNN,BasicGCN_mean,s_P18,results/quick_v1_v2_comparison/2026-06-03_09-24-45/model_runs/2026-06-03_09-39-05,results/quick_v1_v2_comparison/2026-06-03_09-24-45/model_runs/2026-06-03_09-39-05/multiclass_table6_arousal_3class_emotion-elicitation_2026-06-03_09-40-04,results/quick_v1_v2_comparison/2026-06-03_09-24-45/model_runs/2026-06-03_09-39-05/multiclass_table6_arousal_3class_emotion-elicitation_2026-06-03_09-40-04/subject_loo/s_P18/gnn_fold_diagnostics.csv,val,-0.1285933405160904,0.5965176224708557,-1.827186107635498,1.271929383277893,3.099115490913391,0.9536933302879332,0.0727122649550437,0.6605795621871948,1.0869848728179932,0.2165922820568084,0.6361812949180603,97903,,,,,,,,,,,,,,,,,50,0.9541720151901244,1
