experiment_id,experiment_display_name,cv_strategy,model,summary_model_name,true_class_index,true_class_name,pred_class_index,pred_class_name,count,row_normalized
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,LightGBM,LightGBM,0,Calm,1,Medium aroused,717,0.3051063829787234
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,LightGBM,LightGBM,0,Calm,2,Excited/Activated,147,0.0625531914893617
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,LightGBM,LightGBM,1,Medium aroused,0,Calm,854,0.4857792946530148
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,LightGBM,LightGBM,1,Medium aroused,1,Medium aroused,823,0.4681456200227531
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,LightGBM,LightGBM,1,Medium aroused,2,Excited/Activated,81,0.04607508532423208
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,LightGBM,LightGBM,2,Excited/Activated,0,Calm,588,0.6349892008639308
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,LightGBM,LightGBM,2,Excited/Activated,1,Medium aroused,269,0.29049676025917925
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,LightGBM,LightGBM,2,Excited/Activated,2,Excited/Activated,69,0.07451403887688984
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,MLP,MLP,0,Calm,0,Calm,1599,0.6804255319148936
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,MLP,MLP,0,Calm,1,Medium aroused,635,0.2702127659574468
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,MLP,MLP,0,Calm,2,Excited/Activated,116,0.04936170212765958
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,MLP,MLP,1,Medium aroused,0,Calm,1106,0.6291240045506257
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,MLP,MLP,1,Medium aroused,1,Medium aroused,608,0.34584755403868034
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,MLP,MLP,1,Medium aroused,2,Excited/Activated,44,0.02502844141069397
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,MLP,MLP,2,Excited/Activated,0,Calm,634,0.6846652267818575
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,MLP,MLP,2,Excited/Activated,1,Medium aroused,255,0.275377969762419
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,MLP,MLP,2,Excited/Activated,2,Excited/Activated,37,0.03995680345572354
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,SVM,SVM,0,Calm,0,Calm,1527,0.6497872340425532
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,SVM,SVM,0,Calm,1,Medium aroused,657,0.2795744680851064
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,SVM,SVM,0,Calm,2,Excited/Activated,166,0.07063829787234042
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,SVM,SVM,1,Medium aroused,0,Calm,830,0.472127417519909
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,SVM,SVM,1,Medium aroused,1,Medium aroused,843,0.47952218430034127
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,SVM,SVM,1,Medium aroused,2,Excited/Activated,85,0.04835039817974972
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,SVM,SVM,2,Excited/Activated,0,Calm,574,0.6198704103671706
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,SVM,SVM,2,Excited/Activated,1,Medium aroused,265,0.2861771058315335
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,SVM,SVM,2,Excited/Activated,2,Excited/Activated,87,0.0939524838012959
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,BasicGCN_attention,GNN,0,Calm,0,Calm,1748,0.7438297872340426
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,BasicGCN_attention,GNN,0,Calm,1,Medium aroused,565,0.2404255319148936
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,BasicGCN_attention,GNN,0,Calm,2,Excited/Activated,37,0.01574468085106383
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,BasicGCN_attention,GNN,1,Medium aroused,0,Calm,973,0.5534698521046644
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,BasicGCN_attention,GNN,1,Medium aroused,1,Medium aroused,769,0.43742889647326505
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,BasicGCN_attention,GNN,1,Medium aroused,2,Excited/Activated,16,0.009101251422070534
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,BasicGCN_attention,GNN,2,Excited/Activated,0,Calm,705,0.7613390928725702
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,BasicGCN_attention,GNN,2,Excited/Activated,1,Medium aroused,200,0.2159827213822894
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,BasicGCN_attention,GNN,2,Excited/Activated,2,Excited/Activated,21,0.02267818574514039
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,BasicGCN_mean,GNN,0,Calm,0,Calm,1729,0.7357446808510638
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,BasicGCN_mean,GNN,0,Calm,1,Medium aroused,531,0.22595744680851063
