experiment_id,experiment_display_name,cv_strategy,model,split,logit_mean_mean,logit_mean_std,logit_std_mean,logit_std_std,logit_min_mean,logit_min_std,logit_max_mean,logit_max_std,logit_range_mean,logit_range_std,prediction_entropy_mean_mean,prediction_entropy_mean_std,prediction_entropy_std_mean,prediction_entropy_std_std,prediction_entropy_min_mean,prediction_entropy_min_std,prediction_entropy_max_mean,prediction_entropy_max_std,graph_embedding_variance_mean,graph_embedding_variance_std,graph_embedding_mean_pairwise_cosine_similarity_mean,graph_embedding_mean_pairwise_cosine_similarity_std,graph_embedding_pair_count_mean,graph_embedding_pair_count_std,temporal_forward_edge_weight_mean_mean,temporal_forward_edge_weight_mean_std,temporal_forward_edge_weight_std_mean,temporal_forward_edge_weight_std_std,temporal_forward_edge_weight_min_mean,temporal_forward_edge_weight_min_std,temporal_forward_edge_weight_max_mean,temporal_forward_edge_weight_max_std,temporal_backward_edge_weight_mean_mean,temporal_backward_edge_weight_mean_std,temporal_backward_edge_weight_std_mean,temporal_backward_edge_weight_std_std,temporal_backward_edge_weight_min_mean,temporal_backward_edge_weight_min_std,temporal_backward_edge_weight_max_mean,temporal_backward_edge_weight_max_std,spatial_edge_weight_mean_mean,spatial_edge_weight_mean_std,spatial_edge_weight_std_mean,spatial_edge_weight_std_std,spatial_edge_weight_min_mean,spatial_edge_weight_min_std,spatial_edge_weight_max_mean,spatial_edge_weight_max_std,fixation_edge_weight_mean_mean,fixation_edge_weight_mean_std,fixation_edge_weight_std_mean,fixation_edge_weight_std_std,fixation_edge_weight_min_mean,fixation_edge_weight_min_std,fixation_edge_weight_max_mean,fixation_edge_weight_max_std,best_epoch_mean,best_epoch_std,best_val_loss_mean,best_val_loss_std,early_stopped_mean,early_stopped_std
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,BasicGCN_attention,test,0.0015590494964271742,0.0648920734681941,0.39966639801859855,0.22731860699624173,-1.0436899565160274,0.7225000264200407,1.0241898536682128,0.71087803363553,2.06787981018424,1.3998895170672616,1.0204350978136063,0.07273702703900344,0.05378337509464468,0.05738504938288177,0.839689938724041,0.25570445649723983,1.0950744092464446,0.004695711816392081,0.37948169857263564,0.07024648890799949,0.36605662032961844,0.10495067815919244,32807.7,12839.890895994897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.7,63.49977206755611,0.9548414170742034,0.17851951399573676,1.0,0.0
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,BasicGCN_attention,train,0.009327784326160311,0.0675166801097138,0.42295990474522116,0.2568003038667822,-1.2482523873448372,0.9583589323322516,1.3966508239507676,1.2370431670820088,2.644903211295605,2.1765776004980206,1.0133871674537658,0.08126677838180016,0.06293399422429498,0.07030081229712978,0.7406514989212155,0.3828075323035082,1.0971679508686065,0.002771283049379807,0.4070876657962799,0.04812070514251672,0.3178055107593536,0.0831522444943322,10000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.7,63.49977206755611,0.9548414170742034,0.17851951399573676,1.0,0.0
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,BasicGCN_attention,val,0.018972474167821933,0.08802587952593795,0.453339609131217,0.33042785766084554,-1.0976057417690754,0.7968397688582426,1.2760769829154015,1.2046530196588936,2.373682724684477,1.9707589564806904,0.9935065060853958,0.127736993259256,0.07239983198232944,0.09641604785507603,0.7856489382684231,0.3610459526425237,1.095708978176117,0.004166323337945206,0.3964951455593109,0.044446995094935535,0.33749367073178294,0.07500616265774088,130929.1,34868.59179518077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.7,63.49977206755611,0.9548414170742034,0.17851951399573676,1.0,0.0
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,BasicGCN_mean,test,-0.016449072759132835,0.07134599811647895,0.4123261071741581,0.2031575579835871,-1.1371620520949364,0.8081410283854297,0.9629653066396713,0.672788449040212,2.100127358734608,1.4456328914071892,1.0194293349981307,0.06253037550205445,0.05094634273555125,0.05355705973500446,0.8413817107677459,0.2729428268144842,1.0941913962364196,0.00520650608924089,0.3406178437173366,0.07192295414247406,0.4092421866953373,0.13525120339647956,32807.7,12839.890895994897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.75,81.16641449580771,0.9537547464172045,0.18237290283870994,1.0,0.0
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,BasicGCN_mean,train,-0.01553037147969007,0.06384354692470914,0.4269718736410141,0.23786132761975637,-1.3573853716254234,1.1077623485859462,1.2322283923625945,0.9989467729881181,2.589613763988018,2.0857306392146144,1.0142971515655517,0.07356572186479542,0.058328256395179745,0.06678326120837311,0.7582858018577099,0.36814224612307833,1.0966877162456512,0.0035872037500134517,0.37043062597513193,0.036245207639373236,0.35935053154826163,0.10760132798704951,10000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.75,81.16641449580771,0.9537547464172045,0.18237290283870994,1.0,0.0
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,BasicGCN_mean,val,-0.003856228990480305,0.06083679445925569,0.4488679185509682,0.28182048352721795,-1.1839706286787988,0.8668792693237755,1.2362257182598113,1.2005654811371487,2.42019634693861,2.0385542417764504,0.9996031016111374,0.10818298336046624,0.0631530055776238,0.08264542654940014,0.7941106410697103,0.35805884221087003,1.0948869585990906,0.00537083144476592,0.35550254359841343,0.05194754141050748,0.3814479671418667,0.10775394205758883,130929.1,34868.59179518077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.75,81.16641449580771,0.9537547464172045,0.18237290283870994,1.0,0.0
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,GNN_v2,test,0.01188645395450293,0.08522341350382102,0.43227892406284807,0.22758561419146725,-1.1114792488515377,0.6847296183934782,1.0582363516092301,0.696110511293068,2.169715600460768,1.3498680456001844,1.0090010911226273,0.07787475735532286,0.05848720162175593,0.05785377165165286,0.8171138256788254,0.27102452616368744,1.0922861099243164,0.009103384477185677,0.3450345598161221,0.05440618608777515,0.43980262950062754,0.10757285154165841,32807.7,12839.890895994897,0.19986246526241302,1.0046940475929964,0.017703319870854127,0.02905405278857511,-0.29999999701976776,0.9787209483837297,0.40000002086162567,0.9403246459240578,0.1998670607805252,1.0047002058299126,0.017692169635052303,0.028813880646819695,-0.3,0.9787209506274339,0.40000002086162567,0.9403246192346709,0.06633623540401459,0.6893023694831595,0.28221737444400785,0.0022641711283829477,-0.6072715949267149,0.5492459421141827,0.6049056425690651,0.5525011203186936,-0.03908646497875451,0.16479457549233503,0.03675995972007508,0.040788972045916416,-0.6464843558147549,0.5042178083970503,0.6364956537261606,0.4827946353197035,27.9,38.6848263466916,0.9354651446143786,0.18079722864542866,1.0,0.0
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,GNN_v2,train,0.0014527407882269344,0.07960295265616221,0.4547086630016565,0.25509411800072906,-1.3838136911392211,1.0165544941363975,1.2736410528421402,0.9114170512388395,2.6574547439813614,1.908343889391198,1.00204855799675,0.08691810755109873,0.07041759425774212,0.07307718574177677,0.7270869836211205,0.3717175979356325,1.0961645185947417,0.004967819648772793,0.38521926105022425,0.04467357431172541,0.3805128313601017,0.10082021819290053,10000.0,0.0,0.1998029112815857,1.0048229904127688,0.01623305958227437,0.025740741305927455,-0.39999993741512296,0.9403246165657768,0.5000000208616256,0.8885232654438612,0.1998445063829422,1.0048898774766524,0.01518778083812961,0.023350744917640637,-0.3000000059604645,0.9787209422936747,0.5000000208616256,0.8885232654438618,0.06743091642856598,0.6891519642414561,0.2824181646108627,0.0021953354118488056,-0.6147357376292348,0.5387635438599362,0.668490557745099,0.5195675670041987,-0.03921324983239173,0.1646846275902501,0.036345764342695416,0.040725894546005656,-0.6806485743261874,0.5009320090044291,0.8392971654422581,0.3890353720224133,27.9,38.6848263466916,0.9354651446143786,0.18079722864542866,1.0,0.0
multiclass_table6_arousal_3class,Table-6 Arousal,recording_loo,GNN_v2,val,-0.011129561485722663,0.08719857653362532,0.48626817502081393,0.3075371064032919,-1.2268697269260884,0.8255977057143558,1.182497000694275,0.8541765050660806,2.4093667276203634,1.657198256566856,0.9799725592136384,0.12559287180559756,0.08081674416316668,0.09250024078576098,0.7582983680069446,0.3537084243877842,1.0941698491573333,0.0070947092783477245,0.36750852763652797,0.05319151457353967,0.4146841377019882,0.09423569832956517,130929.1,34868.59179518077,0.19993708431720736,1.0047075518974196,0.016332025257729227,0.028891738025959054,-0.3000000059604645,0.9787209422936753,0.4000000298023224,0.9403246319121291,0.19998301267623902,1.0047677129983312,0.014853920837722176,0.02725829549213346,-0.3,0.9787209506274339,0.499999874830246,0.8885231789425105,0.0675123929977417,0.6884104792935829,0.2822875380516052,0.0021240035634672925,-0.6099515978246928,0.5454899171267737,0.6096789890900254,0.545927027335929,-0.03935052584856748,0.16460610129859943,0.03673184718936677,0.040210122381492186,-0.6547147494740784,0.49957510126973903,0.7072107898071408,0.4594296210478493,27.9,38.6848263466916,0.9354651446143786,0.18079722864542866,1.0,0.0
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,BasicGCN_attention,test,0.013066927267407819,0.08638674623676577,0.5973495827479796,0.22431938503428575,-1.2867344482378527,0.5639502210035015,1.6750898591496728,0.911973878832515,2.9618243073875252,1.427761522855405,0.9514289579608224,0.08607018908813485,0.10138561174442816,0.06639115022784202,0.5727567344226621,0.293442010596577,1.0848366563970393,0.016267839136624614,0.29432831298221235,0.05243144085554422,0.5298766696994955,0.10466123588420728,26189.863636363636,3789.917919647118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.22727272727273,42.19222656703462,0.9546952518549833,0.06453392277771759,1.0,0.0
