epoch,train_loss,val_loss,val_balanced_accuracy,val_macro_f1,epoch_runtime_seconds,is_best_epoch,best_epoch,best_val_loss
1,1.0340418570181902,1.1635572612285614,0.3770533919692916,0.2998737373737374,1.977,0,2,1.1395072638988495
2,1.011636215097764,1.1395072638988495,0.41974581009807926,0.33905243235053173,2.146,1,2,1.1395072638988495
3,1.0012828251894783,1.1547715067863464,0.3685602454247328,0.2971019311428494,1.914,0,2,1.1395072638988495
4,0.9899328561390147,1.1647112965583801,0.3720209759562347,0.3003866976024749,1.938,0,2,1.1395072638988495
5,0.979803253622616,1.162811815738678,0.35272249172598275,0.28250932319167005,1.926,0,2,1.1395072638988495
6,0.9702024214407977,1.1759206056594849,0.34847591845370324,0.28091858860634733,1.93,0,2,1.1395072638988495
7,0.9649932279306299,1.1734957098960876,0.3708875489262668,0.3001407033187684,1.931,0,2,1.1395072638988495
8,0.9586264771573684,1.1790915727615356,0.34190204167988997,0.27541371158392436,1.896,0,2,1.1395072638988495
9,0.9545759067815893,1.1767391562461853,0.3825845158755346,0.30999216739398006,1.873,0,2,1.1395072638988495
10,0.9448682139901554,1.183627188205719,0.34542322165299,0.2771328705754936,1.868,0,2,1.1395072638988495
11,0.9444520157926223,1.178897738456726,0.36747215547596374,0.2969257340241796,1.864,0,2,1.1395072638988495
12,0.9365091849775875,1.180068552494049,0.3783379426032552,0.3064861943721801,1.869,0,2,1.1395072638988495
13,0.9305493901757633,1.1853535175323486,0.3842922126006861,0.3115203693305883,1.896,0,2,1.1395072638988495
14,0.9292783316443948,1.1813177466392517,0.3611551888289432,0.29246825845202346,1.92,0,2,1.1395072638988495
15,0.9207564942977008,1.1876320242881775,0.36224327877771234,0.29374863518154565,1.875,0,2,1.1395072638988495
16,0.9183450130855336,1.1859272718429565,0.36700367230357706,0.2981078543027833,1.86,0,2,1.1395072638988495
17,0.9155489942606758,1.183369517326355,0.3631197956808874,0.29513453648468374,1.857,0,2,1.1395072638988495
18,0.912795389399809,1.1843820214271545,0.3599159752761783,0.2906337008575565,1.858,0,2,1.1395072638988495
19,0.9104050783550038,1.186286747455597,0.3617747956053256,0.29494160294021526,1.856,0,2,1.1395072638988495
20,0.9057579110650456,1.181727945804596,0.36348249233047714,0.2962727465407091,1.864,0,2,1.1395072638988495
21,0.903760924058802,1.1902062892913818,0.3544755255323329,0.2888902338154895,1.863,0,2,1.1395072638988495
22,0.8992920062121224,1.1903894543647766,0.36021822248416985,0.29281972836415887,1.901,0,2,1.1395072638988495
