split,logit_mean,logit_std,logit_min,logit_max,logit_range,prediction_entropy_mean,prediction_entropy_std,prediction_entropy_min,prediction_entropy_max,graph_embedding_variance,graph_embedding_mean_pairwise_cosine_similarity,graph_embedding_pair_count,temporal_forward_edge_weight_mean,temporal_forward_edge_weight_std,temporal_forward_edge_weight_min,temporal_forward_edge_weight_max,temporal_backward_edge_weight_mean,temporal_backward_edge_weight_std,temporal_backward_edge_weight_min,temporal_backward_edge_weight_max,spatial_edge_weight_mean,spatial_edge_weight_std,spatial_edge_weight_min,spatial_edge_weight_max,fixation_edge_weight_mean,fixation_edge_weight_std,fixation_edge_weight_min,fixation_edge_weight_max,model,best_epoch,best_val_loss,early_stopped
train,0.1818520575761795,0.510848879814148,-1.3075696229934692,1.852434515953064,3.160004138946533,0.5962245464324951,0.10623953491449356,0.17458583414554596,0.6931471824645996,0.3842882513999939,0.2530497908592224,10000,,,,,,,,,,,,,,,,,HeteroGCNMean,91,0.5439720749855042,1
val,0.21454966068267822,0.5860607028007507,-1.095913052558899,1.5116510391235352,2.607564091682434,0.5692325830459595,0.11888602375984192,0.25228747725486755,0.6931368708610535,0.32753986120224,0.36130160093307495,11175,,,,,,,,,,,,,,,,,HeteroGCNMean,91,0.5439720749855042,1
test,0.151216521859169,0.5259922742843628,-1.1731778383255005,1.2299542427062988,2.4031320810317993,0.5862589478492737,0.0973842516541481,0.2937053442001343,0.6931458711624146,0.29495128989219666,0.4791669249534607,253116,,,,,,,,,,,,,,,,,HeteroGCNMean,91,0.5439720749855042,1
