split,logit_mean,logit_std,logit_min,logit_max,logit_range,prediction_entropy_mean,prediction_entropy_std,prediction_entropy_min,prediction_entropy_max,graph_embedding_variance,graph_embedding_mean_pairwise_cosine_similarity,graph_embedding_pair_count,temporal_forward_edge_weight_mean,temporal_forward_edge_weight_std,temporal_forward_edge_weight_min,temporal_forward_edge_weight_max,temporal_backward_edge_weight_mean,temporal_backward_edge_weight_std,temporal_backward_edge_weight_min,temporal_backward_edge_weight_max,spatial_edge_weight_mean,spatial_edge_weight_std,spatial_edge_weight_min,spatial_edge_weight_max,fixation_edge_weight_mean,fixation_edge_weight_std,fixation_edge_weight_min,fixation_edge_weight_max,best_epoch,best_val_loss,early_stopped
train,-0.08647651225328445,0.49200311303138733,-1.242490530014038,0.622149646282196,1.8646401762962341,1.0106008052825928,0.032678212970495224,0.9198637008666992,1.087921380996704,0.33296358585357666,0.5164743065834045,10000,,,,,,,,,,,,,,,,,13,0.9548791348934174,1
val,-0.08313557505607605,0.45989862084388733,-1.240945816040039,0.5691543817520142,1.8101001977920532,1.0192298889160156,0.03183271363377571,0.9226420521736145,1.0801212787628174,0.3299493193626404,0.5222582817077637,121771,,,,,,,,,,,,,,,,,13,0.9548791348934174,1
test,-0.07519923150539398,0.46038827300071716,-1.185113549232483,0.5744921565055847,1.7596057057380676,1.0185303688049316,0.03311935439705849,0.9280523061752319,1.089535117149353,0.34173184633255005,0.4852536916732788,28920,,,,,,,,,,,,,,,,,13,0.9548791348934174,1
