epoch,train_loss,val_loss,val_balanced_accuracy,val_macro_f1,epoch_runtime_seconds,learning_rate,grad_norm_mean,grad_norm_max,is_best_epoch,best_epoch,best_val_loss,early_stopped
1,1.0937537165249096,1.046904981136322,0.31934731934731936,0.2471808750563825,1.194,5e-05,0.0525640865764044,0.279735803604126,1,1,1.046904981136322,1
2,1.0739966560812557,1.0721481442451477,0.20046620046620048,0.18554476806903994,1.163,5e-05,0.043870097807892264,0.24354299902915955,0,1,1.046904981136322,1
3,1.0593349442762487,1.0921829342842102,0.18181818181818182,0.173044925124792,1.135,5e-05,0.03699748756954493,0.2327801138162613,0,1,1.046904981136322,1
4,1.047586959951064,1.107320487499237,0.1794871794871795,0.1716833890746934,1.126,5e-05,0.03272912870607175,0.2184576541185379,0,1,1.046904981136322,1
5,1.0398399058510275,1.1161255836486816,0.18065268065268064,0.1725097384529772,1.127,5e-05,0.03421377713106045,0.219203919172287,0,1,1.046904981136322,1
6,1.0344399424160229,1.1150377988815308,0.1888111888111888,0.17792421746293244,1.193,5e-05,0.03000903199655644,0.16994985938072205,0,1,1.046904981136322,1
7,1.029826655107386,1.115121304988861,0.19230769230769232,0.1800327332242226,1.128,5e-05,0.03083065578218392,0.1674516648054123,0,1,1.046904981136322,1
8,1.0260284017114079,1.1216412782669067,0.19230769230769232,0.18032786885245902,1.135,5e-05,0.03025372001402132,0.1659720540046692,0,1,1.046904981136322,1
9,1.0218165832407333,1.1186341643333435,0.19463869463869463,0.181917211328976,1.13,5e-05,0.03171360494946701,0.15884849429130554,0,1,1.046904981136322,1
10,1.0205349992303288,1.1216938495635986,0.18764568764568765,0.17741046831955923,1.127,5e-05,0.02958707461339433,0.155034139752388,0,1,1.046904981136322,1
11,1.0153283897568197,1.1307770609855652,0.18298368298368298,0.17415418746533554,1.116,5e-05,0.03231703360073862,0.17130519449710846,0,1,1.046904981136322,1
12,1.0143673455013948,1.1319369077682495,0.19424325674325674,0.1867166897751679,1.106,5e-05,0.032909812084345166,0.18168430030345917,0,1,1.046904981136322,1
13,1.0120263871024637,1.1309707760810852,0.19540875790875792,0.1870612281169466,1.101,5e-05,0.03227702568448662,0.20780494809150696,0,1,1.046904981136322,1
14,1.008624304743374,1.1379789113998413,0.2055028305028305,0.19828173293519827,1.1,5e-05,0.035385396323186276,0.20562167465686798,0,1,1.046904981136322,1
15,1.0050197594306047,1.1379780173301697,0.20666833166833165,0.1993818429461994,1.103,5e-05,0.03349179448166452,0.20942485332489014,0,1,1.046904981136322,1
16,1.0028374685960657,1.1448640823364258,0.21443140193140192,0.20866046831955923,1.099,5e-05,0.03425074815801482,0.1973295509815216,0,1,1.046904981136322,1
17,0.9972016460755292,1.141320526599884,0.2179279054279054,0.21107456140350878,1.097,5e-05,0.03696349281810761,0.20603741705417633,0,1,1.046904981136322,1
18,0.9968205234583687,1.1544613242149353,0.2121003996003996,0.207037728026534,1.098,5e-05,0.03577489666280582,0.2658948600292206,0,1,1.046904981136322,1
19,0.9940050209269804,1.1465629935264587,0.22802197802197804,0.21927131672259106,1.096,5e-05,0.03948992182178938,0.23372621834278107,0,1,1.046904981136322,1
20,0.9889926174107719,1.1529192328453064,0.22918747918747917,0.2179504453926192,1.096,5e-05,0.03760182878254845,0.22706931829452515,0,1,1.046904981136322,1
21,0.9853730306905859,1.152088701725006,0.23461954711954713,0.22288216422439955,1.1,5e-05,0.042325959676414164,0.27199268341064453,0,1,1.046904981136322,1
