epoch,train_loss,val_loss,val_balanced_accuracy,val_macro_f1,epoch_runtime_seconds,learning_rate,grad_norm_mean,grad_norm_max,is_best_epoch,best_epoch,best_val_loss,early_stopped
1,1.1101419014089249,1.0426895221074421,0.37203049203049204,0.25198709945900954,1.061,5e-05,0.0833721865157791,0.29591241478919983,1,1,1.0426895221074421,1
2,1.082985148710363,1.1167049805323284,0.3400970200970201,0.07291943765106335,1.051,5e-05,0.07339420205699329,0.2952750027179718,0,1,1.0426895221074421,1
3,1.062130514313193,1.1889255046844482,0.32069300069300066,0.033511639920678564,1.05,5e-05,0.06250876404922755,0.2624514400959015,0,1,1.0426895221074421,1
4,1.0438822858473833,1.2548376321792603,0.32,0.03187250996015936,1.045,5e-05,0.053836786367477255,0.23108422756195068,0,1,1.0426895221074421,1
5,1.028734259745654,1.3097970883051555,0.3066666666666667,0.03085177733065057,1.044,5e-05,0.051879763245871444,0.3420555293560028,0,1,1.0426895221074421,1
6,1.0217395109288834,1.367063323656718,0.32,0.032,1.053,5e-05,0.04341524900783869,0.22247688472270966,0,1,1.0426895221074421,1
7,1.014941979857052,1.4014532963434856,0.32,0.032,1.101,5e-05,0.043999486067456836,0.23484504222869873,0,1,1.0426895221074421,1
8,1.01078678930507,1.430591305096944,0.3066666666666667,0.030976430976430977,1.058,5e-05,0.044957793521306376,0.33016276359558105,0,1,1.0426895221074421,1
9,1.0094312815105213,1.432587742805481,0.32,0.03219315895372233,1.054,5e-05,0.04398364152567571,0.21525460481643677,0,1,1.0426895221074421,1
10,1.0007164618548225,1.4337611198425293,0.3066666666666667,0.03110209601081812,1.045,5e-05,0.041977443543068545,0.22749267518520355,0,1,1.0426895221074421,1
11,1.0016337107209599,1.4327670335769653,0.3333333333333333,0.033738191632928474,1.04,5e-05,0.04244679514502977,0.2418810874223709,0,1,1.0426895221074421,1
12,0.997024416923523,1.4252168734868367,0.3333333333333333,0.033602150537634407,1.037,5e-05,0.04390835849864577,0.32475122809410095,0,1,1.0426895221074421,1
13,0.9971860787447762,1.426358660062154,0.3333333333333333,0.034223134839151265,1.037,5e-05,0.04257601849426002,0.2568291425704956,0,1,1.0426895221074421,1
14,0.9944609684102675,1.4171019395192463,0.334026334026334,0.03546628878197241,1.039,5e-05,0.046771904453635216,0.2262532114982605,0,1,1.0426895221074421,1
15,0.9942803523119759,1.4033113320668538,0.3347193347193347,0.03684368741717368,1.046,5e-05,0.04631827274003729,0.3032539188861847,0,1,1.0426895221074421,1
16,0.9904910010450027,1.3940221468607585,0.3361053361053361,0.03944261308361504,1.039,5e-05,0.0472770142425001,0.3924919664859772,0,1,1.0426895221074421,1
17,0.9895235825987423,1.3776602347691853,0.3381843381843382,0.04406939777574132,1.037,5e-05,0.04572033304484552,0.24262186884880066,0,1,1.0426895221074421,1
18,0.9892317372209886,1.3683723211288452,0.33957033957033955,0.04703960916308068,1.033,5e-05,0.046646949874341766,0.3062853217124939,0,1,1.0426895221074421,1
19,0.9859092130380518,1.3662724494934082,0.3402633402633402,0.04808428876435606,1.034,5e-05,0.04523813912089675,0.3215784728527069,0,1,1.0426895221074421,1
20,0.9844297030392815,1.3557545741399128,0.3303950103950104,0.05430875853411065,1.039,5e-05,0.05297148441597023,0.33040669560432434,0,1,1.0426895221074421,1
21,0.9804458127302282,1.3535166184107463,0.3303950103950104,0.054381966316097874,1.038,5e-05,0.0526590848367731,0.47475817799568176,0,1,1.0426895221074421,1
