epoch,train_loss,val_loss,val_balanced_accuracy,val_macro_f1,epoch_runtime_seconds,learning_rate,grad_norm_mean,grad_norm_max,is_best_epoch,best_epoch,best_val_loss,early_stopped
1,1.0988002805148853,1.257874608039856,0.325017325017325,0.05497255730999887,1.145,5e-05,0.05426207667077263,0.3527192175388336,0,129,0.7632650931676229,1
2,1.076910741188947,1.312278151512146,0.31132363132363133,0.05773823759187513,1.153,5e-05,0.046868815114601815,0.28536781668663025,0,129,0.7632650931676229,1
3,1.058983844869277,1.3570324579874675,0.08088704088704089,0.038533263943100006,1.114,5e-05,0.042368387088942874,0.267902135848999,0,129,0.7632650931676229,1
4,1.0490513058269726,1.3938336769739788,0.2966320166320166,0.06259400468711741,1.094,5e-05,0.039224856011529335,0.22651466727256775,0,129,0.7632650931676229,1
5,1.0357714049956377,1.4117860794067383,0.3373250173250173,0.06721700110066887,1.093,5e-05,0.037016210549594836,0.3241552710533142,0,129,0.7632650931676229,1
6,1.026274305932662,1.4181591272354126,0.33801801801801795,0.06816883865823842,1.093,5e-05,0.03517194504273989,0.25024282932281494,0,129,0.7632650931676229,1
7,1.0210210680961609,1.4298593997955322,0.33801801801801795,0.06780897432709126,1.089,5e-05,0.03528537363339168,0.30620062351226807,0,129,0.7632650931676229,1
8,1.0155273710980135,1.4271125396092732,0.3373250173250173,0.06628120229741156,1.092,5e-05,0.03517609352307954,0.22780610620975494,0,129,0.7632650931676229,1
9,1.0138424003825468,1.4107036193211873,0.3387110187110187,0.0690493919086622,1.096,5e-05,0.03467761550669673,0.2242562174797058,0,129,0.7632650931676229,1
10,1.0078459802795858,1.3884982268015544,0.3400970200970201,0.07144462719298246,1.097,5e-05,0.03352249985200862,0.25937801599502563,0,129,0.7632650931676229,1
11,1.0045517367475174,1.3830896615982056,0.3428690228690228,0.07646229739252995,1.11,5e-05,0.030045814912565253,0.18415068089962006,0,129,0.7632650931676229,1
12,1.000258445739746,1.3563588460286458,0.34702702702702704,0.08392356771152448,1.088,5e-05,0.030577173317285843,0.25726088881492615,0,129,0.7632650931676229,1
13,0.9979989528656006,1.3372807900110881,0.33854469854469854,0.0914137869342031,1.114,5e-05,0.036252673730398775,0.22384057939052582,0,129,0.7632650931676229,1
14,0.9925216155893662,1.308232307434082,0.28296604296604294,0.10253805979675541,1.132,5e-05,0.03374721945512474,0.20419809222221375,0,129,0.7632650931676229,1
15,0.992406469934127,1.2847611506779988,0.27794871794871795,0.11439048084320232,1.111,5e-05,0.03546804101099692,0.2500743865966797,0,129,0.7632650931676229,1
16,0.988194886375876,1.2519033352533977,0.2925017325017325,0.13710010656575541,1.147,5e-05,0.037942924317070206,0.3278214931488037,0,129,0.7632650931676229,1
17,0.9850686753497404,1.246398687362671,0.2966597366597367,0.14306572306389617,1.175,5e-05,0.03244632082383941,0.18853475153446198,0,129,0.7632650931676229,1
18,0.9849231488564435,1.2105107704798381,0.2810810810810811,0.1554373522458629,1.164,5e-05,0.03868593957347056,0.3295341730117798,0,129,0.7632650931676229,1
19,0.9800639994004193,1.1901263793309529,0.288011088011088,0.16549375673895048,1.171,5e-05,0.04153261754307021,0.2527637779712677,0,129,0.7632650931676229,1
20,0.9806665708036983,1.1542554299036663,0.3094941094941095,0.19356485369428114,1.165,5e-05,0.04063459244233817,0.35889726877212524,0,129,0.7632650931676229,1
21,0.9751101381638471,1.1325552066167195,0.30309078309078313,0.1999946093097221,1.172,5e-05,0.03954515239822113,0.26140856742858887,0,129,0.7632650931676229,1
22,0.9746865595088285,1.128802239894867,0.307941787941788,0.20594315642481942,1.105,5e-05,0.04186452739849387,0.31036898493766785,0,129,0.7632650931676229,1
23,0.9685019850730896,1.0993974606196086,0.2923631323631324,0.21406135800488438,1.087,5e-05,0.04467167002884424,0.38687416911125183,0,129,0.7632650931676229,1
24,0.9646209758870742,1.070227285226186,0.2774774774774775,0.22246235042540607,1.087,5e-05,0.043750506392940855,0.3516937792301178,0,129,0.7632650931676229,1
