model,metric_type,mae,ccc,spearman
Mean,aggregated,1.9687354282789609,0.0,0.0
Mean,emotion_emotion-arousal,1.9687354282789609,0.0,0.0
SVM,aggregated,1.9689575704148612,0.04129850559960493,0.08111663344797557
SVM,emotion_emotion-arousal,1.9689575704148612,0.04129850559960493,0.08111663344797557
LightGBM,aggregated,1.9421569252279405,0.06335543379086775,0.0964342875235864
LightGBM,emotion_emotion-arousal,1.9421569252279405,0.06335543379086775,0.0964342875235864
MLP,aggregated,1.9272786795039654,0.09318611484364817,0.11187385705406386
MLP,emotion_emotion-arousal,1.9272786795039654,0.09318611484364817,0.11187385705406386
GNN,aggregated,1.9766964137554168,0.0668477745493874,0.08996727775657476
GNN,emotion_emotion-arousal,1.9766964137554168,0.0668477745493874,0.08996727775657476
