model,metric_type,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,macro_auc_ovr,weighted_precision,weighted_recall,weighted_f1,weighted_auc_ovr,loss
Random,aggregated,0.5086666301040107,0.5085280657142158,0.5082505401346114,0.5085280657142158,0.507208745681868,0.5085280657142159,0.5131648534358619,0.5086666301040107,0.5097752892977953,0.5085280657142159,17.70944968303792
Majority,aggregated,0.5215136174953522,0.5,0.2607568087476761,0.5,0.34221744481631317,0.5,0.27398171116448256,0.5215136174953522,0.3585923453580781,0.5,17.24639732241005
LightGBM,aggregated,0.6901982363059979,0.6900329984485715,0.703710991401616,0.6900329984485715,0.6825720190233763,0.7755986799022114,0.7076488077017018,0.6901982363059979,0.6844928480839255,0.7755986799022114,0.5858101890096012
SVM,aggregated,0.6855416897221992,0.6827138395252598,0.698698385741234,0.6827138395252598,0.6760563784480496,0.7615164925277641,0.701407101520496,0.6855416897221992,0.6787599319734064,0.7615164925277641,0.6001140159736701
MLP,aggregated,0.6724547757216088,0.6710562465944998,0.6893759793754537,0.6710562465944998,0.6621669141459762,0.7536582617896096,0.6928677541631905,0.6724547757216088,0.664505792144367,0.7536582617896098,0.6900601647047315
MOMENT_GazeMAE_all_signals,aggregated,0.6612415413722434,0.6628378235163828,0.667822144492636,0.6628378235163828,0.6564519964549824,0.721739161747749,0.6725713292385355,0.6612415413722434,0.6581057933298297,0.721739161747749,0.7420538021296561
BasicGCN,aggregated,0.5958178480186873,0.5930015104607167,0.6151508287509355,0.5930015104607167,0.5763765034323762,0.6566205467964739,0.6189077027742068,0.5958178480186873,0.5793512234090352,0.6566205467964739,0.6729038258393606
HeteroGCNMean,aggregated,0.6180137719908164,0.6127922144973328,0.6382687738553866,0.6127922144973328,0.5969238903053427,0.6959516254934537,0.6410707372858993,0.6180137719908164,0.6008271679267789,0.6959516254934537,0.675074414128349
HeteroGCNMLP,aggregated,0.6053982737051512,0.5987384448605765,0.6134810310270026,0.5987384448605765,0.5655355188884175,0.6901559401416393,0.6170968335359471,0.6053982737051512,0.5705982167387988,0.6901559401416393,0.691810782466616
HeteroGCNMLPWeights,aggregated,0.627436866151065,0.6234397238206267,0.6459200503141383,0.6234397238206267,0.6084123468578333,0.7022805406755798,0.648761643281296,0.627436866151065,0.6116553424092773,0.7022805406755798,0.6843751555397396
