model,metric_type,accuracy,precision,recall,f1,auc
Mean,aggregated,0.6016875330118114,0.6016875330118114,1.0,0.7275256702081523,0.46774193548387094
Mean,emotion_emotion-anger,0.6016875330118114,0.6016875330118114,1.0,0.7275256702081523,0.46774193548387094
SVM,aggregated,0.608370937250394,0.6425774600939559,0.805920477244494,0.6770594979615804,0.5532196667073583
SVM,emotion_emotion-anger,0.608370937250394,0.6425774600939559,0.805920477244494,0.6770594979615804,0.5532196667073583
LightGBM,aggregated,0.5728476914724793,0.6161668171539103,0.7933990021171233,0.6640396955219559,0.5023640472103811
LightGBM,emotion_emotion-anger,0.5728476914724793,0.6161668171539103,0.7933990021171233,0.6640396955219559,0.5023640472103811
MLP,aggregated,0.5694980238104177,0.630327259828611,0.6632981679535455,0.6203298872820411,0.5378484430467295
MLP,emotion_emotion-anger,0.5694980238104177,0.630327259828611,0.6632981679535455,0.6203298872820411,0.5378484430467295
GNN,aggregated,0.6016599714392583,0.6016599714392583,1.0,0.7274771034142408,0.542824962070995
GNN,emotion_emotion-anger,0.6016599714392583,0.6016599714392583,1.0,0.7274771034142408,0.542824962070995
