epoch,train_loss,val_loss,val_balanced_accuracy,val_macro_f1,epoch_runtime_seconds,is_best_epoch,best_epoch,best_val_loss
1,1.0806899421355303,1.0231410264968872,0.3763735197049116,0.33479604791080203,2.227,0,110,0.8534848093986511
2,1.0225594674839693,1.007346272468567,0.42364589400116487,0.3674575999679622,1.66,0,110,0.8534848093986511
3,1.0103902606403126,0.9965211153030396,0.43684721413317806,0.38201145508244555,1.691,0,110,0.8534848093986511
4,1.0017976620618034,0.987573653459549,0.45282469423412924,0.40270337389576755,1.665,0,110,0.8534848093986511
5,0.9960768924039953,0.9800918102264404,0.4507668413900214,0.39858580106302205,1.651,0,110,0.8534848093986511
6,0.98827984753777,0.9764772355556488,0.43777907202484956,0.38125353860238764,1.653,0,110,0.8534848093986511
7,0.9822157971999225,0.9701451063156128,0.4556202679091439,0.40106862581399233,1.724,0,110,0.8534848093986511
8,0.9749265348210054,0.9644632637500763,0.46181324014754416,0.4054936718968339,1.697,0,110,0.8534848093986511
9,0.9697747861637789,0.9549347758293152,0.4718112987769365,0.4184995039976603,1.682,0,110,0.8534848093986511
10,0.9647529020028955,0.953214168548584,0.46377402446126964,0.4069429472591528,1.898,0,110,0.8534848093986511
11,0.9591123812338885,0.9476820230484009,0.46903513880799846,0.41200411788647084,1.684,0,110,0.8534848093986511
12,0.9530916669789482,0.9516317248344421,0.4599689380702776,0.3967550361659605,1.654,0,110,0.8534848093986511
13,0.9502221416024601,0.9370422661304474,0.47006406523005245,0.4142560955712347,1.68,0,110,0.8534848093986511
14,0.9465007010628196,0.9327437877655029,0.4802756746262862,0.4244940919471751,1.672,0,110,0.8534848093986511
15,0.941470370573156,0.9404900968074799,0.4625381823364764,0.40372802312870953,1.67,0,110,0.8534848093986511
16,0.9402828391860513,0.9272133708000183,0.48254707823723547,0.4259555661729575,1.674,0,110,0.8534848093986511
17,0.935652213938096,0.9229363203048706,0.48810603323921375,0.4367115205702412,1.653,0,110,0.8534848093986511
18,0.9291986542589524,0.9222716987133026,0.481815992470431,0.4296708919257939,1.738,0,110,0.8534848093986511
19,0.9262478737270131,0.9117856025695801,0.49706238680457765,0.4529465445806062,1.726,0,110,0.8534848093986511
20,0.9264590424649856,0.9207176268100739,0.4911994475694777,0.44048547547365513,1.688,0,110,0.8534848093986511
21,0.9215628574876225,0.911945641040802,0.5000331753205104,0.4652292152292152,1.715,0,110,0.8534848093986511
22,0.919821956578423,0.9046643376350403,0.5044595003059502,0.4729377315251162,1.671,0,110,0.8534848093986511
23,0.9146916901364046,0.9019598066806793,0.49829208535149866,0.458167496440357,1.716,0,110,0.8534848093986511
24,0.9163896301213432,0.902298092842102,0.5072295166970159,0.4808217723720398,1.723,0,110,0.8534848093986511
25,0.915257404832279,0.8964232802391052,0.5206377525317684,0.4942851424220602,1.707,0,110,0.8534848093986511
26,0.9138948461588692,0.9055218398571014,0.5016961189789865,0.46186661145427926,1.697,0,110,0.8534848093986511
27,0.9094175941803876,0.9020892381668091,0.4991268747127877,0.45565468163832007,1.675,0,110,0.8534848093986511
28,0.903555526452906,0.9014453291893005,0.5071452268086079,0.4738116847444742,1.681,0,110,0.8534848093986511
29,0.8983281289829927,0.8922038972377777,0.5088669030715433,0.4862785854596478,1.681,0,110,0.8534848093986511
30,0.9000817186692182,0.8942514955997467,0.5013599423978138,0.4719162777652424,1.664,0,110,0.8534848093986511
31,0.8989729074870839,0.8933974504470825,0.5197778973727604,0.5008741549622052,1.697,0,110,0.8534848093986511
32,0.8979260921478271,0.8914871215820312,0.5140309488878896,0.48897055325626754,1.674,0,110,0.8534848093986511
33,0.8955593179253971,0.8916769325733185,0.5111638639664413,0.47956737583016107,1.683,0,110,0.8534848093986511
34,0.887856497484095,0.8880593180656433,0.5114361473377419,0.49134749362786745,1.681,0,110,0.8534848093986511
35,0.891417896046358,0.8942922949790955,0.5037222709612733,0.47526930617634094,1.729,0,110,0.8534848093986511
36,0.8894866319263682,0.8915411531925201,0.5314071987988077,0.5165488176400644,1.755,0,110,0.8534848093986511
37,0.8855608316028819,0.8886989653110504,0.5169108124513121,0.49357208448117534,1.689,0,110,0.8534848093986511
38,0.8843706250190735,0.8932013511657715,0.5228457544190755,0.5067096081588836,1.658,0,110,0.8534848093986511
39,0.8827319390633527,0.878822922706604,0.5251233016078972,0.5118490920062954,1.693,0,110,0.8534848093986511
40,0.8826556942042183,0.8843438923358917,0.5282039372961869,0.5157508730517225,1.7,0,110,0.8534848093986511
41,0.8789954816593843,0.8892326056957245,0.5252397838443561,0.5064159238139876,1.703,0,110,0.8534848093986511
42,0.875310010769788,0.8867762088775635,0.5170988059342048,0.4968787266877696,1.669,0,110,0.8534848093986511
43,0.8733725898406085,0.8814445436000824,0.5412570743299199,0.5358208433777032,1.699,0,110,0.8534848093986511
44,0.8731171453700346,0.879045695066452,0.5435412565828437,0.5361630337122544,1.668,0,110,0.8534848093986511
45,0.8732065242879531,0.8802404701709747,0.5434441880524613,0.5330167467127157,1.686,0,110,0.8534848093986511
46,0.8653303384780884,0.8849162459373474,0.5309611750452782,0.520518664588188,1.67,0,110,0.8534848093986511
47,0.8637383860700271,0.8793978691101074,0.5242951473107103,0.5096647596093802,1.669,0,110,0.8534848093986511
48,0.8644965255961699,0.8780676424503326,0.5330190278893862,0.5239504882434761,1.692,0,110,0.8534848093986511
49,0.8639213512925541,0.8751530051231384,0.5367526030339445,0.5267775233892461,1.664,0,110,0.8534848093986511
50,0.8685995901332182,0.8776440024375916,0.5312590157005276,0.5216619522154159,1.695,0,110,0.8534848093986511
51,0.8627737444989821,0.8726053237915039,0.5322097958120459,0.5232090086233919,1.674,0,110,0.8534848093986511
52,0.8590537905693054,0.8728509545326233,0.5442595637076738,0.5375670185722786,1.665,0,110,0.8534848093986511
53,0.8614544237361235,0.8712030351161957,0.5409592336746705,0.5333364448988777,1.686,0,110,0.8534848093986511
54,0.8563423296984505,0.8841404616832733,0.5191121792745171,0.5039113344833933,1.673,0,110,0.8534848093986511
55,0.8570056382347556,0.8730585277080536,0.54332156223813,0.5317744633726821,1.702,0,110,0.8534848093986511
56,0.8538859100902781,0.883195698261261,0.5224252879494949,0.5050889855618639,1.696,0,110,0.8534848093986511
57,0.8556849676020005,0.8729621469974518,0.5422017108635658,0.5326356802041903,1.69,0,110,0.8534848093986511
