experiment_id,experiment_display_name,cv_strategy,summary_model_name,model,fold_id,suite_run_dir,trainer_run_dir,history_path,history_kind,epoch,train_loss,val_loss,val_balanced_accuracy,val_macro_f1,epoch_runtime_seconds,is_best_epoch,best_epoch,best_val_loss,test_loss
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,GNN,GNN_v1,s_P1,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_13-24-41,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_13-24-41/multiclass_table6_arousal_3class_emotion-elicitation_2026-05-18_13-25-17,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_13-24-41/multiclass_table6_arousal_3class_emotion-elicitation_2026-05-18_13-25-17/subject_loo/s_P1/gnn_training_history.csv,gnn,11.0,0.947890646317426,0.9953379333019255,0.4611790244396001,0.4086055344546934,1.72,0.0,47.0,0.9577918350696564,1.0082411766052246
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,GNN,GNN_v1,s_P1,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_13-24-41,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_13-24-41/multiclass_table6_arousal_3class_emotion-elicitation_2026-05-18_13-25-17,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_13-24-41/multiclass_table6_arousal_3class_emotion-elicitation_2026-05-18_13-25-17/subject_loo/s_P1/gnn_training_history.csv,gnn,12.0,0.9438633778515984,0.994857370853424,0.4628622938454887,0.4068055779895547,1.724,0.0,47.0,0.9577918350696564,1.0082411766052246
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,GNN,GNN_v1,s_P1,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_13-24-41,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_13-24-41/multiclass_table6_arousal_3class_emotion-elicitation_2026-05-18_13-25-17,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_13-24-41/multiclass_table6_arousal_3class_emotion-elicitation_2026-05-18_13-25-17/subject_loo/s_P1/gnn_training_history.csv,gnn,13.0,0.9407462056945352,0.9880911707878112,0.4663803154060542,0.4290622023124075,1.725,0.0,47.0,0.9577918350696564,1.0082411766052246
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,GNN,GNN_v1,s_P1,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_13-24-41,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_13-24-41/multiclass_table6_arousal_3class_emotion-elicitation_2026-05-18_13-25-17,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_13-24-41/multiclass_table6_arousal_3class_emotion-elicitation_2026-05-18_13-25-17/subject_loo/s_P1/gnn_training_history.csv,gnn,14.0,0.9371653830303864,0.9891144037246704,0.4667345416693495,0.4187416688749167,1.735,0.0,47.0,0.9577918350696564,1.0082411766052246
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,GNN,GNN_v1,s_P1,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_13-24-41,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_13-24-41/multiclass_table6_arousal_3class_emotion-elicitation_2026-05-18_13-25-17,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_13-24-41/multiclass_table6_arousal_3class_emotion-elicitation_2026-05-18_13-25-17/subject_loo/s_P1/gnn_training_history.csv,gnn,15.0,0.930310112588546,0.9868348240852356,0.4575179518075983,0.4109392975158168,1.726,0.0,47.0,0.9577918350696564,1.0082411766052246
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,GNN,GNN_v1,s_P1,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_13-24-41,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_13-24-41/multiclass_table6_arousal_3class_emotion-elicitation_2026-05-18_13-25-17,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_13-24-41/multiclass_table6_arousal_3class_emotion-elicitation_2026-05-18_13-25-17/subject_loo/s_P1/gnn_training_history.csv,gnn,16.0,0.9287867546081544,0.9810233116149902,0.4634552898810673,0.4230787007261412,1.69,0.0,47.0,0.9577918350696564,1.0082411766052246
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,GNN,GNN_v1,s_P1,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_13-24-41,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_13-24-41/multiclass_table6_arousal_3class_emotion-elicitation_2026-05-18_13-25-17,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_13-24-41/multiclass_table6_arousal_3class_emotion-elicitation_2026-05-18_13-25-17/subject_loo/s_P1/gnn_training_history.csv,gnn,17.0,0.92552168229047,0.979900360107422,0.4590033642392634,0.4217734913937445,1.733,0.0,47.0,0.9577918350696564,1.0082411766052246
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,GNN,GNN_v1,s_P1,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_13-24-41,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_13-24-41/multiclass_table6_arousal_3class_emotion-elicitation_2026-05-18_13-25-17,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_13-24-41/multiclass_table6_arousal_3class_emotion-elicitation_2026-05-18_13-25-17/subject_loo/s_P1/gnn_training_history.csv,gnn,18.0,0.9214100627338184,0.9854894280433656,0.4546894114995815,0.4093416153578837,1.715,0.0,47.0,0.9577918350696564,1.0082411766052246
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,GNN,GNN_v1,s_P1,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_13-24-41,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_13-24-41/multiclass_table6_arousal_3class_emotion-elicitation_2026-05-18_13-25-17,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_13-24-41/multiclass_table6_arousal_3class_emotion-elicitation_2026-05-18_13-25-17/subject_loo/s_P1/gnn_training_history.csv,gnn,19.0,0.918072875808267,0.9789211750030518,0.4524264642757496,0.4193557878781124,1.733,0.0,47.0,0.9577918350696564,1.0082411766052246
multiclass_table6_arousal_3class,Table-6 Arousal,subject_loo,GNN,GNN_v1,s_P1,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_13-24-41,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_13-24-41/multiclass_table6_arousal_3class_emotion-elicitation_2026-05-18_13-25-17,results/quick_v1_v2_comparison/2026-05-18_13-24-39/model_runs/2026-05-18_13-24-41/multiclass_table6_arousal_3class_emotion-elicitation_2026-05-18_13-25-17/subject_loo/s_P1/gnn_training_history.csv,gnn,20.0,0.9132173587294186,0.9758748412132264,0.4642553410843443,0.4319385617981729,1.707,0.0,47.0,0.9577918350696564,1.0082411766052246
