model,metric_type,accuracy,balanced_accuracy,f1,precision,recall,auc
Mean,aggregated,0.40418455716894985,0.5,0.4616099383667535,0.3963427020447114,0.75,0.5
Mean,emotion_emotion-valence,0.40418455716894985,0.5,0.4616099383667535,0.3963427020447114,0.75,0.5
SVM,aggregated,0.5885947274566227,0.5234712176270844,0.5225168337657398,0.5465999077882563,0.5853094950593418,0.5416264685189918
SVM,emotion_emotion-valence,0.5885947274566227,0.5234712176270844,0.5225168337657398,0.5465999077882563,0.5853094950593418,0.5416264685189918
LightGBM,aggregated,0.5900409817387244,0.5081767803642083,0.524885979563109,0.5443594593229225,0.5969089849663083,0.5392989738547329
LightGBM,emotion_emotion-valence,0.5900409817387244,0.5081767803642083,0.524885979563109,0.5443594593229225,0.5969089849663083,0.5392989738547329
MLP,aggregated,0.5887209578962396,0.5104296055392423,0.516006180576988,0.5445913886835593,0.5661167427702407,0.5217224634144699
MLP,emotion_emotion-valence,0.5887209578962396,0.5104296055392423,0.516006180576988,0.5445913886835593,0.5661167427702407,0.5217224634144699
GNN,aggregated,0.585359297375678,0.5117730659403836,0.5428621238382664,0.5457865641451585,0.6519052384518075,0.5181417614211874
GNN,emotion_emotion-valence,0.585359297375678,0.5117730659403836,0.5428621238382664,0.5457865641451585,0.6519052384518075,0.5181417614211874
