split,logit_mean,logit_std,logit_min,logit_max,logit_range,prediction_entropy_mean,prediction_entropy_std,prediction_entropy_min,prediction_entropy_max,graph_embedding_variance,graph_embedding_mean_pairwise_cosine_similarity,graph_embedding_pair_count,temporal_forward_edge_weight_mean,temporal_forward_edge_weight_std,temporal_forward_edge_weight_min,temporal_forward_edge_weight_max,temporal_backward_edge_weight_mean,temporal_backward_edge_weight_std,temporal_backward_edge_weight_min,temporal_backward_edge_weight_max,spatial_edge_weight_mean,spatial_edge_weight_std,spatial_edge_weight_min,spatial_edge_weight_max,fixation_edge_weight_mean,fixation_edge_weight_std,fixation_edge_weight_min,fixation_edge_weight_max,best_epoch,best_val_loss,early_stopped
train,0.05320838838815689,0.6888198852539062,-1.5982805490493774,2.5694739818573,4.167754530906677,0.90572190284729,0.16235056519508362,0.2597019672393799,1.0985586643218994,0.45342278480529785,0.2717982828617096,10000,-0.9999998807907104,5.8927774659878196e-08,-1.0,-0.9999998807907104,-0.9999998807907104,2.0289096624992453e-08,-1.0,-0.9999998807907104,0.678274393081665,0.2798173725605011,0.11104542016983032,1.0,-0.1691007763147354,0.02410556934773922,-1.0,-0.15748697519302368,36,0.9241425395011902,1
val,0.09654585272073746,0.6066213846206665,-1.1781339645385742,2.4664900302886963,3.6446239948272705,0.9368643760681152,0.15028628706932068,0.28295189142227173,1.0978691577911377,0.3225579857826233,0.518462598323822,96580,-0.9999999403953552,7.800744938890602e-09,-1.0,-0.9999998807907104,-0.9999999403953552,5.7150558063767676e-08,-0.9999999403953552,-0.9999998807907104,0.6557819247245789,0.28985923528671265,0.08413583785295486,1.0,-0.16884346306324005,0.0218296330422163,-1.0,-0.1612200140953064,36,0.9241425395011902,1
test,0.05724463611841202,0.6579819917678833,-1.4761784076690674,2.476640224456787,3.9528186321258545,0.9268162250518799,0.17938843369483948,0.2724791467189789,1.0962895154953003,0.3279910087585449,0.4624703526496887,23871,-0.9999999403953552,7.552095837581874e-09,-0.9999999403953552,-0.9999998807907104,-0.9999999403953552,5.721760132360032e-08,-1.0,-0.9999998807907104,0.6568580269813538,0.29062798619270325,0.11099909245967865,1.0,-0.16977348923683167,0.02710101194679737,-1.0,-0.15905311703681946,36,0.9241425395011902,1
