epoch,train_loss,val_loss,val_balanced_accuracy,val_macro_f1,epoch_runtime_seconds,is_best_epoch,best_epoch,best_val_loss
1,1.092473920653848,1.0001440048217773,0.40212584736369256,0.3865833705191135,1.827,0,33,0.7512075006961823
2,1.0535328107721664,0.9963672161102295,0.41995402942583454,0.38808631649381065,1.826,0,33,0.7512075006961823
3,1.0415947647655712,0.9562336802482605,0.413087612447058,0.42037229348127775,1.824,0,33,0.7512075006961823
4,1.0326134001507479,0.9581888914108276,0.4193064743836559,0.4283605551721494,1.821,0,33,0.7512075006961823
5,1.0255119064274956,0.9334993660449982,0.4499107424131051,0.4558523237768521,1.819,0,33,0.7512075006961823
6,1.0138609514516943,0.916727215051651,0.4586498185679116,0.46574940211303845,1.827,0,33,0.7512075006961823
7,1.0083710060400122,0.9267559051513672,0.44677214229876205,0.4518597859621177,1.829,0,33,0.7512075006961823
8,1.0028905588037826,0.9003672301769257,0.46614045527203146,0.47209082308420064,1.827,0,33,0.7512075006961823
9,0.9969044327735901,0.902562141418457,0.46517787345257683,0.4674925935900889,1.827,0,33,0.7512075006961823
10,0.9882123680675731,0.8678000271320343,0.48238183578937543,0.48329609976547977,1.821,0,33,0.7512075006961823
11,0.9824591629645404,0.8844642639160156,0.47422614255545054,0.4734227871939736,1.817,0,33,0.7512075006961823
12,0.97979596081902,0.8564457893371582,0.48329774697515954,0.48259445726406075,1.818,0,33,0.7512075006961823
13,0.9689251254586613,0.8349567353725433,0.4823935034477931,0.4820812951316096,1.824,0,33,0.7512075006961823
14,0.9614265315672931,0.8437661230564117,0.48517623998039827,0.48462378269793444,1.836,0,33,0.7512075006961823
15,0.9590494176920723,0.8199581503868103,0.4883148400947414,0.4878217660475725,1.826,0,33,0.7512075006961823
16,0.954866489943336,0.8179846107959747,0.4842719964530318,0.4845014057764632,1.827,0,33,0.7512075006961823
17,0.9492459472487954,0.8018657267093658,0.4851879076388159,0.48252798606966896,1.822,0,33,0.7512075006961823
18,0.9475873533417197,0.8242343068122864,0.4830002216855099,0.48197601834915654,1.823,0,33,0.7512075006961823
19,0.9441747104420382,0.7939637303352356,0.49016999778314485,0.48648648648648646,1.828,0,33,0.7512075006961823
20,0.9384161198840422,0.7953912019729614,0.48675720769598757,0.4853375068834594,1.829,0,33,0.7512075006961823
21,0.9329325872309068,0.7978209257125854,0.48237016813095784,0.4798700454840805,1.826,0,33,0.7512075006961823
22,0.9331700521356919,0.8095689415931702,0.4814309216283384,0.4786045102367658,1.826,0,33,0.7512075006961823
23,0.9263141681166256,0.7913078367710114,0.4820726428413082,0.4806841827655961,1.827,0,33,0.7512075006961823
24,0.9240564493572011,0.7751196920871735,0.48892155833245826,0.48371880532236883,1.818,0,33,0.7512075006961823
25,0.9206344029482674,0.7904207706451416,0.4786365174373155,0.47679182072245657,1.82,0,33,0.7512075006961823
26,0.9196356219403884,0.7769209742546082,0.4873522582752868,0.4817487199909789,1.826,0,33,0.7512075006961823
27,0.9190690271994647,0.7825939357280731,0.4827026963958603,0.4817541139268074,1.828,0,33,0.7512075006961823
28,0.9186202077304616,0.7909375727176666,0.4792432356750324,0.47648683632665323,1.826,0,33,0.7512075006961823
29,0.915449791094836,0.7636722028255463,0.48304689231918047,0.48272174613638025,2.024,0,33,0.7512075006961823
30,0.911113135954913,0.7816002368927002,0.4851645723219807,0.47907647907647916,1.827,0,33,0.7512075006961823
31,0.9093875920071322,0.7724146842956543,0.4914067695754139,0.48643635520519357,1.829,0,33,0.7512075006961823
32,0.9082164764404297,0.7624684572219849,0.48177511755165864,0.47983921726938483,1.817,0,33,0.7512075006961823
33,0.9055943524136263,0.7512075006961823,0.48895656130771115,0.4866478206180404,1.826,1,33,0.7512075006961823
34,0.9004649344612571,0.7709899544715881,0.4842603287946143,0.4822815007590544,1.828,0,33,0.7512075006961823
35,0.8983325116774615,0.7673596739768982,0.4861154864830177,0.48147893772893774,1.832,0,33,0.7512075006961823
36,0.8911011113839991,0.7539802491664886,0.4830352246607628,0.481411759237471,1.826,0,33,0.7512075006961823
37,0.8969691045144025,0.7663606107234955,0.4795757639399349,0.47615024040879556,1.825,0,33,0.7512075006961823
38,0.8926820088835323,0.7670239508152008,0.48269102873744263,0.47938924712631287,1.821,0,33,0.7512075006961823
39,0.8887086019796484,0.7713727056980133,0.4773997456450465,0.4748449573840083,1.818,0,33,0.7512075006961823
40,0.8901844760950874,0.7802588045597076,0.4692673877279569,0.465752636183635,1.826,0,33,0.7512075006961823
41,0.8842817264444688,0.7560617625713348,0.4755329202982253,0.47186930243909436,1.828,0,33,0.7512075006961823
42,0.8880871744716868,0.7771932184696198,0.4739636202410538,0.47186561699804597,1.827,0,33,0.7512075006961823
43,0.889334194800433,0.7788861989974976,0.47984995391274926,0.4724348459996355,1.825,0,33,0.7512075006961823
44,0.881045401096344,0.7668464779853821,0.4724059878422999,0.47046156469811207,1.825,0,33,0.7512075006961823
45,0.8816987907185274,0.7718755304813385,0.4733452343449193,0.4711947527574883,1.822,0,33,0.7512075006961823
46,0.8819741256096784,0.7778104543685913,0.4742611455307035,0.4711044295549421,1.819,0,33,0.7512075006961823
47,0.8778881570872139,0.7612036764621735,0.47241765550071757,0.4707542908762421,1.822,0,33,0.7512075006961823
48,0.8780094805885764,0.7718809247016907,0.4736310919761513,0.46796759100764573,1.826,0,33,0.7512075006961823
49,0.8751635235898635,0.8033108413219452,0.4626926622096212,0.45737683896892395,1.827,0,33,0.7512075006961823
