epoch,train_loss,val_loss,val_balanced_accuracy,val_macro_f1,epoch_runtime_seconds,learning_rate,grad_norm_mean,grad_norm_max,is_best_epoch,best_epoch,best_val_loss,early_stopped
1,1.1271491471458883,1.094217836856842,0.3477863550008417,0.2623166427334827,1.143,5e-05,0.06188940454345002,0.32122695446014404,0,3,1.0796303153038025,1
2,1.10230071404401,1.0835030674934387,0.39709398216585345,0.32795336271215775,1.129,5e-05,0.05408614387369819,0.2616347074508667,0,3,1.0796303153038025,1
3,1.083259007510017,1.0796303153038025,0.41600675095188455,0.3485804479984682,1.126,5e-05,0.04753607189618522,0.23722109198570251,1,3,1.0796303153038025,1
4,1.0671436997020947,1.082414150238037,0.39860805598312554,0.32034017137468657,1.124,5e-05,0.043125240405604275,0.2222348004579544,0,3,1.0796303153038025,1
5,1.0538776832468368,1.088428556919098,0.3957787505767958,0.31329622433862175,1.144,5e-05,0.041193014277585836,0.2124352604150772,0,3,1.0796303153038025,1
6,1.0431575003792257,1.0993756651878357,0.38475519245329187,0.2959067724047257,1.149,5e-05,0.037141547510586105,0.20743262767791748,0,3,1.0796303153038025,1
7,1.0356584226383883,1.1096019744873047,0.38125745759229507,0.29209608512106305,1.123,5e-05,0.034235832671201186,0.17479674518108368,0,3,1.0796303153038025,1
8,1.0294851625666899,1.120132029056549,0.37726544162423115,0.28764307981560683,1.21,5e-05,0.03386992271657722,0.16491374373435974,0,3,1.0796303153038025,1
9,1.0256581727196188,1.1277100443840027,0.3752934819291634,0.289302282853337,1.187,5e-05,0.031511190124765394,0.18493126332759857,0,3,1.0796303153038025,1
10,1.0203256326563217,1.1336411237716675,0.388053035999643,0.30815579975636576,1.161,5e-05,0.03401120704140701,0.1860344409942627,0,3,1.0796303153038025,1
11,1.016105623806224,1.1393795013427734,0.3925273089302917,0.31082753903240906,1.121,5e-05,0.03559878538728126,0.19993114471435547,0,3,1.0796303153038025,1
12,1.012351362144246,1.1428290605545044,0.396362365428438,0.3248575008816161,1.166,5e-05,0.034528707145008455,0.23876626789569855,0,3,1.0796303153038025,1
13,1.0096016491160673,1.144334852695465,0.3979121888833314,0.3322219524573437,1.128,5e-05,0.03416257539122841,0.16816766560077667,0,3,1.0796303153038025,1
14,1.0036551777054281,1.1460537910461426,0.4102135342801903,0.3503426791277258,1.164,5e-05,0.036399521891651125,0.19982731342315674,0,3,1.0796303153038025,1
15,0.9991607245276956,1.1451797485351562,0.4142175743927363,0.35606475514460945,1.134,5e-05,0.034037851994828616,0.18467366695404053,0,3,1.0796303153038025,1
16,0.9961908214232501,1.146118700504303,0.40999645408786217,0.352321314664292,1.175,5e-05,0.038749651040007965,0.24462975561618805,0,3,1.0796303153038025,1
17,0.9887284776743721,1.1495909094810486,0.4120405586498226,0.35592952128385197,1.151,5e-05,0.04165234942784864,0.22531411051750183,0,3,1.0796303153038025,1
18,0.9859445130123812,1.148935317993164,0.4018314143928525,0.34216517183476486,1.129,5e-05,0.04273237177634104,0.27039748430252075,0,3,1.0796303153038025,1
19,0.979647324365728,1.1510748267173767,0.4018314143928525,0.3424081633895601,1.124,5e-05,0.03976556647952689,0.2769988775253296,0,3,1.0796303153038025,1
20,0.975657087915084,1.1447245478630066,0.4020845670186271,0.3400813087774295,1.138,5e-05,0.04615941609056984,0.2912907302379608,0,3,1.0796303153038025,1
21,0.9704647064208984,1.1490456461906433,0.4020845670186271,0.3402333267299509,1.119,5e-05,0.043721627876849564,0.2673441767692566,0,3,1.0796303153038025,1
22,0.9649064610986149,1.149338185787201,0.40632973561246555,0.3442572190706579,1.114,5e-05,0.04941501737459261,0.41308021545410156,0,3,1.0796303153038025,1
23,0.9607827873790965,1.1547077298164368,0.4143137675485933,0.3565285267039653,1.114,5e-05,0.04583702187034567,0.2838708162307739,0,3,1.0796303153038025,1
