model,metric_type,accuracy,precision,recall,f1,auc
Mean,aggregated,0.5625442503255368,0.5625442503255368,0.95,0.6563140861226902,0.45
Mean,emotion_emotion-control,0.5625442503255368,0.5625442503255368,0.95,0.6563140861226902,0.45
SVM,aggregated,0.5966384549952041,0.6115201562713252,0.7348817773728357,0.606596700932281,0.6281502193435232
SVM,emotion_emotion-control,0.5966384549952041,0.6115201562713252,0.7348817773728357,0.606596700932281,0.6281502193435232
LightGBM,aggregated,0.5830423901008979,0.6121563953425613,0.728464037587044,0.6011581546876699,0.6595361196945538
LightGBM,emotion_emotion-control,0.5830423901008979,0.6121563953425613,0.728464037587044,0.6011581546876699,0.6595361196945538
MLP,aggregated,0.6150245000915348,0.6371181610464681,0.6743801315176835,0.5990103886139859,0.6745340237197757
MLP,emotion_emotion-control,0.6150245000915348,0.6371181610464681,0.6743801315176835,0.5990103886139859,0.6745340237197757
GNN,aggregated,0.6470648705008718,0.6361813444555418,0.771199892418301,0.6349287261755835,0.7127261734123173
GNN,emotion_emotion-control,0.6470648705008718,0.6361813444555418,0.771199892418301,0.6349287261755835,0.7127261734123173
