epoch,train_loss,val_loss,val_balanced_accuracy,val_macro_f1,epoch_runtime_seconds,learning_rate,grad_norm_mean,grad_norm_max,is_best_epoch,best_epoch,best_val_loss,early_stopped
1,1.0743742339751299,1.0293983221054077,0.3686313161180104,0.30239317529820325,1.124,5e-05,0.0413587852372116,0.20566366612911224,0,64,0.8643318116664886,1
2,1.06402770911946,1.0059056282043457,0.3704514094224325,0.28729227761485826,1.13,5e-05,0.03587480157626298,0.23299889266490936,0,64,0.8643318116664886,1
3,1.0540302080266617,0.989007294178009,0.37972928576121956,0.29158457641429775,1.153,5e-05,0.031241697451237106,0.16367585957050323,0,64,0.8643318116664886,1
4,1.0471198558807373,0.9744064807891846,0.37348708850778634,0.28108828914895306,1.141,5e-05,0.02782303057450325,0.17606286704540253,0,64,0.8643318116664886,1
5,1.043693514431224,0.9610729217529297,0.37972928576121956,0.2915959978437792,1.15,5e-05,0.028883144053306175,0.2024170160293579,0,64,0.8643318116664886,1
6,1.0399336955126595,0.9558416604995728,0.3844864971417308,0.2957750883447478,1.18,5e-05,0.026173431398944243,0.1584448516368866,0,64,0.8643318116664886,1
7,1.0398412942886353,0.9443406760692596,0.39720743807083253,0.31963333639100916,1.16,5e-05,0.026593415429780422,0.17327721416950226,0,64,0.8643318116664886,1
8,1.0360364142586203,0.9411880075931549,0.40419212826072676,0.33185975342627244,1.16,5e-05,0.02544627788724259,0.1456049084663391,0,64,0.8643318116664886,1
9,1.0355374041725607,0.9393576979637146,0.4004468099086668,0.32618901425026225,1.235,5e-05,0.027372890869360966,0.17757926881313324,0,64,0.8643318116664886,1
10,1.0357524296816658,0.9407739341259003,0.3984558775215192,0.32156862745098036,1.177,5e-05,0.03062960877352814,0.2516377568244934,0,64,0.8643318116664886,1
11,1.0316998467725866,0.9342558979988098,0.4124252579013075,0.34540854003208926,1.157,5e-05,0.029966965958109177,0.19233621656894684,0,64,0.8643318116664886,1
12,1.03307465244742,0.9352817535400391,0.41043432551415987,0.34105587785487684,1.159,5e-05,0.027201386298265913,0.17055535316467285,0,64,0.8643318116664886,1
13,1.0325279025470508,0.9310369193553925,0.41215585780931735,0.3489677243101901,1.136,5e-05,0.029729136053955538,0.21721495687961578,0,64,0.8643318116664886,1
14,1.028940639075111,0.9287918508052826,0.4126289506537881,0.3546280193236715,1.126,5e-05,0.029525322355922933,0.21603700518608093,0,64,0.8643318116664886,1
15,1.0267207131666296,0.9318153858184814,0.41289835074577824,0.35129986553115194,1.176,5e-05,0.02900168815797181,0.17174308001995087,0,64,0.8643318116664886,1
16,1.0265114798265345,0.9282962083816528,0.4163742690058479,0.35976369309702644,1.114,5e-05,0.027105689850307653,0.16897757351398468,0,64,0.8643318116664886,1
17,1.0266236066818237,0.9251284897327423,0.42086208029436895,0.36696358460934436,1.121,5e-05,0.025684263760461554,0.16130943596363068,0,64,0.8643318116664886,1
18,1.023266027955448,0.926261693239212,0.41688021552007354,0.3592804013146515,1.105,5e-05,0.027721925940387252,0.18289028108119965,0,64,0.8643318116664886,1
19,1.0231575895758236,0.9213593602180481,0.4265983310335765,0.37563118893042163,1.11,5e-05,0.029121070121388228,0.2029295265674591,0,64,0.8643318116664886,1
