model,metric_type,accuracy,balanced_accuracy,f1,precision,recall,auc
Mean,aggregated,0.5732066105269837,0.5,0.6865809672871273,0.5732066105269837,0.95,0.5
Mean,emotion_emotion-arousal,0.5732066105269837,0.5,0.6865809672871273,0.5732066105269837,0.95,0.5
SVM,aggregated,0.5671128142798894,0.521926035669968,0.6298428200277251,0.5832708018260936,0.7516610125710709,0.5453853778056151
SVM,emotion_emotion-arousal,0.5671128142798894,0.521926035669968,0.6298428200277251,0.5832708018260936,0.7516610125710709,0.5453853778056151
LightGBM,aggregated,0.5542315841150318,0.5220320558289684,0.6030119832514911,0.5853363746710772,0.683399149274641,0.5444725045893091
LightGBM,emotion_emotion-arousal,0.5542315841150318,0.5220320558289684,0.6030119832514911,0.5853363746710772,0.683399149274641,0.5444725045893091
MLP,aggregated,0.5453314057064823,0.5176394837401034,0.5762984725140341,0.5908348962196789,0.6137835290655019,0.5335505465165084
MLP,emotion_emotion-arousal,0.5453314057064823,0.5176394837401034,0.5762984725140341,0.5908348962196789,0.6137835290655019,0.5335505465165084
GNN,aggregated,0.5210647876813594,0.49583698581938457,0.570993562300562,0.5768193632170652,0.6375302802346142,0.5101561980140322
GNN,emotion_emotion-arousal,0.5210647876813594,0.49583698581938457,0.570993562300562,0.5768193632170652,0.6375302802346142,0.5101561980140322
