epoch,train_loss,val_loss
1.0,0.6762699764524669,0.6514227390289307
2.0,0.6485580954029366,0.6987764239311218
3.0,0.6320515199811214,0.6644189953804016
4.0,0.6207408844371567,0.6540820002555847
5.0,0.5989870414717038,0.715312659740448
6.0,0.5955262559041539,0.6492522954940796
7.0,0.5726483498361001,0.6182867884635925
8.0,0.571454074862989,0.6143791675567627
9.0,0.5516550759123408,0.6688986420631409
10.0,0.5502324032278028,0.640977680683136
11.0,0.5284070752324148,0.6680483818054199
12.0,0.49513475663249146,0.6690355539321899
13.0,0.49438625481440407,0.6828561425209045
14.0,0.48439724651747795,0.7208167314529419
15.0,0.47606119262877283,0.6991551518440247
16.0,0.4648649245605873,0.7486832737922668
17.0,0.4439873462431001,0.7483053803443909
18.0,0.42748788704720486,0.7621762156486511
19.0,0.41818391834467966,0.7533338069915771
20.0,0.3879566330581166,0.8430516719818115
21.0,0.38473896148348025,0.7846223711967468
22.0,0.38890263533002495,0.7932581901550293
23.0,0.4003100870565475,0.7523149251937866
