epoch,train_loss,val_loss
1.0,0.6598928913637716,0.5916041731834412
2.0,0.6238665328437962,0.5530073046684265
3.0,0.6150031304933735,0.5473498702049255
4.0,0.6029208605482863,0.5425559282302856
5.0,0.5945485125312643,0.5466590523719788
6.0,0.5893672049531183,0.5483688116073608
7.0,0.5869951067011364,0.5380354523658752
8.0,0.5775724000175751,0.5258520245552063
9.0,0.5757161953159566,0.5371472835540771
10.0,0.5697037683409915,0.5313779711723328
11.0,0.560050477953697,0.512516975402832
12.0,0.5538262667235355,0.514097273349762
13.0,0.5562295125935292,0.5152211785316467
14.0,0.5464388262579469,0.4908659756183624
15.0,0.5535673168040826,0.4890904724597931
16.0,0.553315926592611,0.4943790137767792
17.0,0.5397958172537357,0.49381399154663086
18.0,0.5332309083021409,0.4870004653930664
19.0,0.5373679847528104,0.5036929845809937
20.0,0.5297636952418788,0.4874541163444519
21.0,0.5309472818599286,0.46865448355674744
22.0,0.521927091940641,0.49178385734558105
23.0,0.5318292509546696,0.4729437232017517
24.0,0.5214213576673237,0.46883952617645264
25.0,0.5153535380035776,0.5051489472389221
26.0,0.5218818309118762,0.48089659214019775
27.0,0.5194939192077009,0.4949902296066284
28.0,0.5080379992776249,0.47316887974739075
29.0,0.5122570238909822,0.47016048431396484
30.0,0.5032350352542687,0.4815239906311035
31.0,0.5064639470127935,0.46264180541038513
32.0,0.5035066608414767,0.4371349513530731
33.0,0.5051217850877003,0.47180068492889404
34.0,0.4989059966082612,0.47533950209617615
35.0,0.4947462563729227,0.49678903818130493
36.0,0.4942583951847037,0.4710274338722229
37.0,0.49269808601328047,0.4774214029312134
38.0,0.4851587254909011,0.45491668581962585
39.0,0.4976748440373759,0.485883891582489
40.0,0.4867274346944503,0.4646401107311249
41.0,0.4811710271056645,0.49157166481018066
42.0,0.48674862684825193,0.4879356920719147
43.0,0.4784830727139729,0.46932342648506165
44.0,0.4810496944507892,0.4624710977077484
45.0,0.4752472691974275,0.45770955085754395
46.0,0.4712025131047131,0.4461861550807953
47.0,0.46871888388926114,0.4698527157306671
