model,metric_type,accuracy,precision,recall,f1,auc
Mean,aggregated,0.533332359874424,0.533332359874424,1.0,0.6910794817223532,0.5
Mean,emotion_emotion-valence,0.533332359874424,0.533332359874424,1.0,0.6910794817223532,0.5
SVM,aggregated,0.6396948008392639,0.6616860667972732,0.767246336946268,0.6737779998158467,0.6942849045106833
SVM,emotion_emotion-valence,0.6396948008392639,0.6616860667972732,0.767246336946268,0.6737779998158467,0.6942849045106833
LightGBM,aggregated,0.6275957039977521,0.6524802716602155,0.7286082718808946,0.6584603227650302,0.7022048106556174
LightGBM,emotion_emotion-valence,0.6275957039977521,0.6524802716602155,0.7286082718808946,0.6584603227650302,0.7022048106556174
MLP,aggregated,0.6094401318344748,0.6176350653710144,0.6994192803357305,0.6361681584849649,0.669571925742687
MLP,emotion_emotion-valence,0.6094401318344748,0.6176350653710144,0.6994192803357305,0.6361681584849649,0.669571925742687
GNN,aggregated,0.6426272820480952,0.7017527968389118,0.6952438723296414,0.6455509361795998,0.7381718444092517
GNN,emotion_emotion-valence,0.6426272820480952,0.7017527968389118,0.6952438723296414,0.6455509361795998,0.7381718444092517
