split,logit_mean,logit_std,logit_min,logit_max,logit_range,prediction_entropy_mean,prediction_entropy_std,prediction_entropy_min,prediction_entropy_max,graph_embedding_variance,graph_embedding_mean_pairwise_cosine_similarity,graph_embedding_pair_count,temporal_forward_edge_weight_mean,temporal_forward_edge_weight_std,temporal_forward_edge_weight_min,temporal_forward_edge_weight_max,temporal_backward_edge_weight_mean,temporal_backward_edge_weight_std,temporal_backward_edge_weight_min,temporal_backward_edge_weight_max,spatial_edge_weight_mean,spatial_edge_weight_std,spatial_edge_weight_min,spatial_edge_weight_max,fixation_edge_weight_mean,fixation_edge_weight_std,fixation_edge_weight_min,fixation_edge_weight_max,best_epoch,best_val_loss,early_stopped
train,-0.1479431539773941,0.6146735548973083,-1.9972573518753052,2.299682855606079,4.296940207481384,0.9433409571647644,0.13943099975585938,0.18712374567985535,1.0986104011535645,0.4100094139575958,0.27109846472740173,10000,,,,,,,,,,,,,,,,,54,0.9309990704059601,1
val,-0.08533062040805817,0.6600407958030701,-1.588354468345642,2.033906936645508,3.62226140499115,0.9011709094047546,0.16643990576267242,0.37974387407302856,1.097571611404419,0.4102279841899872,0.2761894166469574,97461,,,,,,,,,,,,,,,,,54,0.9309990704059601,1
test,-0.06924407929182053,0.8093770742416382,-1.6524752378463745,2.0401954650878906,3.692670702934265,0.8209055662155151,0.18349209427833557,0.3627989888191223,1.0915560722351074,0.273698091506958,0.49885085225105286,23871,,,,,,,,,,,,,,,,,54,0.9309990704059601,1
