model,metric_type,accuracy,precision,recall,f1,auc
Mean,aggregated,0.24866768797895605,0.21490443429957637,0.45,0.26087826122800006,0.225
Mean,emotion_emotion-valence,0.24866768797895605,0.21490443429957637,0.45,0.26087826122800006,0.225
SVM,aggregated,0.5327120194149317,0.537030072560506,0.5075093952201559,0.46930381151614514,0.26643187877267455
SVM,emotion_emotion-valence,0.5327120194149317,0.537030072560506,0.5075093952201559,0.46930381151614514,0.26643187877267455
LightGBM,aggregated,0.5716463053021437,0.5475259568299629,0.5202356977392272,0.48751903983693917,0.2739773786177165
LightGBM,emotion_emotion-valence,0.5716463053021437,0.5475259568299629,0.5202356977392272,0.48751903983693917,0.2739773786177165
MLP,aggregated,0.5554503928566227,0.5360502665426207,0.4887181813412721,0.4685228429652558,0.27102293413497197
MLP,emotion_emotion-valence,0.5554503928566227,0.5360502665426207,0.4887181813412721,0.4685228429652558,0.27102293413497197
GNN,aggregated,0.5734226965892963,0.5248370300731745,0.49457177813166303,0.47873982950958005,0.2553269871684998
GNN,emotion_emotion-valence,0.5734226965892963,0.5248370300731745,0.49457177813166303,0.47873982950958005,0.2553269871684998
