model,metric_type,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,macro_auc_ovr,weighted_precision,weighted_recall,weighted_f1,weighted_auc_ovr,loss,suite_experiment_id,experiment_id,scope,task_type,experiment_group,strategy,trainer_run_dir,label_entropy,f1_comparable,auc_comparable
LightGBM,aggregated,0.4636207301363225,0.3933383792505016,0.3650552607522628,0.2896306603337485,0.2639165364693516,0.5323732994514607,0.7396320840804858,0.4636207301363225,0.5157528112986864,0.5372121216189399,1.087219981110659,multiclass_table6_arousal_3class_emotion-elicitation,multiclass_table6_arousal_3class,emotion-elicitation,multiclass,multiclass,recording_loo,results/quick_v1_v2_comparison/2026-06-03_09-24-45/model_runs/2026-06-03_09-24-48/multiclass_table6_arousal_3class_emotion-elicitation_2026-06-03_09-25-46,1.4910515041395802,0.2639165364693516,0.5323732994514607
SVM,aggregated,0.4822055712268699,0.4008374527005743,0.3543234769450629,0.2916935657619522,0.272539108087701,0.5236061285290724,0.7451297077059823,0.4822055712268699,0.5345088978264045,0.53407251067933,1.080440397660038,multiclass_table6_arousal_3class_emotion-elicitation,multiclass_table6_arousal_3class,emotion-elicitation,multiclass,multiclass,recording_loo,results/quick_v1_v2_comparison/2026-06-03_09-24-45/model_runs/2026-06-03_09-24-48/multiclass_table6_arousal_3class_emotion-elicitation_2026-06-03_09-25-46,1.4910515041395802,0.272539108087701,0.5236061285290724
MLP,aggregated,0.4388916717282723,0.3868439824552517,0.31636204602071,0.2772339185011518,0.2394213522497353,0.509885042545604,0.6688687387970986,0.4388916717282723,0.4707994556133805,0.5246433323614618,1.118193361417006,multiclass_table6_arousal_3class_emotion-elicitation,multiclass_table6_arousal_3class,emotion-elicitation,multiclass,multiclass,recording_loo,results/quick_v1_v2_comparison/2026-06-03_09-24-45/model_runs/2026-06-03_09-24-48/multiclass_table6_arousal_3class_emotion-elicitation_2026-06-03_09-25-46,1.4910515041395802,0.2394213522497353,0.509885042545604
GazeMAE_MLP,aggregated,0.4650804864976144,0.3967536229402278,0.3337460589728199,0.2891806834188949,0.2550950449033196,0.5303866855228082,0.6933251988618372,0.4650804864976144,0.5028821277284974,0.5234520191971618,1.113267215774417,multiclass_table6_arousal_3class_emotion-elicitation,multiclass_table6_arousal_3class,emotion-elicitation,multiclass,multiclass,recording_loo,results/quick_v1_v2_comparison/2026-06-03_09-24-45/model_runs/2026-06-03_09-24-48/multiclass_table6_arousal_3class_emotion-elicitation_2026-06-03_09-25-46,1.4910515041395802,0.2550950449033196,0.5303866855228082
LightGBM,aggregated,0.5676968009725193,0.4974280954016787,0.5503071910246803,0.4974280954016787,0.4725454550397417,0.7221997998764214,0.5946690798112637,0.5676968009725193,0.5423706429414925,0.7218662067375853,0.9337043830366142,multiclass_table6_arousal_3class_emotion-elicitation,multiclass_table6_arousal_3class,emotion-elicitation,multiclass,multiclass,subject_loo,results/quick_v1_v2_comparison/2026-06-03_09-24-45/model_runs/2026-06-03_09-24-48/multiclass_table6_arousal_3class_emotion-elicitation_2026-06-03_09-25-46,1.4910515041395802,0.4725454550397417,0.7221997998764214
SVM,aggregated,0.5638180924680463,0.4922059349513294,0.5631924864371501,0.4922059349513294,0.4668476317579886,0.707458711615677,0.6029266256936353,0.5638180924680463,0.5351097644993594,0.7106455346707825,0.9505055827163448,multiclass_table6_arousal_3class_emotion-elicitation,multiclass_table6_arousal_3class,emotion-elicitation,multiclass,multiclass,subject_loo,results/quick_v1_v2_comparison/2026-06-03_09-24-45/model_runs/2026-06-03_09-24-48/multiclass_table6_arousal_3class_emotion-elicitation_2026-06-03_09-25-46,1.4910515041395802,0.4668476317579886,0.707458711615677
MLP,aggregated,0.5481864532717385,0.4559245547156894,0.510124600258465,0.4559245547156894,0.4112866478433709,0.6789213069872063,0.5581761166893732,0.5481864532717385,0.4933628720108833,0.6840231433546947,0.9970956174777442,multiclass_table6_arousal_3class_emotion-elicitation,multiclass_table6_arousal_3class,emotion-elicitation,multiclass,multiclass,subject_loo,results/quick_v1_v2_comparison/2026-06-03_09-24-45/model_runs/2026-06-03_09-24-48/multiclass_table6_arousal_3class_emotion-elicitation_2026-06-03_09-25-46,1.4910515041395802,0.4112866478433709,0.6789213069872063
GazeMAE_MLP,aggregated,0.5517680649228465,0.4607949995972338,0.5160299181944992,0.4607949995972338,0.4302528831406054,0.681580803882708,0.5562173713154552,0.5517680649228465,0.5118247517118228,0.6928525163400049,1.113519550239341,multiclass_table6_arousal_3class_emotion-elicitation,multiclass_table6_arousal_3class,emotion-elicitation,multiclass,multiclass,subject_loo,results/quick_v1_v2_comparison/2026-06-03_09-24-45/model_runs/2026-06-03_09-24-48/multiclass_table6_arousal_3class_emotion-elicitation_2026-06-03_09-25-46,1.4910515041395802,0.4302528831406054,0.681580803882708
LightGBM,aggregated,0.4965336394270054,0.351563950965143,0.3359448668973834,0.2705956031184285,0.276077188376692,0.5265052587372097,0.7390097892225883,0.4965336394270054,0.5821286851089739,0.526041525796997,1.028092631606164,multiclass_table6_valence_3class_emotion-elicitation,multiclass_table6_valence_3class,emotion-elicitation,multiclass,multiclass,recording_loo,results/quick_v1_v2_comparison/2026-06-03_09-24-45/model_runs/2026-06-03_09-24-48/multiclass_table6_valence_3class_emotion-elicitation_2026-06-03_09-33-29,1.57001436350328,0.276077188376692,0.5265052587372097
SVM,aggregated,0.506652262472014,0.3578434771682753,0.3457087733730893,0.2756288319494537,0.2818431337901633,0.5246884948960572,0.7440350764671564,0.506652262472014,0.588770257141892,0.5198215600251691,1.0327956916981926,multiclass_table6_valence_3class_emotion-elicitation,multiclass_table6_valence_3class,emotion-elicitation,multiclass,multiclass,recording_loo,results/quick_v1_v2_comparison/2026-06-03_09-24-45/model_runs/2026-06-03_09-24-48/multiclass_table6_valence_3class_emotion-elicitation_2026-06-03_09-33-29,1.57001436350328,0.2818431337901633,0.5246884948960572
MLP,aggregated,0.4372723880837319,0.3434728241407745,0.3371827480304567,0.2544184440605963,0.256538993473295,0.5206907817705936,0.7386548069266347,0.4372723880837318,0.5189565436367459,0.5196158045031709,1.1102161262957866,multiclass_table6_valence_3class_emotion-elicitation,multiclass_table6_valence_3class,emotion-elicitation,multiclass,multiclass,recording_loo,results/quick_v1_v2_comparison/2026-06-03_09-24-45/model_runs/2026-06-03_09-24-48/multiclass_table6_valence_3class_emotion-elicitation_2026-06-03_09-33-29,1.57001436350328,0.256538993473295,0.5206907817705936
GazeMAE_MLP,aggregated,0.4500313726686318,0.3299603609512996,0.3333574120180472,0.2488069291627398,0.256601145470028,0.5066568871422821,0.7370403987696308,0.4500313726686318,0.5412840556781289,0.5088290157180972,1.0691920041572167,multiclass_table6_valence_3class_emotion-elicitation,multiclass_table6_valence_3class,emotion-elicitation,multiclass,multiclass,recording_loo,results/quick_v1_v2_comparison/2026-06-03_09-24-45/model_runs/2026-06-03_09-24-48/multiclass_table6_valence_3class_emotion-elicitation_2026-06-03_09-33-29,1.57001436350328,0.256601145470028,0.5066568871422821
LightGBM,aggregated,0.5569092287743196,0.5524115133907318,0.6041442558097454,0.5524115133907318,0.5267759327087471,0.7603622373445416,0.6198469153377612,0.5569092287743196,0.5398028457850659,0.7613410705046394,0.9447564044328636,multiclass_table6_valence_3class_emotion-elicitation,multiclass_table6_valence_3class,emotion-elicitation,multiclass,multiclass,subject_loo,results/quick_v1_v2_comparison/2026-06-03_09-24-45/model_runs/2026-06-03_09-24-48/multiclass_table6_valence_3class_emotion-elicitation_2026-06-03_09-33-29,1.57001436350328,0.5267759327087471,0.7603622373445416
SVM,aggregated,0.5625552146365292,0.5581351688260743,0.6071665362729377,0.5581351688260743,0.5347511493454911,0.7514375871106918,0.6223874223639075,0.5625552146365292,0.5450687704797285,0.7513886865433392,0.9569566635919664,multiclass_table6_valence_3class_emotion-elicitation,multiclass_table6_valence_3class,emotion-elicitation,multiclass,multiclass,subject_loo,results/quick_v1_v2_comparison/2026-06-03_09-24-45/model_runs/2026-06-03_09-24-48/multiclass_table6_valence_3class_emotion-elicitation_2026-06-03_09-33-29,1.57001436350328,0.5347511493454911,0.7514375871106918
MLP,aggregated,0.551308659637754,0.5434820328437797,0.6114254746742692,0.5434820328437797,0.5213747580409045,0.7459025227592485,0.6239712775590781,0.551308659637754,0.5328702469588186,0.7457245587801743,1.0009707248609423,multiclass_table6_valence_3class_emotion-elicitation,multiclass_table6_valence_3class,emotion-elicitation,multiclass,multiclass,subject_loo,results/quick_v1_v2_comparison/2026-06-03_09-24-45/model_runs/2026-06-03_09-24-48/multiclass_table6_valence_3class_emotion-elicitation_2026-06-03_09-33-29,1.57001436350328,0.5213747580409045,0.7459025227592485
GazeMAE_MLP,aggregated,0.5391990041437951,0.5393854070678574,0.5816865794393288,0.5393854070678574,0.5203498099996031,0.7164164968003915,0.5940754105284728,0.5391990041437951,0.5255485610254359,0.7153350728196761,1.1285958406749812,multiclass_table6_valence_3class_emotion-elicitation,multiclass_table6_valence_3class,emotion-elicitation,multiclass,multiclass,subject_loo,results/quick_v1_v2_comparison/2026-06-03_09-24-45/model_runs/2026-06-03_09-24-48/multiclass_table6_valence_3class_emotion-elicitation_2026-06-03_09-33-29,1.57001436350328,0.5203498099996031,0.7164164968003915
