model,metric_type,accuracy,balanced_accuracy,f1,precision,recall,auc
Mean,aggregated,0.5264051037373877,0.5,0.0,0.0,0.0,0.5
Mean,emotion_tag-agree,0.5264051037373877,0.5,0.0,0.0,0.0,0.5
SVM,aggregated,0.6290388589828295,0.6514766609503126,0.35882408098624363,0.5017259116684663,0.32599308671061356,0.7380121574898448
SVM,emotion_tag-agree,0.6290388589828295,0.6514766609503126,0.35882408098624363,0.5017259116684663,0.32599308671061356,0.7380121574898448
LightGBM,aggregated,0.6204842494233397,0.6496625035792999,0.3509894794735802,0.49587718919805873,0.316800942402105,0.7225668683919586
LightGBM,emotion_tag-agree,0.6204842494233397,0.6496625035792999,0.3509894794735802,0.49587718919805873,0.316800942402105,0.7225668683919586
MLP,aggregated,0.6173762370455067,0.6352834114517019,0.36228690999954255,0.49557831675151137,0.329440188128621,0.7214037590418817
MLP,emotion_tag-agree,0.6173762370455067,0.6352834114517019,0.36228690999954255,0.49557831675151137,0.329440188128621,0.7214037590418817
GNN,aggregated,0.6187981066300821,0.6724268735299492,0.3836529483608221,0.4970480740881447,0.386424627031506,0.7751075107769816
GNN,emotion_tag-agree,0.6187981066300821,0.6724268735299492,0.3836529483608221,0.4970480740881447,0.386424627031506,0.7751075107769816
