model,metric_type,accuracy,balanced_accuracy,f1,precision,recall,auc,suite_experiment_id,experiment_id,scope,task_type,experiment_group,strategy,trainer_run_dir,label_entropy,macro_precision,macro_recall,macro_f1,macro_auc_ovr,weighted_precision,weighted_recall,weighted_f1,weighted_auc_ovr,f1_comparable,auc_comparable
Mean,aggregated,0.5734396850321224,0.5,0.6868122381592252,0.5734396850321224,1.0,0.5,binary_emotion_predictability_emotion-elicitation,binary_emotion_predictability,emotion-elicitation,binary,emotion,recording_loo,results/suite/2026-03-05_13-04-55/binary_emotion_predictability_emotion-elicitation_2026-03-05_13-21-18,0.9762541744389432,,,,,,,,,0.6868122381592252,0.5
SVM,aggregated,0.5291954948373221,0.4989480627518122,0.6281053964655803,0.5718565481918503,0.8366804453572824,0.4752711854700716,binary_emotion_predictability_emotion-elicitation,binary_emotion_predictability,emotion-elicitation,binary,emotion,recording_loo,results/suite/2026-03-05_13-04-55/binary_emotion_predictability_emotion-elicitation_2026-03-05_13-21-18,0.9762541744389432,,,,,,,,,0.6281053964655803,0.4752711854700716
LightGBM,aggregated,0.4987291526901368,0.4918027333532404,0.580872757033139,0.5654049384251104,0.7278700182587035,0.488337954841536,binary_emotion_predictability_emotion-elicitation,binary_emotion_predictability,emotion-elicitation,binary,emotion,recording_loo,results/suite/2026-03-05_13-04-55/binary_emotion_predictability_emotion-elicitation_2026-03-05_13-21-18,0.9762541744389432,,,,,,,,,0.580872757033139,0.488337954841536
MLP,aggregated,0.5230330080608738,0.500507127708438,0.5827200130973927,0.5716947075229367,0.7047825965689847,0.477960295849624,binary_emotion_predictability_emotion-elicitation,binary_emotion_predictability,emotion-elicitation,binary,emotion,recording_loo,results/suite/2026-03-05_13-04-55/binary_emotion_predictability_emotion-elicitation_2026-03-05_13-21-18,0.9762541744389432,,,,,,,,,0.5827200130973927,0.477960295849624
GNN,aggregated,0.5356345022533071,0.4891296281430499,0.6133632567976012,0.5691934754981569,0.7768375553915494,0.4768403914945666,binary_emotion_predictability_emotion-elicitation,binary_emotion_predictability,emotion-elicitation,binary,emotion,recording_loo,results/suite/2026-03-05_13-04-55/binary_emotion_predictability_emotion-elicitation_2026-03-05_13-21-18,0.9762541744389432,,,,,,,,,0.6133632567976012,0.4768403914945666
Mean,aggregated,0.5769230769230769,0.5,0.0,0.0,0.0,0.5,binary_tag_agree_image-tagging-1,binary_tag_agree,image-tagging-1,binary,tagging,recording_loo,results/suite/2026-03-05_13-04-55/binary_tag_agree_image-tagging-1_2026-03-05_13-26-41,0.9947669491824866,,,,,,,,,0.0,0.5
SVM,aggregated,0.6880827505827505,0.7524463383838383,0.3494174647743913,0.4887175324675324,0.2902192053977768,0.841903409090909,binary_tag_agree_image-tagging-1,binary_tag_agree,image-tagging-1,binary,tagging,recording_loo,results/suite/2026-03-05_13-04-55/binary_tag_agree_image-tagging-1_2026-03-05_13-26-41,0.9947669491824866,,,,,,,,,0.3494174647743913,0.841903409090909
LightGBM,aggregated,0.6879697683269111,0.7474116161616161,0.3704967810149241,0.4778344671201814,0.3184058005486577,0.7880366161616161,binary_tag_agree_image-tagging-1,binary_tag_agree,image-tagging-1,binary,tagging,recording_loo,results/suite/2026-03-05_13-04-55/binary_tag_agree_image-tagging-1_2026-03-05_13-26-41,0.9947669491824866,,,,,,,,,0.3704967810149241,0.7880366161616161
MLP,aggregated,0.686848865420294,0.7751893939393939,0.3600531867972208,0.4659992784992785,0.3091937824080681,0.8113005050505051,binary_tag_agree_image-tagging-1,binary_tag_agree,image-tagging-1,binary,tagging,recording_loo,results/suite/2026-03-05_13-04-55/binary_tag_agree_image-tagging-1_2026-03-05_13-26-41,0.9947669491824866,,,,,,,,,0.3600531867972208,0.8113005050505051
GNN,aggregated,0.696273964131107,0.759832702020202,0.3587819177240701,0.4863365800865801,0.3073062849848564,0.8435132575757576,binary_tag_agree_image-tagging-1,binary_tag_agree,image-tagging-1,binary,tagging,recording_loo,results/suite/2026-03-05_13-04-55/binary_tag_agree_image-tagging-1_2026-03-05_13-26-41,0.9947669491824866,,,,,,,,,0.3587819177240701,0.8435132575757576
Mean,aggregated,0.5692046049188907,0.5,0.0,0.0,0.0,0.5,binary_tag_agree_image-tagging-2,binary_tag_agree,image-tagging-2,binary,tagging,recording_loo,results/suite/2026-03-05_13-04-55/binary_tag_agree_image-tagging-2_2026-03-05_13-29-56,0.9949880489088704,,,,,,,,,0.0,0.5
SVM,aggregated,0.6917778649921508,0.7834415584415585,0.3603397276589448,0.4880952380952381,0.3051823176823177,0.844047619047619,binary_tag_agree_image-tagging-2,binary_tag_agree,image-tagging-2,binary,tagging,recording_loo,results/suite/2026-03-05_13-04-55/binary_tag_agree_image-tagging-2_2026-03-05_13-29-56,0.9949880489088704,,,,,,,,,0.3603397276589448,0.844047619047619
LightGBM,aggregated,0.7006017791732079,0.7392857142857142,0.3792139375259579,0.4716836734693878,0.332947409733124,0.816504329004329,binary_tag_agree_image-tagging-2,binary_tag_agree,image-tagging-2,binary,tagging,recording_loo,results/suite/2026-03-05_13-04-55/binary_tag_agree_image-tagging-2_2026-03-05_13-29-56,0.9949880489088704,,,,,,,,,0.3792139375259579,0.816504329004329
MLP,aggregated,0.6593995290423861,0.7929112554112553,0.3676807027772356,0.4821428571428571,0.3204973597830741,0.9039502164502164,binary_tag_agree_image-tagging-2,binary_tag_agree,image-tagging-2,binary,tagging,recording_loo,results/suite/2026-03-05_13-04-55/binary_tag_agree_image-tagging-2_2026-03-05_13-29-56,0.9949880489088704,,,,,,,,,0.3676807027772356,0.9039502164502164
GNN,aggregated,0.6459576138147566,0.8016233766233766,0.3685645709639517,0.4872448979591836,0.3210432424718138,0.8916396103896105,binary_tag_agree_image-tagging-2,binary_tag_agree,image-tagging-2,binary,tagging,recording_loo,results/suite/2026-03-05_13-04-55/binary_tag_agree_image-tagging-2_2026-03-05_13-29-56,0.9949880489088704,,,,,,,,,0.3685645709639517,0.8916396103896105
Mean,aggregated,0.173076923076923,0.5,0.1785714285714286,0.1679748822605965,0.2142857142857142,0.5,binary_tag_agree_video-tagging,binary_tag_agree,video-tagging,binary,tagging,recording_loo,results/suite/2026-03-05_13-04-55/binary_tag_agree_video-tagging_2026-03-05_13-33-20,0.999081094900062,,,,,,,,,0.1785714285714286,0.5
SVM,aggregated,0.5506826506826508,0.5912878787878788,0.3602887050655929,0.4921201814058956,0.3292285095856524,0.6465909090909091,binary_tag_agree_video-tagging,binary_tag_agree,video-tagging,binary,tagging,recording_loo,results/suite/2026-03-05_13-04-55/binary_tag_agree_video-tagging_2026-03-05_13-33-20,0.999081094900062,,,,,,,,,0.3602887050655929,0.6465909090909091
LightGBM,aggregated,0.5505411255411256,0.5410984848484848,0.3493453611941968,0.486038961038961,0.2952327434470291,0.6446969696969697,binary_tag_agree_video-tagging,binary_tag_agree,video-tagging,binary,tagging,recording_loo,results/suite/2026-03-05_13-04-55/binary_tag_agree_video-tagging_2026-03-05_13-33-20,0.999081094900062,,,,,,,,,0.3493453611941968,0.6446969696969697
MLP,aggregated,0.5471855525426954,0.6670454545454545,0.3665844262526185,0.4946428571428571,0.3241532277246563,0.6672348484848485,binary_tag_agree_video-tagging,binary_tag_agree,video-tagging,binary,tagging,recording_loo,results/suite/2026-03-05_13-04-55/binary_tag_agree_video-tagging_2026-03-05_13-33-20,0.999081094900062,,,,,,,,,0.3665844262526185,0.6672348484848485
GNN,aggregated,0.6312996527282241,0.6799242424242424,0.4156800058119934,0.4992368742368742,0.3919681508967224,0.640719696969697,binary_tag_agree_video-tagging,binary_tag_agree,video-tagging,binary,tagging,recording_loo,results/suite/2026-03-05_13-04-55/binary_tag_agree_video-tagging_2026-03-05_13-33-20,0.999081094900062,,,,,,,,,0.4156800058119934,0.640719696969697
Mean,aggregated,0.5539420896563753,0.5,0.0,0.0,0.0,0.5,binary_tag_agree_pooled-tagging,binary_tag_agree,pooled-tagging,binary,tagging,recording_loo,results/suite/2026-03-05_13-04-55/binary_tag_agree_pooled-tagging_2026-03-05_13-36-56,0.998896619994684,,,,,,,,,0.0,0.5
SVM,aggregated,0.6661098821813107,0.752432216905901,0.3701172418222797,0.4865349927849928,0.332093006200149,0.8207004253056884,binary_tag_agree_pooled-tagging,binary_tag_agree,pooled-tagging,binary,tagging,recording_loo,results/suite/2026-03-05_13-04-55/binary_tag_agree_pooled-tagging_2026-03-05_13-36-56,0.998896619994684,,,,,,,,,0.3701172418222797,0.8207004253056884
