epoch,train_loss,val_loss
1.0,0.6708246289603108,0.6533358693122864
2.0,0.6087859623846616,0.5988861322402954
3.0,0.5656948858124482,0.550569474697113
4.0,0.5368440872276121,0.5932745337486267
5.0,0.5065792163961772,0.5509034991264343
6.0,0.44872798430847605,0.5519659519195557
7.0,0.42698708652305806,0.5886057615280151
8.0,0.3825146081902741,0.6218057870864868
9.0,0.3795227909528866,0.5885282158851624
10.0,0.34726319667329325,0.612481415271759
11.0,0.31065159391941566,0.5587420463562012
12.0,0.2743487501436817,0.6568883061408997
13.0,0.25184492025772026,0.6854742169380188
14.0,0.24463378826876023,0.6900345087051392
15.0,0.21754180270499113,0.6345469951629639
16.0,0.20808604970929295,0.7475505471229553
17.0,0.1822194962252767,0.7018327116966248
18.0,0.17093495334906803,0.729823112487793
