epoch,train_loss,val_loss
1.0,1.0361106632115344,1.0378018617630005
2.0,0.9860837739597966,1.0167977809906006
3.0,0.9637960646851281,1.0060406923294067
4.0,0.9498941033483509,1.0059863328933716
5.0,0.9414305055472509,0.9898610711097717
6.0,0.9262696915956602,0.9798896312713623
7.0,0.9166611568736789,0.9813461899757385
8.0,0.9103982166218489,0.9745455384254456
9.0,0.9016688222427666,0.9752827286720276
10.0,0.8963496318672238,0.9642562866210938
11.0,0.8885229945675288,0.9669880270957947
12.0,0.8785306025815443,0.9772629141807556
13.0,0.8787615794995413,0.9639242887496948
14.0,0.8703019827200728,0.9689199924468994
15.0,0.8665561087776659,0.9732897281646729
16.0,0.865663102153575,0.973427414894104
17.0,0.8535139429643117,0.9643093943595886
18.0,0.8502957516234212,0.9693237543106079
19.0,0.8476399771248443,0.9648901224136353
20.0,0.8512627587751809,0.9581694006919861
21.0,0.8405418938279343,0.9692177772521973
22.0,0.8352669091407438,0.9713168144226074
23.0,0.8304975925166043,0.9663971662521362
24.0,0.8313642692642527,0.9810061454772949
25.0,0.824129388779436,0.9648609161376953
26.0,0.826430203650888,0.9708105325698853
27.0,0.8194872361956481,0.9705124497413635
28.0,0.819709722577691,0.9550623893737793
29.0,0.8083799633515765,0.9491247534751892
30.0,0.8113636137395652,0.9666318297386169
31.0,0.8099105507648399,0.9687459468841553
32.0,0.807655652427936,0.9582777619361877
33.0,0.793905928953268,0.9569451212882996
34.0,0.7943943066144991,0.9467636346817017
35.0,0.7991430604843637,0.9505894184112549
36.0,0.7921510814307123,0.9563064575195312
37.0,0.7904991497680466,0.9724937677383423
38.0,0.7881783128249856,0.9607616066932678
39.0,0.7786929035695671,0.9563208818435669
40.0,0.7801025338831751,0.9675843119621277
41.0,0.7781706192309029,0.9514871835708618
42.0,0.7762865845232839,0.983080267906189
43.0,0.7700743229804522,0.95968097448349
44.0,0.7710084228893745,0.9523256421089172
45.0,0.7688476097455177,0.9644749164581299
46.0,0.7692563232544888,0.9712536334991455
47.0,0.762191110079185,0.9697681665420532
48.0,0.7597719408761533,0.9659036993980408
49.0,0.7650971813215037,0.9634936451911926
