model,metric_type,accuracy,precision,recall,f1,auc
Mean,aggregated,0.6308445521348748,0.6308445521348748,1.0,0.7581673213851987,0.46774193548387094
Mean,emotion_emotion-sadness,0.6308445521348748,0.6308445521348748,1.0,0.7581673213851987,0.46774193548387094
SVM,aggregated,0.6082131559381133,0.6666320377002948,0.832109482265554,0.7086534747376365,0.5987449231335121
SVM,emotion_emotion-sadness,0.6082131559381133,0.6666320377002948,0.832109482265554,0.7086534747376365,0.5987449231335121
LightGBM,aggregated,0.6045031716169238,0.6641475464057778,0.8317511301359265,0.7075212519287314,0.5572939414133138
LightGBM,emotion_emotion-sadness,0.6045031716169238,0.6641475464057778,0.8317511301359265,0.7075212519287314,0.5572939414133138
MLP,aggregated,0.5757188842757602,0.6634331396694036,0.6950503838632861,0.6567383006097265,0.5466331851062607
MLP,emotion_emotion-sadness,0.5757188842757602,0.6634331396694036,0.6950503838632861,0.6567383006097265,0.5466331851062607
GNN,aggregated,0.6016599714392583,0.6016599714392583,1.0,0.7274771034142408,0.5444894684235553
GNN,emotion_emotion-sadness,0.6016599714392583,0.6016599714392583,1.0,0.7274771034142408,0.5444894684235553
