model,metric_type,accuracy,precision,recall,f1,auc
Mean,aggregated,0.5735178584370539,0.5735178584370539,0.95,0.6867105671242879,0.425
Mean,emotion_emotion-arousal,0.5735178584370539,0.5735178584370539,0.95,0.6867105671242879,0.425
SVM,aggregated,0.5695559939256419,0.5862436467806821,0.7670092077269967,0.6349769979629667,0.4682404047494882
SVM,emotion_emotion-arousal,0.5695559939256419,0.5862436467806821,0.7670092077269967,0.6349769979629667,0.4682404047494882
LightGBM,aggregated,0.553042295378767,0.5835285177204772,0.6932503095052194,0.6055450427693978,0.4437087740442719
LightGBM,emotion_emotion-arousal,0.553042295378767,0.5835285177204772,0.6932503095052194,0.6055450427693978,0.4437087740442719
MLP,aggregated,0.5533559105627315,0.5852039949904538,0.6355567412975551,0.5857437590062695,0.4703985291680823
MLP,emotion_emotion-arousal,0.5533559105627315,0.5852039949904538,0.6355567412975551,0.5857437590062695,0.4703985291680823
GNN,aggregated,0.5461297814983506,0.5964306280711629,0.6647498817041038,0.5878439098664339,0.4689251247118243
GNN,emotion_emotion-arousal,0.5461297814983506,0.5964306280711629,0.6647498817041038,0.5878439098664339,0.4689251247118243
