split,logit_mean,logit_std,logit_min,logit_max,logit_range,prediction_entropy_mean,prediction_entropy_std,prediction_entropy_min,prediction_entropy_max,graph_embedding_variance,graph_embedding_mean_pairwise_cosine_similarity,graph_embedding_pair_count,temporal_forward_edge_weight_mean,temporal_forward_edge_weight_std,temporal_forward_edge_weight_min,temporal_forward_edge_weight_max,temporal_backward_edge_weight_mean,temporal_backward_edge_weight_std,temporal_backward_edge_weight_min,temporal_backward_edge_weight_max,spatial_edge_weight_mean,spatial_edge_weight_std,spatial_edge_weight_min,spatial_edge_weight_max,fixation_edge_weight_mean,fixation_edge_weight_std,fixation_edge_weight_min,fixation_edge_weight_max,model,best_epoch,best_val_loss,early_stopped
train,0.011271502822637558,0.5776727199554443,-2.2523655891418457,1.9133270978927612,4.165692687034607,0.5891499519348145,0.11732351779937744,0.13254967331886292,0.6931471824645996,0.34865331649780273,0.3449006974697113,10000,,,,,,,,,,,,,,,,,HeteroGCNMLP,51,0.5303033590316772,1
val,0.08819807320833206,0.5587422847747803,-1.7477315664291382,1.6214467287063599,3.369178295135498,0.590728223323822,0.10805509239435196,0.2944718301296234,0.6931469440460205,0.27910035848617554,0.4692631661891937,11325,,,,,,,,,,,,,,,,,HeteroGCNMLP,51,0.5303033590316772,1
test,0.050522446632385254,0.5044884085655212,-1.861186146736145,1.560067892074585,3.42125403881073,0.6099243760108948,0.09835828095674515,0.21092115342617035,0.6931470632553101,0.3317345380783081,0.3708198368549347,128271,,,,,,,,,,,,,,,,,HeteroGCNMLP,51,0.5303033590316772,1
