model,fold_id,metric_type,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,macro_auc_ovr,weighted_precision,weighted_recall,weighted_f1,weighted_auc_ovr,loss
GNN,s_P1,aggregated,0.42083333333333334,0.40884866767219713,0.6054489457474532,0.40884866767219713,0.3322532339052399,0.6218357514909566,0.6152807391613362,0.42083333333333334,0.3489700155383485,0.6218433530148507,1.110744833946228
GNN,s_P10,aggregated,0.5633187772925764,0.5723101265822784,0.608302634618424,0.5723101265822784,0.5536915086760418,0.7228698682293621,0.6127667897376011,0.5633187772925764,0.5515993316149399,0.7207827452394262,1.049325942993164
GNN,s_P13,aggregated,0.4703389830508475,0.46611166266788007,0.4276636332363886,0.46611166266788007,0.41153457479149463,0.6718443752231641,0.42749534490627,0.4703389830508475,0.41278310922492645,0.672028214944564,1.0490343570709229
GNN,s_P14,aggregated,0.5714285714285714,0.5507402745309596,0.6005946562398176,0.5507402745309596,0.5434645727619541,0.7423948530440169,0.5987074926460982,0.5714285714285714,0.55351717242301,0.7461741981337553,0.9391787648200989
GNN,s_P16,aggregated,0.5647668393782384,0.5669252299080368,0.6119331526648599,0.5669252299080368,0.5647505324437493,0.7534021872046663,0.6276221969473582,0.5647668393782384,0.5743874530315181,0.7534833648823286,0.9293699860572815
GNN,s_P17,aggregated,0.5062761506276151,0.42100135651744974,0.48805276140388615,0.42100135651744974,0.3858205348195209,0.6951005006141876,0.4734712687231203,0.5062761506276151,0.4318501686966915,0.6830184156389492,0.9711005091667175
GNN,s_P18,aggregated,0.38596491228070173,0.4649362826578017,0.5840490466158915,0.4649362826578017,0.346376075003583,0.6772224703727842,0.6527756455634305,0.38596491228070173,0.30897787384621833,0.6675360800416513,1.0983198881149292
GNN,s_P19,aggregated,0.3930131004366812,0.4084018264840183,0.3431533903884134,0.4084018264840183,0.3030791891702322,0.7166749443461772,0.33408485242244523,0.3930131004366812,0.2933047827880766,0.7171252564265663,1.0506869554519653
GNN,s_P2,aggregated,0.4107883817427386,0.5150742775742776,0.5546628721262779,0.5150742775742776,0.4070225875764586,0.7340561108790427,0.6787278496572562,0.4107883817427386,0.37056578431232756,0.740501627972498,1.1332271099090576
GNN,s_P20,aggregated,0.4424778761061947,0.4161106992834198,0.29675803830682757,0.4161106992834198,0.33958333333333335,0.680761167021006,0.3289534636190751,0.4424778761061947,0.3698285398230089,0.6736349227432312,1.0416945219039917
GNN,s_P21,aggregated,0.4931506849315068,0.4908982662186466,0.6395278795278795,0.4908982662186466,0.44871890258079516,0.7490334233813152,0.6177455522661003,0.4931506849315068,0.4365199555375781,0.7450202320193513,1.0449345111846924
GNN,s_P22,aggregated,0.5,0.45276349796123805,0.716955684007707,0.45276349796123805,0.3795782106184095,0.664861910585215,0.6884122953919292,0.5,0.41152138016687906,0.6776976545977546,1.0715934038162231
GNN,s_P23,aggregated,0.5416666666666666,0.5530305272712921,0.5420193312434692,0.5530305272712921,0.5429969533952358,0.7636763725536126,0.5411002808254963,0.5416666666666666,0.5358913188948122,0.739518694827544,0.8592380285263062
GNN,s_P24,aggregated,0.341991341991342,0.3666666666666667,0.4029029029029029,0.3666666666666667,0.2214723063747108,0.6372532102104903,0.40613990613990614,0.341991341991342,0.2112189557831311,0.6355630572517988,1.273183822631836
GNN,s_P27,aggregated,0.4798206278026906,0.5603916235495183,0.6098966067205631,0.5603916235495183,0.454863653455763,0.7674890498505734,0.695893135780255,0.4798206278026906,0.46090818186298654,0.7528178615498248,1.1500943899154663
GNN,s_P28,aggregated,0.5660377358490566,0.5260568697035396,0.6989538239538239,0.5260568697035396,0.511648490595859,0.7914082636183847,0.656387833864249,0.5660377358490566,0.5136691806006602,0.7921330765576219,0.9114543795585632
GNN,s_P29,aggregated,0.5601851851851852,0.4632357419319611,0.7290249433106576,0.4632357419319611,0.4263665481056785,0.7672012073840033,0.6679106827916351,0.5601851851851852,0.4580009988222548,0.7687216370911506,0.9367462396621704
GNN,s_P30,aggregated,0.5530973451327433,0.5332163547237077,0.5985380856083585,0.5332163547237077,0.4971479432894654,0.7527694913268054,0.5911276810401138,0.5530973451327433,0.5006617166757531,0.7540328075593831,0.946757972240448
GNN,s_P4,aggregated,0.4541832669322709,0.46526021425780845,0.5287814857435111,0.46526021425780845,0.43657915143458514,0.674261303393954,0.5328806752277427,0.4541832669322709,0.43352583115763693,0.6733606380820149,1.0546449422836304
GNN,s_P5,aggregated,0.5636363636363636,0.5648119263621412,0.5491651607926747,0.5648119263621412,0.5550109942578562,0.719980279871783,0.5679549856937046,0.5636363636363636,0.5645541900972864,0.7110782406831655,0.9083005785942078
GNN,s_P7,aggregated,0.4782608695652174,0.41302991302991304,0.4239669687038108,0.41302991302991304,0.3739556487014642,0.6457589091033137,0.5664527539584747,0.47826086956521735,0.4961812913815544,0.6567902393700367,1.0140690803527832
GNN,s_P8,aggregated,0.5799086757990868,0.555933279423448,0.6166214995483289,0.555933279423448,0.5637536188479585,0.7133261327917276,0.6090519854970239,0.5799086757990868,0.5727621673292389,0.7154618334260143,0.9416374564170837
