model,metric_type,accuracy,balanced_accuracy,f1,precision,recall,auc
Mean,aggregated,0.35569911399210147,0.5,0.0056022408963585435,0.00303951367781155,0.03571428571428571,0.5
Mean,emotion_tag-agree,0.35569911399210147,0.5,0.0056022408963585435,0.00303951367781155,0.03571428571428571,0.5
SVM,aggregated,0.6428061269439718,0.6946707442011764,0.37841197355721384,0.4997642971245456,0.38402927125593916,0.7918626698862214
SVM,emotion_tag-agree,0.6428061269439718,0.6946707442011764,0.37841197355721384,0.4997642971245456,0.38402927125593916,0.7918626698862214
LightGBM,aggregated,0.5988580764670081,0.626064157513455,0.35081540421368934,0.49118274582560295,0.329392774526945,0.7097952136665214
LightGBM,emotion_tag-agree,0.5988580764670081,0.626064157513455,0.35081540421368934,0.49118274582560295,0.329392774526945,0.7097952136665214
MLP,aggregated,0.6173470241803607,0.6625311618498954,0.37033198652215354,0.495916180237277,0.3649016599924207,0.730665387786281
MLP,emotion_tag-agree,0.6173470241803607,0.6625311618498954,0.37033198652215354,0.495916180237277,0.3649016599924207,0.730665387786281
GNN,aggregated,0.5582523592340773,0.7163315667883404,0.3705841534553208,0.5005227498924978,0.4383686130452518,0.7606940802217425
GNN,emotion_tag-agree,0.5582523592340773,0.7163315667883404,0.3705841534553208,0.5005227498924978,0.4383686130452518,0.7606940802217425
