epoch,train_loss,val_loss
1.0,0.6581167374223397,0.6429142951965332
2.0,0.6228538295403097,0.6101194024085999
3.0,0.6006821354978923,0.5950884819030762
4.0,0.5851461157822498,0.5796555876731873
5.0,0.5754715799649669,0.5763541460037231
6.0,0.559764622794408,0.5862944722175598
7.0,0.5530426191808997,0.5588402152061462
8.0,0.538756183297279,0.5616361498832703
9.0,0.5364106197904701,0.5705899596214294
10.0,0.5278836199282074,0.5262596607208252
11.0,0.5187381168425486,0.5566370487213135
12.0,0.5110708341198462,0.5494131445884705
13.0,0.502015651903922,0.5554737448692322
14.0,0.502731866845871,0.5448721051216125
15.0,0.48598854447699424,0.5373408794403076
16.0,0.4858391840306203,0.4885455369949341
17.0,0.4794785265519108,0.5274769067764282
18.0,0.48232238277014233,0.5036126971244812
19.0,0.47594664987193874,0.4907349646091461
20.0,0.4744535630977412,0.5040111541748047
21.0,0.46654457302013835,0.5297363996505737
22.0,0.463130216453578,0.5473731756210327
23.0,0.4607426960443713,0.4984138607978821
24.0,0.4448943525457399,0.4835359752178192
25.0,0.458640368392448,0.4872600734233856
26.0,0.4468035048918075,0.5173832178115845
27.0,0.4472927275476954,0.5051413774490356
28.0,0.43427763895720634,0.5334306955337524
29.0,0.42964904531015435,0.5603809356689453
30.0,0.42566385568565546,0.5332335233688354
31.0,0.43353298417707375,0.534916877746582
32.0,0.4295263506321139,0.5266303420066833
33.0,0.4196530518013093,0.5075761675834656
34.0,0.42021826091839926,0.5376883745193481
35.0,0.41263381337466887,0.5118065476417542
36.0,0.42002705095545745,0.513563871383667
37.0,0.4037681696701423,0.5296303629875183
38.0,0.40382079996759257,0.5519636273384094
39.0,0.41161122300469744,0.6492581367492676
