epoch,train_loss
1,1.0433503519367953
2,1.004599014985365
3,0.9957111790414955
4,0.991301412578626
5,0.9861609497849588
6,0.982316178839978
7,0.9804950992223928
8,0.979171884909803
9,0.9761258758499958
10,0.9749117735990865
11,0.9732975716175618
12,0.9718647508414733
13,0.9718393971521913
14,0.9702349205741022
15,0.9690203237979358
16,0.9679071365736114
17,0.9664771386670914
18,0.9648394537885743
19,0.964656120083553
20,0.9630822162296345
21,0.9626899608228329
22,0.9632028013048357
23,0.9615399481080443
24,0.9609302664786692
25,0.9609105578548791
26,0.9584969840893075
27,0.9572344736450891
28,0.9558199619215217
29,0.9564713291349407
30,0.9557582089138833
31,0.95440010172377
32,0.9527955594291768
33,0.9529359521183846
34,0.9514200148463176
35,0.9513407549099159
36,0.9497077273899811
37,0.9493162500100191
38,0.9481540295436058
39,0.9476312472718669
40,0.9461789381344142
41,0.9468640357403808
42,0.9455890041801391
43,0.9445327762758361
44,0.9436341567781448
45,0.943227715218276
46,0.943379286168619
47,0.9419213500494956
48,0.940805309934009
49,0.9409768677241062
50,0.9396013312352295
51,0.9396970514729672
52,0.9385850827814552
53,0.9378950261126796
54,0.936924296961945
55,0.9367312197427398
56,0.9349330980102316
57,0.9347997274572487
58,0.9341985985475694
59,0.9343267750451323
60,0.9338521236854656
61,0.9331398804507525
62,0.9324544963178949
63,0.931339408918206
64,0.9329960704243415
65,0.9310352949334103
66,0.9296816705262855
67,0.9291294941666992
68,0.9301359958093187
69,0.9278626547907018
70,0.9281402650039591
71,0.9260540290180594
72,0.9262291316993044
73,0.9261330092772628
74,0.9253636358340919
75,0.9236471785753773
76,0.9265984883586468
77,0.9238682539627947
78,0.9228506912207795
79,0.9225911583193478
80,0.9231068037998017
81,0.9245184775661682
82,0.9200450742466298
83,0.9212857837807362
84,0.9205661079850853
85,0.9206252589727774
86,0.9183564992353896
87,0.9176183060641657
88,0.9182043287084953
89,0.917927767766462
90,0.9159566466605217
91,0.9154163045504675
92,0.9139835148615219
93,0.9149818941699885
94,0.9143860503088515
95,0.9132935749040613
96,0.91430737523395
97,0.9131088940870112
98,0.9107017945780925
99,0.9122651798551384
100,0.9118885030310103
101,0.9111260506032187
102,0.9082137817904707
103,0.9094549296283795
104,0.9083285972650806
105,0.9089923701066419
106,0.9096670339423568
107,0.9083587504240437
108,0.9089965984027979
109,0.9082539252903598
110,0.9060896152166935
111,0.9065530772172956
112,0.9068597864923611
113,0.9048804535025523
114,0.9060539267571863
115,0.9033517037136011
116,0.9025940113122277
117,0.9018513732104959
118,0.9039319930639295
119,0.9032839929334792
120,0.9006396472078971
121,0.8996499827617538
122,0.9006534525760029
123,0.9009382655080383
124,0.9003267142569312
125,0.8981151199598343
126,0.9005569490593787
127,0.8976801930751116
128,0.8968110530544003
129,0.8978116003478496
130,0.8975433122129961
131,0.8960459211614893
132,0.8965056171793323
133,0.8968642751341567
134,0.8940147175056656
135,0.8934446077860284
136,0.8945417421472549
137,0.892417604326714
138,0.8937013136833843
139,0.8940357166622923
140,0.8910664116243688
141,0.8913497487417793
142,0.8916618817351448
143,0.8893757111663168
144,0.8893714967325231
145,0.8891757577148178
146,0.8881719878083263
147,0.8902462282370311
148,0.8861147506850793
149,0.8880772967121555
150,0.8875555155579805
151,0.8863112945218091
152,0.8863357280744074
153,0.884044306366801
154,0.8838351457689799
155,0.8852950922866031
156,0.8848990176259414
157,0.8877062459085524
158,0.8832336414993163
159,0.8816161318189653
160,0.8800140747423799
161,0.8823159461056116
162,0.8790358426912366
163,0.8791830772309276
164,0.878660232016425
165,0.881680788397282
166,0.8782141025801228
167,0.8802836675206482
168,0.8793881023078525
169,0.8787651515795378
170,0.8761018241731608
171,0.8771998937577977
172,0.8763504997479249
173,0.8740226333958366
174,0.8747417252067528
175,0.8752789742604402
176,0.8786176084780138
177,0.8752172188444828
178,0.8773388613146691
179,0.8759775365904315
180,0.8729150895090243
181,0.8742292406322211
182,0.8737491160444196
183,0.8724351817195806
184,0.871062175802595
185,0.8703218159217381
186,0.8708052618885231
187,0.8723852629677875
188,0.8698340280910615
189,0.8703199503626933
190,0.8669630110668046
191,0.8682390400294884
192,0.8695716294075543
193,0.8660821321621297
194,0.87130696320415
195,0.8646377260551399
196,0.8700182552886307
197,0.863829658923579
198,0.864286841245223
199,0.8653347177726277
200,0.8688629917443278
